rollout/ep_len_mean,time/time_elapsed,time/episodes,time/fps,rollout/exploration_rate,time/total_timesteps,rollout/ep_rew_mean,eval/mean_reward,eval/mean_ep_length,train/n_updates,train/learning_rate,train/loss
851.25,0,4,936,0.9988247285714283,831,-20.75,,,,,
856.0,1,8,964,0.9976310714285719,1675,-20.875,,,,,
864.4166666666666,2,12,980,0.9964190285714285,2532,-20.666666666666668,,,,,
880.9375,3,16,990,0.995127785714286,3445,-20.5,,,,,
882.35,4,20,996,0.993903014285714,4311,-20.6,,,,,
901.0,5,24,1000,0.9925283285714287,5283,-20.5,,,,,
897.0357142857143,6,28,1004,0.9913106285714288,6144,-20.5,,,,,
892.875,6,32,1006,0.9901212142857141,6985,-20.53125,,,,,
889.5,7,36,1007,0.9889303857142858,7827,-20.583333333333332,,,,,
890.6,8,40,1007,0.9876957142857147,8700,-20.575,,,,,
889.7954545454545,9,44,1007,0.9864822571428576,9558,-20.613636363636363,,,,,
891.125,10,48,1008,0.9852320285714288,10442,-20.583333333333332,,,,,
885.7115384615385,11,52,1009,0.9841034285714282,11240,-20.596153846153847,,,,,
888.875,12,56,1010,0.9828150142857139,12151,-20.553571428571427,,,,,
889.3333333333334,12,60,1010,0.9815916571428567,13016,-20.55,,,,,
886.921875,13,64,1010,0.9804248714285717,13841,-20.5625,,,,,
882.6470588235294,14,68,1010,0.9793132428571425,14627,-20.573529411764707,,,,,
881.3472222222222,15,72,1010,0.9781323142857145,15462,-20.59722222222222,,,,,
879.9342105263158,16,76,1010,0.9769556285714283,16294,-20.605263157894736,,,,,
880.325,16,80,1010,0.9757308571428573,17160,-20.6125,,,,,
881.9047619047619,17,84,1010,0.9744778000000003,18046,-20.63095238095238,,,,,
882.1931818181819,18,88,1011,0.973243128571428,18919,-20.625,,,,,
881.6086956521739,19,92,1011,0.9720494714285717,19763,-20.619565217391305,,,,,
880.28125,20,96,1011,0.9708742,20594,-20.625,,,,,
879.42,21,100,1011,0.9697031714285712,21422,-20.63,,,,,
879.51,21,104,1011,0.9685250714285714,22255,-20.63,,,,,
882.96,22,108,1012,0.9672012999999999,23191,-20.59,,,,,
883.93,23,112,1012,0.9659539000000003,24073,-20.61,,,,,
880.57,24,116,1013,0.9647856999999996,24899,-20.64,,,,,
884.0,25,120,1013,0.9634421285714287,25849,-20.61,,,,,
878.11,26,124,1013,0.962285242857143,26667,-20.65,,,,,
879.19,27,128,1012,0.9610562285714283,27536,-20.65,,,,,
879.25,28,132,1012,0.9598710571428575,28374,-20.66,,,,,
878.33,28,136,1013,0.9587141714285717,29192,-20.65,,,,,
876.05,29,140,1013,0.9575516285714286,30014,-20.67,,,,,
877.54,30,144,1013,0.9562759428571428,30916,-20.67,,,,,
878.59,31,148,1012,0.9549945999999995,31822,-20.68,,,,,
884.13,32,152,1013,0.9536722428571427,32757,-20.66,,,,,
882.11,33,156,1013,0.9524757571428569,33603,-20.67,,,,,
879.26,33,160,1013,0.9513443285714281,34403,-20.68,,,,,
878.79,34,164,1013,0.9501831999999997,35224,-20.68,,,,,
882.22,35,168,1013,0.9489358,36106,-20.68,,,,,
882.79,36,172,1013,0.9477280000000005,36960,-20.68,,,,,
883.81,37,176,1013,0.9465244428571427,37811,-20.68,,,,,
884.54,38,180,1013,0.9452869428571433,38686,-20.67,,,,,
883.19,39,184,1013,0.944070657142857,39546,-20.66,,,,,
885.23,39,188,1013,0.9427779999999999,40460,-20.66,,,,,
883.16,40,192,1013,0.9416479857142858,41259,-20.68,,,,,
882.84,41,196,1012,0.940495342857143,42074,-20.69,,,,,
884.91,42,200,1013,0.9392408714285713,42961,-20.67,,,,,
885.64,43,204,1013,0.938042971428572,43808,-20.65,,,,,
880.78,44,208,1013,0.936901642857143,44615,-20.68,,,,,
877.08,44,212,1013,0.9357857714285719,45404,-20.69,,,,,
880.91,45,216,1013,0.934488871428572,46321,-20.68,,,,,
877.23,46,220,1013,0.9332655142857147,47186,-20.71,,,,,
876.64,47,224,1013,0.9321284285714284,47990,-20.71,,,,,
875.2,48,228,1013,0.9309432571428576,48828,-20.72,,,,,
874.22,48,232,1013,0.9297920285714283,49642,-20.71,,,,,
874.74,49,236,1013,0.9286195857142859,50471,-20.72,,,,,
876.87,50,240,1013,0.9273849142857149,51344,-20.72,,,,,
874.75,51,244,1013,0.9261912571428573,52188,-20.71,,,,,
871.38,52,248,1013,0.9250131571428575,53021,-20.73,,,,,
871.42,53,252,1013,0.923696457142857,53952,-20.72,,,,,
874.61,54,256,1013,0.9223613714285717,54896,-20.73,,,,,
876.29,54,260,1013,0.9211648857142859,55742,-20.73,,,,,
876.46,55,264,1013,0.9199980999999999,56567,-20.74,,,,,
877.32,56,268,1013,0.9187167571428567,57473,-20.73,,,,,
876.88,57,272,1013,0.9175358285714287,58308,-20.71,,,,,
877.42,58,276,1013,0.9162997428571429,59182,-20.71,,,,,
880.02,59,280,1013,0.9149575857142855,60131,-20.7,,,,,
880.39,60,284,1014,0.9137328142857146,60997,-20.69,,,,,
878.57,61,288,1014,0.9125066285714281,61864,-20.69,,,,,
882.3,61,292,1013,0.9112606428571431,62745,-20.69,,,,,
881.44,62,296,1013,0.9101376999999999,63539,-20.69,,,,,
880.07,63,300,1013,0.9089341428571432,64390,-20.7,,,,,
879.54,64,304,1013,0.9077546285714289,65224,-20.73,,,,,
883.37,65,308,1013,0.9064902571428568,66118,-20.74,,,,,
