time/fps,rollout/ep_len_mean,rollout/exploration_rate,time/time_elapsed,time/total_timesteps,time/episodes,rollout/ep_rew_mean,eval/mean_ep_length,eval/mean_reward,train/learning_rate,train/n_updates,train/loss
913,873.25,0.9987978571428568,0,850,4,-20.5,,,,,
951,878.5,0.9975702571428566,1,1718,8,-20.5,,,,,
965,873.5,0.9963822571428577,2,2558,12,-20.583333333333332,,,,,
973,877.0,0.9951589000000004,3,3423,16,-20.625,,,,,
979,868.1,0.9940147428571432,4,4232,20,-20.65,,,,,
981,878.5,0.9927234999999996,5,5145,24,-20.625,,,,,
984,876.3571428571429,0.9915284285714285,6,5990,28,-20.642857142857142,,,,,
983,874.21875,0.9903531571428569,6,6821,32,-20.6875,,,,,
985,880.3055555555555,0.9890732285714282,7,7726,36,-20.72222222222222,,,,,
986,879.55,0.9878668428571433,8,8579,40,-20.7,,,,,
987,882.7727272727273,0.9866123714285716,9,9466,44,-20.681818181818183,,,,,
988,877.3541666666666,0.9854866000000003,10,10262,48,-20.6875,,,,,
989,880.3076923076923,0.9842250571428576,11,11154,52,-20.692307692307693,,,,,
990,883.25,0.9829437142857144,12,12060,56,-20.696428571428573,,,,,
990,885.4166666666666,0.9816835857142852,13,12951,60,-20.666666666666668,,,,,
990,891.078125,0.9803385999999996,14,13902,64,-20.5625,,,,,
991,893.75,0.9790416999999997,14,14819,68,-20.529411764705884,,,,,
991,894.9861111111111,0.9777843999999998,15,15708,72,-20.541666666666668,,,,,
992,896.5657894736842,0.9765129571428568,16,16607,76,-20.526315789473685,,,,,
992,896.7625,0.9752754571428575,17,17482,80,-20.525,,,,,
992,895.75,0.9740690714285715,18,18335,84,-20.511904761904763,,,,,
992,894.9431818181819,0.9728626857142855,19,19188,88,-20.53409090909091,,,,,
992,894.0108695652174,0.9716563000000005,20,20041,92,-20.554347826086957,,,,,
991,891.7395833333334,0.9704994142857148,21,20859,96,-20.5625,,,,,
991,893.81,0.9691897857142854,21,21785,100,-20.57,,,,,
991,892.43,0.9680357285714289,22,22601,104,-20.58,,,,,
989,894.41,0.9667543857142856,23,23507,108,-20.55,,,,,
990,896.73,0.9654829428571426,24,24406,112,-20.53,,,,,
990,896.47,0.9642723142857138,25,25262,116,-20.52,,,,,
990,897.71,0.9630857285714284,26,26101,120,-20.52,,,,,
990,893.71,0.9619458142857139,27,26907,124,-20.54,,,,,
990,890.73,0.9608568142857146,27,27677,128,-20.55,,,,,
990,893.65,0.9595740571428566,28,28584,132,-20.53,,,,,
991,895.13,0.9582304857142856,29,29534,136,-20.51,,,,,
990,891.84,0.9571471428571425,30,30300,140,-20.53,,,,,
990,889.29,0.9559747000000002,31,31129,144,-20.54,,,,,
989,891.32,0.9547739714285717,32,31978,148,-20.54,,,,,
989,894.96,0.9533752428571429,33,32967,152,-20.51,,,,,
990,897.12,0.9520245999999999,34,33922,156,-20.48,,,,,
990,899.33,0.9506852714285717,35,34869,160,-20.49,,,,,
990,895.65,0.9494619142857144,36,35734,164,-20.55,,,,,
991,894.41,0.9482201714285712,36,36612,168,-20.58,,,,,
991,893.71,0.9469798428571425,37,37489,172,-20.56,,,,,
992,892.5,0.9457564857142853,38,38354,176,-20.58,,,,,
992,891.89,0.9445317142857144,39,39220,180,-20.58,,,,,
993,890.41,0.9433734142857141,40,40039,184,-20.59,,,,,
993,892.53,0.9420949000000001,41,40943,188,-20.55,,,,,
993,893.86,0.9408390142857148,42,41831,192,-20.54,,,,,
994,896.09,0.939602928571429,42,42705,196,-20.53,,,,,
994,896.4,0.9382819857142858,43,43639,200,-20.51,,,,,
995,897.55,0.9370897428571429,44,44482,204,-20.51,,,,,
995,895.52,0.9358678000000001,45,45346,208,-20.56,,,,,
995,894.18,0.9346458571428575,46,46210,212,-20.59,,,,,
995,891.69,0.9335229142857144,47,47004,216,-20.6,,,,,
995,891.03,0.9323518857142856,48,47832,220,-20.61,,,,,
995,894.04,0.9310988285714286,48,48718,224,-20.6,,,,,
995,896.63,0.9299263857142862,49,49547,228,-20.57,,,,,
995,894.91,0.9286931285714286,50,50419,232,-20.58,,,,,
995,892.1,0.9274542142857146,51,51295,236,-20.59,,,,,
994,893.86,0.9263015714285717,52,52110,240,-20.59,,,,,
994,896.03,0.9250584142857139,53,52989,244,-20.58,,,,,
994,893.23,0.923956685714286,54,53768,248,-20.59,,,,,
994,889.06,0.9227149428571427,54,54646,252,-20.61,,,,,
994,883.28,0.9215736142857148,55,55453,256,-20.65,,,,,
994,879.65,0.920362985714286,56,56309,260,-20.67,,,,,
994,878.86,0.9191749857142859,57,57149,264,-20.68,,,,,
995,878.31,0.9179417285714283,58,58021,268,-20.67,,,,,
995,876.7,0.916743828571429,59,58868,272,-20.68,,,,,
995,876.78,0.9155077428571432,60,59742,276,-20.68,,,,,
995,876.86,0.9142971142857144,60,60598,280,-20.68,,,,,
995,879.14,0.9130652714285714,61,61469,284,-20.68,,,,,
995,875.64,0.9119027285714283,62,62291,288,-20.71,,,,,
995,873.67,0.9107260428571431,63,63123,292,-20.71,,,,,
995,871.52,0.9095649142857146,64,63944,296,-20.71,,,,,
995,866.46,0.9084320714285712,65,64745,300,-20.74,,,,,
995,865.82,0.9072525571428568,65,65579,304,-20.75,,,,,
994,862.44,0.9061508285714288,66,66358,308,-20.75,,,,,
995,859.6,0.9050293000000004,67,67151,312,-20.75,,,,,
995,860.35,0.9038710000000001,68,67970,316,-20.76,,,,,
995,862.92,0.9026080428571427,69,68863,320,-20.74,,,,,
994,859.97,0.9014638857142855,70,69672,324,-20.75,,,,,
994,862.82,0.9001881999999997,70,70574,328,-20.77,,,,,
994,863.99,0.8989181714285713,71,71472,332,-20.76,,,,,
994,862.64,0.8977358285714286,72,72308,336,-20.77,,,,,
995,863.04,0.8965647999999999,73,73136,340,-20.76,,,,,
994,857.99,0.8955055000000002,74,73885,344,-20.78,,,,,
994,861.41,0.8942892142857138,75,74745,348,-20.76,,,,,
995,860.11,0.8930814142857143,75,75599,352,-20.77,,,,,
995,861.64,0.8918877571428567,76,76443,356,-20.77,,,,,
995,859.84,0.890749257142857,77,77248,360,-20.76,,,,,
995,860.71,0.8895414571428575,78,78102,364,-20.77,,,,,
995,859.28,0.8883605285714283,79,78937,368,-20.77,,,,,
995,857.5,0.8872404142857145,80,79729,372,-20.79,,,,,
994,857.26,0.8860043285714287,81,80603,376,-20.79,,,,,
994,861.43,0.8846409571428572,81,81567,380,-20.77,,,,,
994,859.6,0.8834656857142856,82,82398,384,-20.79,,,,,
994,861.41,0.882236671428572,83,83267,388,-20.8,,,,,
994,860.23,0.8810840285714291,84,84082,392,-20.81,,,,,
994,860.36,0.8799073428571428,85,84914,396,-20.83,,,,,
993,862.57,0.8787051999999996,86,85764,400,-20.83,,,,,
993,865.41,0.8774309285714285,87,86665,404,-20.81,,,,,
993,871.55,0.8761213,88,87591,408,-20.77,,,,,
993,871.71,0.8749927000000006,89,88389,412,-20.77,,,,,
993,873.47,0.8737764142857143,89,89249,416,-20.73,,,,,
993,872.17,0.8725615428571426,90,90108,420,-20.71,,,,,
993,877.19,0.8712406000000004,91,91042,424,-20.69,,,,,
992,874.18,0.8700667428571434,92,91872,428,-20.7,,,,,
993,872.89,0.8688349000000004,93,92743,432,-20.71,,,,,
993,870.75,0.8677261000000005,94,93527,436,-20.7,,,,,
993,871.52,0.8665282000000001,95,94374,440,-20.7,,,,,
993,875.66,0.865314742857143,95,95232,444,-20.69,,,,,
993,876.19,0.8640800714285719,96,96105,448,-20.7,,,,,
993,875.46,0.8629104571428566,97,96932,452,-20.7,,,,,
993,874.57,0.8617323571428569,98,97765,456,-20.69,,,,,
993,876.08,0.8605372857142858,99,98610,460,-20.69,,,,,
993,876.22,0.8593153428571431,100,99474,464,-20.69,,,,,
,,0.8585728428571426,,100000,,,764.0,-21.0,,,
939,879.53,0.8580269285714288,106,100385,468,-20.69,,,0.0001,96,0.08031865209341049
936,880.91,0.8568516571428572,108,101216,472,-20.69,,,0.0001,303,0.08599141240119934
931,879.75,0.8556608285714289,109,102058,476,-20.7,,,0.0001,514,0.03118145652115345
927,872.72,0.8545463714285715,110,102846,480,-20.74,,,0.0001,711,0.05655417963862419
923,873.48,0.8533527142857139,112,103690,484,-20.72,,,0.0001,922,0.07196032255887985
920,871.73,0.8521915857142854,113,104511,488,-20.71,,,0.0001,1127,0.03160327300429344
916,874.75,0.8509484285714286,114,105390,492,-20.68,,,0.0001,1347,0.03110629692673683
912,875.73,0.8497590142857139,116,106231,496,-20.66,,,0.0001,1557,0.04265621304512024
909,875.44,0.8485653571428574,117,107075,500,-20.66,,,0.0001,1768,0.002998403273522854
905,875.61,0.8472797714285714,119,107984,504,-20.64,,,0.0001,1995,0.04739580303430557
902,870.93,0.8461313714285713,120,108796,508,-20.66,,,0.0001,2198,0.01996263489127159
898,873.51,0.8449094285714286,121,109660,512,-20.65,,,0.0001,2414,0.054439157247543335
895,872.56,0.8437256714285714,123,110497,516,-20.69,,,0.0001,2624,0.030001778155565262
892,870.31,0.842592828571429,124,111298,520,-20.71,,,0.0001,2824,0.06340548396110535
889,867.32,0.8413623999999996,126,112168,524,-20.71,,,0.0001,3041,0.0102517856284976
886,869.22,0.8401150000000001,127,113050,528,-20.68,,,0.0001,3262,0.0455310232937336
884,867.57,0.8389552857142861,128,113870,532,-20.68,,,0.0001,3467,0.02742014080286026
881,868.89,0.8377842571428573,130,114698,536,-20.69,,,0.0001,3674,0.03486272320151329
878,867.48,0.8366415142857148,131,115506,540,-20.7,,,0.0001,3876,0.02091505192220211
875,872.87,0.8352357142857139,132,116500,544,-20.67,,,0.0001,4124,0.01061158999800682
872,875.61,0.8338935571428576,134,117449,548,-20.62,,,0.0001,4362,0.025915343314409256
870,875.98,0.8327013142857147,135,118292,552,-20.62,,,0.0001,4572,0.029265303164720535
