rollout/ep_rew_mean,time/fps,time/episodes,time/total_timesteps,rollout/exploration_rate,time/time_elapsed,rollout/ep_len_mean,eval/mean_reward,eval/mean_ep_length,train/loss,train/n_updates,train/learning_rate
-20.75,918,4,814,0.9959706999999995,0,837.0,,,,,
-20.875,949,8,1684,0.9916641999999999,1,867.375,,,,,
-20.666666666666668,963,12,2546,0.9873973000000003,2,875.0,,,,,
-20.6875,971,16,3423,0.9830561500000002,3,881.5625,,,,,
-20.7,976,20,4252,0.9789526000000004,4,874.4,,,,,
-20.708333333333332,981,24,5062,0.9749431000000005,5,867.4166666666666,,,,,
-20.75,983,28,5904,0.9707752000000005,6,866.6785714285714,,,,,
-20.75,987,32,6793,0.9663746499999998,6,871.625,,,,,
-20.72222222222222,989,36,7665,0.9620582499999999,7,874.5,,,,,
-20.7,990,40,8490,0.9579744999999995,8,871.575,,,,,
-20.704545454545453,990,44,9328,0.9538264,9,870.3409090909091,,,,,
-20.6875,991,48,10199,0.9495149499999996,10,872.6666666666666,,,,,
-20.71153846153846,992,52,10987,0.9456143499999996,11,868.0576923076923,,,,,
-20.732142857142858,992,56,11863,0.9412781500000003,11,870.0178571428571,,,,,
-20.716666666666665,994,60,12780,0.936739,12,874.0833333333334,,,,,
-20.734375,994,64,13555,0.9329027500000001,13,869.203125,,,,,
-20.720588235294116,993,68,14454,0.9284527000000001,14,872.3088235294117,,,,,
-20.73611111111111,993,72,15234,0.9245917000000001,15,868.25,,,,,
-20.75,993,76,16068,0.9204634000000002,16,867.8157894736842,,,,,
-20.75,994,80,16922,0.9162360999999994,17,867.625,,,,,
-20.761904761904763,994,84,17772,0.9120286000000005,17,867.8928571428571,,,,,
-20.761363636363637,995,88,18639,0.9077369499999997,18,868.8522727272727,,,,,
-20.77173913043478,995,92,19474,0.9036037,19,868.304347826087,,,,,
-20.760416666666668,995,96,20350,0.8992674999999996,20,869.6458333333334,,,,,
-20.76,995,100,21180,0.8951590000000001,21,868.9,,,,,
-20.76,995,104,22041,0.8908970500000001,22,870.58,,,,,
-20.76,995,108,22831,0.8869865499999998,22,867.04,,,,,
-20.79,995,112,23655,0.8829077500000001,23,865.03,,,,,
-20.78,995,116,24515,0.8786507499999997,24,864.14,,,,,
-20.75,996,120,25418,0.8741809000000003,25,867.13,,,,,
-20.75,996,124,26182,0.8703991000000004,26,865.35,,,,,
-20.75,996,128,26976,0.8664688000000006,27,863.7,,,,,
-20.72,996,132,27831,0.8622365500000003,27,862.6,,,,,
-20.73,996,136,28652,0.8581726000000005,28,860.36,,,,,
-20.74,996,140,29547,0.8537423500000001,29,863.41,,,,,
-20.74,996,144,30482,0.8491141000000005,30,867.02,,,,,
-20.73,997,148,31372,0.8447086000000003,31,867.74,,,,,
-20.69,997,152,32300,0.8401150000000001,32,873.29,,,,,
-20.69,997,156,33148,0.8359174000000003,33,872.37,,,,,
-20.69,997,160,34010,0.8316504999999995,34,870.56,,,,,
-20.69,997,164,34906,0.8272152999999995,35,875.34,,,,,
-20.7,997,168,35817,0.8227058500000001,35,875.44,,,,,
-20.7,997,172,36630,0.8186815000000003,36,876.9,,,,,
-20.7,997,176,37426,0.8147413000000002,37,875.34,,,,,
-20.69,997,180,38358,0.8101278999999995,38,879.04,,,,,
-20.68,997,184,39278,0.8055739000000004,39,881.71,,,,,
-20.67,997,188,40174,0.8011387000000003,40,882.9,,,,,
-20.67,997,192,41010,0.7970005000000001,41,882.97,,,,,
-20.69,997,196,41841,0.7928870499999999,41,880.97,,,,,
-20.69,997,200,42671,0.7887785500000004,42,880.91,,,,,
-20.69,997,204,43513,0.7846106500000004,43,880.39,,,,,
-20.67,997,208,44357,0.7804328500000001,44,882.74,,,,,
-20.64,998,212,45273,0.7758986500000005,45,886.85,,,,,
-20.62,998,216,46174,0.7714387000000004,46,888.48,,,,,
-20.66,998,220,46986,0.7674193000000001,47,885.19,,,,,
-20.66,998,224,47830,0.7632414999999998,47,888.2,,,,,
-20.64,998,228,48676,0.7590538000000003,48,890.28,,,,,
-20.66,998,232,49518,0.7548859000000002,49,889.96,,,,,
-20.63,998,236,50459,0.7502279499999999,50,894.67,,,,,
-20.63,998,240,51349,0.7458224499999996,51,893.96,,,,,
-20.61,998,244,52233,0.7414466500000001,52,892.36,,,,,
-20.61,998,248,53104,0.7371351999999998,53,891.23,,,,,
-20.64,998,252,53941,0.73299205,54,887.72,,,,,
-20.64,998,256,54766,0.7289082999999996,54,886.66,,,,,
-20.65,998,260,55614,0.7247106999999997,55,885.92,,,,,
-20.6,999,264,56546,0.7200973000000002,56,887.11,,,,,
-20.6,999,268,57415,0.7157957500000001,57,885.73,,,,,
-20.59,999,272,58268,0.7115734,58,887.41,,,,,
-20.59,999,276,59090,0.7075044999999995,59,888.35,,,,,
-20.61,998,280,59943,0.7032821499999996,60,885.46,,,,,
-20.6,998,284,60828,0.6989013999999996,60,884.25,,,,,
-20.62,998,288,61664,0.6947632000000004,61,881.82,,,,,
-20.6,998,292,62529,0.6904814499999997,62,882.89,,,,,
-20.57,998,296,63367,0.6863333500000003,63,883.46,,,,,
-20.58,999,300,64210,0.6821604999999995,64,884.19,,,,,
-20.59,999,304,65153,0.6774926499999999,65,888.1,,,,,
-20.6,999,308,66002,0.6732900999999994,66,888.19,,,,,
-20.61,999,312,66905,0.66882025,66,887.18,,,,,
-20.65,999,316,67703,0.6648701499999996,67,883.29,,,,,
-20.65,999,320,68527,0.66079135,68,883.28,,,,,
-20.66,999,324,69346,0.6567373000000005,69,882.58,,,,,
-20.68,999,328,70112,0.6529456000000002,70,879.31,,,,,
-20.69,999,332,70931,0.6488915499999997,70,878.21,,,,,
-20.72,999,336,71835,0.6444167499999995,71,876.85,,,,,
-20.73,999,340,72682,0.6402241000000004,72,875.54,,,,,
-20.74,999,344,73571,0.6358235499999998,73,875.81,,,,,
-20.75,999,348,74424,0.6316011999999998,74,875.17,,,,,
-20.76,999,352,75304,0.6272451999999998,75,876.74,,,,,
-20.74,999,356,76235,0.6226367499999997,76,881.03,,,,,
-20.74,999,360,77073,0.6184886500000002,77,880.81,,,,,
-20.78,999,364,77982,0.6139891000000001,78,880.46,,,,,
-20.77,999,368,78859,0.60964795,78,880.88,,,,,
-20.78,999,372,79687,0.6055493499999998,79,879.94,,,,,
-20.77,999,376,80531,0.6013715500000005,80,880.56,,,,,
-20.76,999,380,81347,0.5973323499999997,81,878.78,,,,,
-20.77,999,384,82226,0.5929813000000005,82,878.4,,,,,
-20.75,999,388,83058,0.5888628999999996,83,878.17,,,,,
-20.77,999,392,83907,0.5846603500000003,83,877.39,,,,,
-20.78,999,396,84736,0.5805568000000004,84,876.86,,,,,
-20.76,999,400,85551,0.5765225500000004,85,875.75,,,,,
-20.76,999,404,86327,0.5726813499999999,86,869.0,,,,,
-20.76,999,408,87205,0.5683352500000001,87,870.15,,,,,
-20.77,999,412,88112,0.5638456000000002,88,870.26,,,,,
-20.76,999,416,89034,0.5592816999999998,89,875.62,,,,,
-20.74,999,420,89929,0.5548514500000004,89,878.81,,,,,
-20.72,999,424,90761,0.5507330499999996,90,879.13,,,,,
-20.72,999,428,91603,0.5465651499999995,91,882.35,,,,,
-20.71,999,432,92460,0.5423230000000001,92,883.7,,,,,
-20.72,999,436,93253,0.5383976499999998,93,879.23,,,,,
-20.72,999,440,94102,0.5341951000000005,94,879.28,,,,,
-20.74,999,444,94977,0.5298638499999996,95,878.58,,,,,
-20.75,999,448,95803,0.5257751499999996,95,877.64,,,,,
-20.71,999,452,96739,0.5211419500000005,96,879.77,,,,,
-20.71,999,456,97652,0.5166225999999997,97,879.2,,,,,
-20.7,999,460,98479,0.5125289500000001,98,878.56,,,,,
-20.7,999,464,99304,0.5084451999999997,99,875.0,,,,,
,,,100000,0.5050049500000002,,,-21.0,764.0,,,
-20.7,949,468,100180,0.5041090000000004,105,875.05,,,0.061569035053253174,44,0.0001
-20.7,944,472,100986,0.5001192999999999,106,874.25,,,0.05578978359699249,246,0.0001
-20.71,940,476,101772,0.49622860000000013,108,871.96,,,0.04186807572841644,442,0.0001
-20.72,936,480,102569,0.4922834500000005,109,871.2,,,0.06628210842609406,642,0.0001
-20.73,932,484,103343,0.4884521500000002,110,867.25,,,0.06357014924287796,835,0.0001
-20.75,928,488,104131,0.48455155000000016,112,865.24,,,0.024090560153126717,1032,0.0001
-20.74,925,492,104907,0.4807103499999996,113,862.58,,,0.04729650914669037,1226,0.0001
-20.76,921,496,105666,0.4769532999999998,114,859.98,,,0.08202968537807465,1416,0.0001
-20.77,917,500,106509,0.47278045000000024,116,860.89,,,0.036864787340164185,1627,0.0001
-20.77,914,504,107285,0.4689392499999997,117,861.45,,,0.010061284527182579,1821,0.0001
-20.77,910,508,108076,0.46502379999999977,118,858.32,,,0.026145635172724724,2018,0.0001
-20.78,907,512,108868,0.46110340000000016,119,854.17,,,0.009400494396686554,2216,0.0001
-20.77,903,516,109721,0.45688105000000023,121,850.91,,,0.023413747549057007,2430,0.0001
-20.77,900,520,110592,0.4525695999999999,122,849.63,,,0.02713712863624096,2647,0.0001
-20.79,897,524,111365,0.44874325000000037,124,847.17,,,0.005315940827131271,2841,0.0001
-20.78,894,528,112148,0.44486740000000047,125,844.48,,,0.011521648615598679,3036,0.0001
-20.79,890,532,112963,0.44083315000000045,126,843.01,,,0.00539204478263855,3240,0.0001
-20.78,887,536,113824,0.4365712000000004,128,845.95,,,0.037556737661361694,3455,0.0001
-20.78,884,540,114647,0.43249735000000034,129,844.97,,,0.0057738469913601875,3661,0.0001
-20.78,881,544,115468,0.4284334000000005,131,842.53,,,0.0034332952927798033,3866,0.0001
-20.79,878,548,116280,0.4244140000000004,132,841.91,,,0.016812963411211967,4069,0.0001
-20.83,875,552,117129,0.4202114499999998,133,838.4,,,0.011499576270580292,4282,0.0001
-20.84,872,556,117983,0.41598415000000033,135,836.01,,,0.02011939324438572,4495,0.0001
-20.86,869,560,118827,0.41180635,136,836.89,,,0.04178755730390549,4706,0.0001
-20.85,866,564,119720,0.4073859999999998,138,839.48,,,0.003913640044629574,4929,0.0001
-20.87,863,568,120528,0.40338640000000026,139,836.86,,,0.03603225201368332,5131,0.0001
-20.87,861,572,121336,0.3993868000000006,140,836.46,,,0.014240939170122147,5333,0.0001
-20.86,858,576,122145,0.39538225000000027,142,837.66,,,0.007764918729662895,5536,0.0001
-20.86,856,580,122924,0.39152619999999994,143,837.17,,,0.008025783114135265,5730,0.0001
-20.86,853,584,123728,0.38754639999999974,144,838.38,,,0.01672695390880108,5931,0.0001
-20.83,851,588,124584,0.3833091999999999,146,841.36,,,0.002472237218171358,6145,0.0001
-20.84,849,592,125333,0.37960165000000046,147,840.59,,,0.017068639397621155,6333,0.0001
-20.83,846,596,126168,0.3754683999999997,149,843.22,,,0.0077001485042274,6541,0.0001
-20.81,844,600,127013,0.3712856499999999,150,843.27,,,0.022457998245954514,6753,0.0001
-20.8,841,604,127811,0.3673355500000005,151,843.64,,,0.004635970573872328,6952,0.0001
-20.8,839,608,128628,0.36329140000000026,153,844.2,,,0.008788513951003551,7156,0.0001
-20.79,837,612,129459,0.3591779500000002,154,845.66,,,0.014857910573482513,7364,0.0001
-20.81,835,616,130224,0.35539119999999946,155,841.89,,,0.030217058956623077,7555,0.0001
-20.83,832,620,131038,0.3513619000000001,157,839.8,,,0.0064199999906122684,7759,0.0001
-20.81,830,624,131891,0.3471395500000002,158,842.92,,,0.005898970644921064,7972,0.0001
-20.81,828,628,132760,0.3428380000000002,160,846.34,,,0.012367771938443184,8189,0.0001
-20.8,826,632,133587,0.33874435000000047,161,846.78,,,0.0024645081721246243,8396,0.0001
-20.81,824,636,134368,0.3348783999999999,162,843.36,,,0.03292578086256981,8591,0.0001
-20.8,822,640,135186,0.3308293,164,842.96,,,0.0031772623769938946,8796,0.0001
-20.79,820,644,135972,0.3269386000000002,165,841.72,,,0.0063797603361308575,8992,0.0001
-20.79,818,648,136731,0.3231815500000004,167,839.85,,,0.004182020202279091,9182,0.0001
-20.79,816,652,137522,0.31926610000000044,168,837.35,,,0.01102395448833704,9380,0.0001
-20.79,814,656,138332,0.31525659999999944,169,835.77,,,0.0056003727950155735,9582,0.0001
-20.79,813,660,139142,0.31124709999999955,171,834.57,,,0.008599025197327137,9785,0.0001
-20.81,811,664,139912,0.3074355999999999,172,829.83,,,0.005652436055243015,9977,0.0001
-20.8,809,668,140706,0.3035053,173,829.1,,,0.009699510410428047,10176,0.0001
-20.79,807,672,141514,0.29950570000000054,175,829.31,,,0.01765831559896469,10378,0.0001
-20.8,806,676,142290,0.2956644999999999,176,827.96,,,0.0041883657686412334,10572,0.0001
