rollout/ep_len_mean,time/total_timesteps,time/fps,time/episodes,rollout/ep_rew_mean,time/time_elapsed,rollout/exploration_rate,eval/mean_reward,eval/mean_ep_length,train/learning_rate,train/n_updates,train/loss
851.25,831,824,4,-20.75,1,0.9958865499999999,,,,,
856.0,1675,859,8,-20.875,1,0.9917087499999996,,,,,
864.4166666666666,2532,870,12,-20.666666666666668,2,0.9874666000000001,,,,,
880.9375,3445,878,16,-20.5,3,0.9829472500000004,,,,,
882.35,4311,882,20,-20.6,4,0.9786605500000002,,,,,
901.0,5283,885,24,-20.5,5,0.9738491500000004,,,,,
897.0357142857143,6144,888,28,-20.5,6,0.9695872000000003,,,,,
892.875,6985,889,32,-20.53125,7,0.9654242499999999,,,,,
889.5,7827,890,36,-20.583333333333332,8,0.9612563499999999,,,,,
890.6,8700,891,40,-20.575,9,0.9569350000000003,,,,,
889.7954545454545,9558,892,44,-20.613636363636363,10,0.9526879000000003,,,,,
891.125,10442,892,48,-20.583333333333332,11,0.9483120999999997,,,,,
885.7115384615385,11240,891,52,-20.596153846153847,12,0.9443620000000004,,,,,
888.875,12151,892,56,-20.553571428571427,13,0.9398525499999999,,,,,
889.3333333333334,13016,892,60,-20.55,14,0.9355708000000004,,,,,
886.921875,13841,892,64,-20.5625,15,0.9314870500000001,,,,,
882.6470588235294,14627,892,68,-20.573529411764707,16,0.9275963500000003,,,,,
881.3472222222222,15462,892,72,-20.59722222222222,17,0.9234630999999995,,,,,
879.9342105263158,16294,892,76,-20.605263157894736,18,0.9193446999999999,,,,,
880.325,17160,892,80,-20.6125,19,0.9150579999999997,,,,,
881.9047619047619,18046,892,84,-20.63095238095238,20,0.9106723,,,,,
882.1931818181819,18919,892,88,-20.625,21,0.9063509500000004,,,,,
881.6086956521739,19763,892,92,-20.619565217391305,22,0.9021731500000001,,,,,
880.28125,20594,893,96,-20.625,23,0.8980597,,,,,
879.42,21422,892,100,-20.63,23,0.8939610999999997,,,,,
879.51,22255,893,104,-20.63,24,0.8898377500000004,,,,,
882.96,23191,893,108,-20.59,25,0.8852045500000002,,,,,
883.93,24073,893,112,-20.61,26,0.88083865,,,,,
880.57,24899,893,116,-20.64,27,0.87674995,,,,,
884.0,25849,893,120,-20.61,28,0.87204745,,,,,
878.11,26667,893,124,-20.65,29,0.86799835,,,,,
879.19,27536,893,128,-20.65,30,0.8636968,,,,,
879.25,28374,892,132,-20.66,31,0.8595487000000005,,,,,
878.33,29192,892,136,-20.65,32,0.8554995999999995,,,,,
876.05,30014,893,140,-20.67,33,0.8514307000000001,,,,,
877.54,30916,892,144,-20.67,34,0.8469658000000003,,,,,
878.59,31822,893,148,-20.68,35,0.8424810999999999,,,,,
884.13,32757,893,152,-20.66,36,0.8378528500000004,,,,,
882.11,33603,893,156,-20.67,37,0.8336651499999997,,,,,
879.26,34403,893,160,-20.68,38,0.8297051500000002,,,,,
878.79,35224,893,164,-20.68,39,0.8256412000000004,,,,,
882.22,36106,893,168,-20.68,40,0.8212753000000002,,,,,
882.79,36960,893,172,-20.68,41,0.8170479999999996,,,,,
883.81,37811,892,176,-20.68,42,0.8128355499999999,,,,,
884.54,38686,892,180,-20.67,43,0.8085043000000001,,,,,
883.19,39546,893,184,-20.66,44,0.8042472999999997,,,,,
885.23,40460,893,188,-20.66,45,0.7997230000000003,,,,,
883.16,41259,893,192,-20.68,46,0.7957679500000003,,,,,
882.84,42074,893,196,-20.69,47,0.7917337000000003,,,,,
884.91,42961,893,200,-20.67,48,0.7873430499999999,,,,,
885.64,43808,893,204,-20.65,49,0.7831503999999997,,,,,
880.78,44615,894,208,-20.68,49,0.7791557499999997,,,,,
877.08,45404,893,212,-20.69,50,0.7752502,,,,,
880.91,46321,894,216,-20.68,51,0.7707110499999997,,,,,
877.23,47186,894,220,-20.71,52,0.7664293000000002,,,,,
876.64,47990,894,224,-20.71,53,0.7624495000000001,,,,,
875.2,48828,894,228,-20.72,54,0.7583013999999996,,,,,
874.22,49642,894,232,-20.71,55,0.7542721000000001,,,,,
874.74,50471,894,236,-20.72,56,0.7501685500000004,,,,,
876.87,51344,894,240,-20.72,57,0.7458471999999998,,,,,
874.75,52188,893,244,-20.71,58,0.7416694000000006,,,,,
871.38,53021,894,248,-20.73,59,0.7375460500000002,,,,,
871.42,53952,894,252,-20.72,60,0.7329376000000001,,,,,
874.61,54896,894,256,-20.73,61,0.7282647999999998,,,,,
876.29,55742,894,260,-20.73,62,0.7240771000000003,,,,,
876.46,56567,894,264,-20.74,63,0.7199933499999999,,,,,
877.32,57473,894,268,-20.73,64,0.7155086499999994,,,,,
876.88,58308,894,272,-20.71,65,0.7113753999999999,,,,,
877.42,59182,894,276,-20.71,66,0.7070490999999997,,,,,
880.02,60131,894,280,-20.7,67,0.7023515500000004,,,,,
880.39,60997,894,284,-20.69,68,0.6980648500000002,,,,,
878.57,61864,894,288,-20.69,69,0.6937732000000004,,,,,
882.3,62745,894,292,-20.69,70,0.6894122499999997,,,,,
881.44,63539,894,296,-20.69,71,0.68548195,,,,,
880.07,64390,894,300,-20.7,72,0.6812695000000003,,,,,
879.54,65224,894,304,-20.73,72,0.6771412000000003,,,,,
883.37,66118,894,308,-20.74,73,0.6727159000000005,,,,,
886.89,67004,894,312,-20.72,74,0.6683301999999998,,,,,
888.43,67966,894,316,-20.69,75,0.6635683000000001,,,,,
886.59,68780,894,320,-20.69,76,0.6595389999999997,,,,,
890.78,69693,894,324,-20.67,77,0.6550196500000001,,,,,
889.47,70503,894,328,-20.68,78,0.6510101500000001,,,,,
894.36,71444,894,332,-20.65,79,0.6463521999999997,,,,,
895.12,72291,894,336,-20.65,80,0.6421595500000006,,,,,
891.7,73071,894,340,-20.64,81,0.6382985499999995,,,,,
891.9,73923,894,344,-20.65,82,0.6340811500000002,,,,,
893.45,74792,894,348,-20.63,83,0.6297796000000002,,,,,
889.38,75627,894,352,-20.65,84,0.6256463500000006,,,,,
887.38,76511,894,356,-20.66,85,0.62127055,,,,,
889.55,77419,894,360,-20.65,86,0.6167759500000005,,,,,
