time/episodes,rollout/ep_rew_mean,rollout/ep_len_mean,time/time_elapsed,time/total_timesteps,time/fps,rollout/exploration_rate,eval/mean_ep_length,eval/mean_reward,train/learning_rate,train/loss,train/n_updates
4,-20.5,873.25,1,850,683,0.9987978571428568,,,,,
8,-20.5,878.5,2,1718,732,0.9975702571428566,,,,,
12,-20.583333333333332,873.5,3,2558,746,0.9963822571428577,,,,,
16,-20.625,877.0,4,3423,734,0.9951589000000004,,,,,
20,-20.65,868.1,5,4232,707,0.9940147428571432,,,,,
24,-20.625,878.5,7,5145,694,0.9927234999999996,,,,,
28,-20.642857142857142,876.3571428571429,8,5990,690,0.9915284285714285,,,,,
32,-20.6875,874.21875,9,6821,695,0.9903531571428569,,,,,
36,-20.72222222222222,880.3055555555555,11,7726,697,0.9890732285714282,,,,,
40,-20.7,879.55,12,8579,679,0.9878668428571433,,,,,
44,-20.681818181818183,882.7727272727273,14,9466,646,0.9866123714285716,,,,,
48,-20.6875,877.3541666666666,16,10262,633,0.9854866000000003,,,,,
52,-20.692307692307693,880.3076923076923,18,11154,614,0.9842250571428576,,,,,
56,-20.696428571428573,883.25,20,12060,600,0.9829437142857144,,,,,
60,-20.666666666666668,885.4166666666666,21,12951,609,0.9816835857142852,,,,,
64,-20.5625,891.078125,22,13902,618,0.9803385999999996,,,,,
68,-20.529411764705884,893.75,23,14819,625,0.9790416999999997,,,,,
72,-20.541666666666668,894.9861111111111,25,15708,622,0.9777843999999998,,,,,
76,-20.526315789473685,896.5657894736842,26,16607,626,0.9765129571428568,,,,,
80,-20.525,896.7625,27,17482,634,0.9752754571428575,,,,,
84,-20.511904761904763,895.75,28,18335,639,0.9740690714285715,,,,,
88,-20.53409090909091,894.9431818181819,30,19188,632,0.9728626857142855,,,,,
92,-20.554347826086957,894.0108695652174,31,20041,633,0.9716563000000005,,,,,
96,-20.5625,891.7395833333334,32,20859,638,0.9704994142857148,,,,,
100,-20.57,893.81,33,21785,643,0.9691897857142854,,,,,
104,-20.58,892.43,34,22601,648,0.9680357285714289,,,,,
108,-20.55,894.41,36,23507,652,0.9667543857142856,,,,,
112,-20.53,896.73,37,24406,651,0.9654829428571426,,,,,
116,-20.52,896.47,39,25262,645,0.9642723142857138,,,,,
120,-20.52,897.71,41,26101,633,0.9630857285714284,,,,,
124,-20.54,893.71,43,26907,625,0.9619458142857139,,,,,
128,-20.55,890.73,44,27677,616,0.9608568142857146,,,,,
132,-20.53,893.65,46,28584,608,0.9595740571428566,,,,,
136,-20.51,895.13,48,29534,613,0.9582304857142856,,,,,
140,-20.53,891.84,49,30300,616,0.9571471428571425,,,,,
144,-20.54,889.29,50,31129,618,0.9559747000000002,,,,,
148,-20.54,891.32,51,31978,621,0.9547739714285717,,,,,
152,-20.51,894.96,52,32967,622,0.9533752428571429,,,,,
156,-20.48,897.12,55,33922,614,0.9520245999999999,,,,,
160,-20.49,899.33,57,34869,610,0.9506852714285717,,,,,
164,-20.55,895.65,58,35734,612,0.9494619142857144,,,,,
168,-20.58,894.41,60,36612,607,0.9482201714285712,,,,,
172,-20.56,893.71,61,37489,609,0.9469798428571425,,,,,
176,-20.58,892.5,62,38354,611,0.9457564857142853,,,,,
180,-20.58,891.89,64,39220,611,0.9445317142857144,,,,,
184,-20.59,890.41,65,40039,613,0.9433734142857141,,,,,
188,-20.55,892.53,66,40943,616,0.9420949000000001,,,,,
192,-20.54,893.86,67,41831,619,0.9408390142857148,,,,,
196,-20.53,896.09,68,42705,621,0.939602928571429,,,,,
200,-20.51,896.4,69,43639,624,0.9382819857142858,,,,,
204,-20.51,897.55,70,44482,626,0.9370897428571429,,,,,
208,-20.56,895.52,72,45346,628,0.9358678000000001,,,,,
212,-20.59,894.18,73,46210,630,0.9346458571428575,,,,,
216,-20.6,891.69,74,47004,629,0.9335229142857144,,,,,
220,-20.61,891.03,76,47832,627,0.9323518857142856,,,,,
224,-20.6,894.04,77,48718,625,0.9310988285714286,,,,,
228,-20.57,896.63,79,49547,625,0.9299263857142862,,,,,
232,-20.58,894.91,80,50419,626,0.9286931285714286,,,,,
236,-20.59,892.1,82,51295,625,0.9274542142857146,,,,,
240,-20.59,893.86,83,52110,623,0.9263015714285717,,,,,
244,-20.58,896.03,84,52989,623,0.9250584142857139,,,,,
248,-20.59,893.23,86,53768,625,0.923956685714286,,,,,
252,-20.61,889.06,87,54646,622,0.9227149428571427,,,,,
256,-20.65,883.28,88,55453,624,0.9215736142857148,,,,,
260,-20.67,879.65,90,56309,625,0.920362985714286,,,,,
264,-20.68,878.86,91,57149,621,0.9191749857142859,,,,,
268,-20.67,878.31,93,58021,617,0.9179417285714283,,,,,
272,-20.68,876.7,95,58868,614,0.916743828571429,,,,,
276,-20.68,876.78,97,59742,615,0.9155077428571432,,,,,
280,-20.68,876.86,98,60598,616,0.9142971142857144,,,,,
284,-20.68,879.14,99,61469,616,0.9130652714285714,,,,,
288,-20.71,875.64,101,62291,614,0.9119027285714283,,,,,
292,-20.71,873.67,103,63123,611,0.9107260428571431,,,,,
296,-20.71,871.52,104,63944,610,0.9095649142857146,,,,,
300,-20.74,866.46,105,64745,611,0.9084320714285712,,,,,
304,-20.75,865.82,106,65579,613,0.9072525571428568,,,,,
308,-20.75,862.44,107,66358,615,0.9061508285714288,,,,,
312,-20.75,859.6,109,67151,612,0.9050293000000004,,,,,
316,-20.76,860.35,111,67970,609,0.9038710000000001,,,,,
320,-20.74,862.92,112,68863,609,0.9026080428571427,,,,,
324,-20.75,859.97,114,69672,609,0.9014638857142855,,,,,
328,-20.77,862.82,115,70574,610,0.9001881999999997,,,,,
332,-20.76,863.99,117,71472,608,0.8989181714285713,,,,,
336,-20.77,862.64,119,72308,606,0.8977358285714286,,,,,
340,-20.76,863.04,121,73136,603,0.8965647999999999,,,,,
344,-20.78,857.99,122,73885,601,0.8955055000000002,,,,,
348,-20.76,861.41,124,74745,602,0.8942892142857138,,,,,
352,-20.77,860.11,125,75599,603,0.8930814142857143,,,,,
356,-20.77,861.64,127,76443,600,0.8918877571428567,,,,,
360,-20.76,859.84,129,77248,598,0.890749257142857,,,,,
364,-20.77,860.71,131,78102,595,0.8895414571428575,,,,,
368,-20.77,859.28,132,78937,593,0.8883605285714283,,,,,
372,-20.79,857.5,134,79729,592,0.8872404142857145,,,,,
376,-20.79,857.26,136,80603,590,0.8860043285714287,,,,,
380,-20.77,861.43,137,81567,592,0.8846409571428572,,,,,
384,-20.79,859.6,139,82398,591,0.8834656857142856,,,,,
388,-20.8,861.41,140,83267,590,0.882236671428572,,,,,
392,-20.81,860.23,142,84082,592,0.8810840285714291,,,,,
396,-20.83,860.36,143,84914,592,0.8799073428571428,,,,,
400,-20.83,862.57,144,85764,592,0.8787051999999996,,,,,
404,-20.81,865.41,146,86665,593,0.8774309285714285,,,,,
408,-20.77,871.55,147,87591,593,0.8761213,,,,,
412,-20.77,871.71,149,88389,591,0.8749927000000006,,,,,
416,-20.73,873.47,151,89249,590,0.8737764142857143,,,,,
420,-20.71,872.17,152,90108,592,0.8725615428571426,,,,,
424,-20.69,877.19,153,91042,593,0.8712406000000004,,,,,
428,-20.7,874.18,154,91872,594,0.8700667428571434,,,,,
432,-20.71,872.89,155,92743,596,0.8688349000000004,,,,,
436,-20.7,870.75,156,93527,596,0.8677261000000005,,,,,
440,-20.7,871.52,157,94374,597,0.8665282000000001,,,,,
444,-20.69,875.66,159,95232,598,0.865314742857143,,,,,
448,-20.7,876.19,160,96105,599,0.8640800714285719,,,,,
452,-20.7,875.46,161,96932,600,0.8629104571428566,,,,,
456,-20.69,874.57,163,97765,598,0.8617323571428569,,,,,
460,-20.69,876.08,165,98610,596,0.8605372857142858,,,,,
464,-20.69,876.22,167,99474,595,0.8593153428571431,,,,,
,,,,100000,,0.8585728428571426,764.0,-21.0,,,
468,-20.69,879.53,176,100385,569,0.8580269285714288,,,0.0001,0.06033068150281906,96
472,-20.68,880.35,179,101202,563,0.8568714571428566,,,0.0001,0.04465407878160477,300
476,-20.67,879.19,182,102042,558,0.8556834571428577,,,0.0001,0.10551796853542328,510
480,-20.7,874.47,186,102887,553,0.8544883857142855,,,0.0001,0.03254938870668411,721
484,-20.7,872.84,188,103673,548,0.8533767571428573,,,0.0001,0.05602002888917923,918
488,-20.67,873.33,192,104549,544,0.8521378428571433,,,0.0001,0.01620430499315262,1137
492,-20.66,875.62,194,105410,540,0.8509201428571425,,,0.0001,0.02961437962949276,1352
496,-20.65,876.02,198,106237,536,0.8497505285714282,,,0.0001,0.07159881293773651,1559
500,-20.62,875.06,201,107064,532,0.848580914285714,,,0.0001,0.02997715398669243,1765
504,-20.63,872.0,204,107893,528,0.8474084714285717,,,0.0001,0.04232802987098694,1973
508,-20.66,868.8,206,108742,527,0.8462077428571432,,,0.0001,0.04189161956310272,2185
512,-20.64,871.13,208,109599,526,0.8449956999999997,,,0.0001,0.06020191311836243,2399
516,-20.68,868.15,210,110385,525,0.8438840714285715,,,0.0001,0.047966182231903076,2596
520,-20.71,867.71,212,111231,524,0.8426875857142857,,,0.0001,0.030398139730095863,2807
524,-20.7,866.93,215,112157,520,0.8413779571428573,,,0.0001,0.014936041086912155,3039
528,-20.69,866.8,218,112989,517,0.8402012714285712,,,0.0001,0.05388820171356201,3247
532,-20.69,863.18,220,113759,515,0.8391122714285717,,,0.0001,0.07842192053794861,3439
536,-20.69,865.37,224,114610,511,0.8379087142857138,,,0.0001,0.02796771563589573,3652
540,-20.7,863.34,227,115403,508,0.8367871857142853,,,0.0001,0.043723538517951965,3850
544,-20.68,866.95,229,116352,505,0.835445028571429,,,0.0001,0.07140469551086426,4087
548,-20.69,864.53,233,117172,502,0.8342853142857141,,,0.0001,0.018088264390826225,4292
552,-20.68,867.45,236,118078,499,0.8330039714285719,,,0.0001,0.05927560478448868,4519
556,-20.68,868.34,239,118919,496,0.8318145571428571,,,0.0001,0.03542456775903702,4729
560,-20.69,868.96,242,119784,494,0.8305911999999999,,,0.0001,0.05833198502659798,4945
564,-20.67,870.11,245,120679,491,0.8293254142857143,,,0.0001,0.08413511514663696,5169
568,-20.67,872.17,248,121657,489,0.8279422428571434,,,0.0001,0.016109524294734,5414
572,-20.68,873.12,251,122488,487,0.8267669714285717,,,0.0001,0.05359940975904465,5621
576,-20.69,873.7,254,123339,484,0.8255634142857139,,,0.0001,0.016320379450917244,5834
580,-20.68,872.93,257,124170,482,0.8243881428571433,,,0.0001,0.07570723444223404,6042
584,-20.66,876.19,260,125041,480,0.8231563000000004,,,0.0001,0.05756286904215813,6260
588,-20.69,873.47,263,125847,478,0.8220163857142859,,,0.0001,0.09776877611875534,6461
592,-20.7,870.71,266,126644,475,0.8208892000000001,,,0.0001,0.09399844706058502,6660
596,-20.7,870.39,269,127465,472,0.8197280714285715,,,0.0001,0.030010079964995384,6866
600,-20.73,868.9,272,128260,471,0.8186037142857138,,,0.0001,0.028910130262374878,7064
604,-20.74,870.02,275,129114,468,0.8173959142857142,,,0.0001,0.07523933053016663,7278
608,-20.74,873.22,279,130047,465,0.8160763857142855,,,0.0001,0.0029614220838993788,7511
612,-20.74,872.31,281,130880,464,0.8148982857142857,,,0.0001,0.021352622658014297,7719
616,-20.73,873.07,283,131685,463,0.813759785714286,,,0.0001,0.05754994973540306,7921
