rollout/exploration_rate,rollout/ep_len_mean,time/total_timesteps,time/fps,rollout/ep_rew_mean,time/time_elapsed,time/episodes,eval/mean_reward,eval/mean_ep_length,train/n_updates,train/learning_rate,train/loss
0.9794327499999993,851.25,831,935,-20.75,0,4,,,,,
0.9585437499999977,856.0,1675,967,-20.875,1,8,,,,,
0.9373330000000005,864.4166666666666,2532,983,-20.666666666666668,2,12,,,,,
0.914736250000002,880.9375,3445,992,-20.5,3,16,,,,,
0.8933027500000011,882.35,4311,998,-20.6,4,20,,,,,
0.8692457500000018,901.0,5283,1001,-20.5,5,24,,,,,
0.8479360000000018,897.0357142857143,6144,1005,-20.5,6,28,,,,,
0.8271212499999996,892.875,6985,1006,-20.53125,6,32,,,,,
0.8062817499999992,889.5,7827,1007,-20.583333333333332,7,36,,,,,
0.7846750000000017,890.6,8700,1007,-20.575,8,40,,,,,
0.7634395000000012,889.7954545454545,9558,1008,-20.613636363636363,9,44,,,,,
0.7415604999999985,891.125,10442,1009,-20.583333333333332,10,48,,,,,
0.7218100000000021,885.7115384615385,11240,1009,-20.596153846153847,11,52,,,,,
0.6992627499999995,888.875,12151,1010,-20.553571428571427,12,56,,,,,
0.6778540000000021,889.3333333333334,13016,1010,-20.55,12,60,,,,,
0.6574352500000002,886.921875,13841,1010,-20.5625,13,64,,,,,
0.6379817500000013,882.6470588235294,14627,1010,-20.573529411764707,14,68,,,,,
0.6173154999999979,881.3472222222222,15462,1010,-20.59722222222222,15,72,,,,,
0.5967234999999993,879.9342105263158,16294,1011,-20.605263157894736,16,76,,,,,
0.5752899999999984,880.325,17160,1011,-20.6125,16,80,,,,,
0.5533614999999998,881.9047619047619,18046,1011,-20.63095238095238,17,84,,,,,
0.5317547500000023,882.1931818181819,18919,1011,-20.625,18,88,,,,,
0.5108657500000007,881.6086956521739,19763,1011,-20.619565217391305,19,92,,,,,
0.49029849999999997,880.28125,20594,1011,-20.625,20,96,,,,,
0.46980549999999877,879.42,21422,1011,-20.63,21,100,,,,,
0.44918875000000213,879.51,22255,1011,-20.63,21,104,,,,,
0.4260227500000009,882.96,23191,1012,-20.59,22,108,,,,,
0.4041932499999997,883.93,24073,1012,-20.61,23,112,,,,,
0.3837497499999999,880.57,24899,1013,-20.64,24,116,,,,,
0.36023724999999973,884.0,25849,1013,-20.61,25,120,,,,,
0.33999175000000015,878.11,26667,1012,-20.65,26,124,,,,,
0.3184839999999999,879.19,27536,1012,-20.65,27,128,,,,,
0.2977435000000025,879.25,28374,1012,-20.66,28,132,,,,,
0.27749799999999736,878.33,29192,1012,-20.65,28,136,,,,,
0.25715350000000037,876.05,30014,1012,-20.67,29,140,,,,,
0.2348290000000014,877.54,30916,1012,-20.67,30,144,,,,,
0.21240549999999958,878.59,31822,1013,-20.68,31,148,,,,,
0.1892642500000019,884.13,32757,1013,-20.66,32,152,,,,,
0.16832574999999883,882.11,33603,1013,-20.67,33,156,,,,,
0.148525750000001,879.26,34403,1012,-20.68,33,160,,,,,
0.12820600000000193,878.79,35224,1012,-20.68,34,164,,,,,
0.10637650000000076,882.22,36106,1012,-20.68,35,168,,,,,
0.08523999999999754,882.79,36960,1013,-20.68,36,172,,,,,
0.06417774999999903,883.81,37811,1012,-20.68,37,176,,,,,
0.0425215000000001,884.54,38686,1012,-20.67,38,180,,,,,
0.021236499999997993,883.19,39546,1012,-20.66,39,184,,,,,
