time/time_elapsed,rollout/ep_len_mean,rollout/exploration_rate,time/fps,time/total_timesteps,rollout/ep_rew_mean,time/episodes,eval/mean_ep_length,eval/mean_reward,train/loss,train/learning_rate,train/n_updates
0,873.25,0.9789624999999995,941,850,-20.5,4,,,,,
1,878.5,0.9574794999999974,973,1718,-20.5,8,,,,,
2,873.5,0.9366894999999985,986,2558,-20.583333333333332,12,,,,,
3,877.0,0.9152807500000011,994,3423,-20.625,16,,,,,
4,868.1,0.8952579999999997,1000,4232,-20.65,20,,,,,
5,878.5,0.872661250000001,1004,5145,-20.625,24,,,,,
5,876.3571428571429,0.8517475000000015,1006,5990,-20.642857142857142,28,,,,,
6,874.21875,0.8311802500000008,1007,6821,-20.6875,32,,,,,
7,880.3055555555555,0.8087815000000025,1007,7726,-20.72222222222222,36,,,,,
8,879.55,0.7876697500000027,1008,8579,-20.7,40,,,,,
9,882.7727272727273,0.7657165000000006,1008,9466,-20.681818181818183,44,,,,,
10,877.3541666666666,0.7460155000000002,1009,10262,-20.6875,48,,,,,
11,880.3076923076923,0.7239384999999974,1010,11154,-20.692307692307693,52,,,,,
11,883.25,0.701515000000001,1012,12060,-20.696428571428573,56,,,,,
12,885.4166666666666,0.6794627500000017,1012,12951,-20.666666666666668,60,,,,,
13,891.078125,0.6559254999999979,1013,13902,-20.5625,64,,,,,
14,893.75,0.6332297500000021,1014,14819,-20.529411764705884,68,,,,,
15,894.9861111111111,0.6112269999999986,1014,15708,-20.541666666666668,72,,,,,
16,896.5657894736842,0.588976749999999,1015,16607,-20.526315789473685,76,,,,,
17,896.7625,0.5673205000000001,1015,17482,-20.525,80,,,,,
18,895.75,0.5462087500000002,1015,18335,-20.511904761904763,84,,,,,
18,894.9431818181819,0.5250970000000004,1015,19188,-20.53409090909091,88,,,,,
19,894.0108695652174,0.5039852500000006,1015,20041,-20.554347826086957,92,,,,,
20,891.7395833333334,0.4837397500000009,1015,20859,-20.5625,96,,,,,
21,893.81,0.4608212500000014,1016,21785,-20.57,100,,,,,
22,892.43,0.44062524999999775,1016,22601,-20.58,104,,,,,
23,894.41,0.41820175000000137,1016,23507,-20.55,108,,,,,
24,896.73,0.3959515000000018,1016,24406,-20.53,112,,,,,
24,896.47,0.37476550000000264,1016,25262,-20.52,116,,,,,
25,897.71,0.3540002500000018,1016,26101,-20.52,120,,,,,
26,893.71,0.33405174999999965,1016,26907,-20.54,124,,,,,
27,890.73,0.31499425000000125,1016,27677,-20.55,128,,,,,
28,893.65,0.2925460000000014,1016,28584,-20.53,132,,,,,
29,895.13,0.26903350000000126,1016,29534,-20.51,136,,,,,
29,891.84,0.25007500000000016,1016,30300,-20.53,140,,,,,
30,889.29,0.22955725000000093,1016,31129,-20.54,144,,,,,
31,891.32,0.20854449999999847,1017,31978,-20.54,148,,,,,
32,894.96,0.18406675000000072,1017,32967,-20.51,152,,,,,
33,897.12,0.1604304999999998,1017,33922,-20.48,156,,,,,
34,899.33,0.13699224999999904,1017,34869,-20.49,160,,,,,
35,895.65,0.11558350000000162,1018,35734,-20.55,164,,,,,
35,894.41,0.09385299999999785,1018,36612,-20.58,168,,,,,
36,893.71,0.07214724999999744,1018,37489,-20.56,172,,,,,
37,892.5,0.05073850000000013,1017,38354,-20.58,176,,,,,
38,891.89,0.02930499999999925,1018,39220,-20.58,180,,,,,
39,890.41,0.01,1018,40039,-20.59,184,,,,,
40,892.53,0.01,1018,40943,-20.55,188,,,,,
41,893.86,0.01,1018,41831,-20.54,192,,,,,
41,896.09,0.01,1018,42705,-20.53,196,,,,,
42,896.4,0.01,1018,43639,-20.51,200,,,,,
43,897.55,0.01,1018,44482,-20.51,204,,,,,
44,895.52,0.01,1018,45346,-20.56,208,,,,,
45,894.18,0.01,1018,46210,-20.59,212,,,,,
46,891.69,0.01,1018,47004,-20.6,216,,,,,
46,891.03,0.01,1018,47832,-20.61,220,,,,,
47,894.04,0.01,1018,48718,-20.6,224,,,,,
48,896.63,0.01,1018,49547,-20.57,228,,,,,
49,894.91,0.01,1018,50419,-20.58,232,,,,,
50,892.1,0.01,1018,51295,-20.59,236,,,,,
51,893.86,0.01,1018,52110,-20.59,240,,,,,
52,896.03,0.01,1018,52989,-20.58,244,,,,,
52,893.23,0.01,1018,53768,-20.59,248,,,,,
53,889.06,0.01,1018,54646,-20.61,252,,,,,
54,883.28,0.01,1018,55453,-20.65,256,,,,,
55,879.65,0.01,1018,56309,-20.67,260,,,,,
56,878.86,0.01,1018,57149,-20.68,264,,,,,
56,878.31,0.01,1019,58021,-20.67,268,,,,,
57,876.7,0.01,1019,58868,-20.68,272,,,,,
58,876.78,0.01,1019,59742,-20.68,276,,,,,
59,876.86,0.01,1019,60598,-20.68,280,,,,,
60,879.14,0.01,1019,61469,-20.68,284,,,,,
61,875.64,0.01,1019,62291,-20.71,288,,,,,
61,873.67,0.01,1019,63123,-20.71,292,,,,,
62,871.52,0.01,1019,63944,-20.71,296,,,,,
63,866.46,0.01,1019,64745,-20.74,300,,,,,
64,865.82,0.01,1019,65579,-20.75,304,,,,,
65,862.44,0.01,1019,66358,-20.75,308,,,,,
65,859.6,0.01,1019,67151,-20.75,312,,,,,
66,860.35,0.01,1019,67970,-20.76,316,,,,,
67,862.92,0.01,1019,68863,-20.74,320,,,,,
68,859.97,0.01,1019,69672,-20.75,324,,,,,
69,862.82,0.01,1019,70574,-20.77,328,,,,,
70,863.99,0.01,1019,71472,-20.76,332,,,,,
70,862.64,0.01,1019,72308,-20.77,336,,,,,
71,863.04,0.01,1019,73136,-20.76,340,,,,,
72,857.99,0.01,1019,73885,-20.78,344,,,,,
73,861.41,0.01,1019,74745,-20.76,348,,,,,
74,860.11,0.01,1019,75599,-20.77,352,,,,,
74,861.64,0.01,1019,76443,-20.77,356,,,,,
75,859.84,0.01,1019,77248,-20.76,360,,,,,
76,860.71,0.01,1019,78102,-20.77,364,,,,,
77,859.28,0.01,1019,78937,-20.77,368,,,,,
78,857.5,0.01,1019,79729,-20.79,372,,,,,
79,857.26,0.01,1019,80603,-20.79,376,,,,,
80,861.43,0.01,1019,81567,-20.77,380,,,,,
80,859.6,0.01,1019,82398,-20.79,384,,,,,
81,861.41,0.01,1019,83267,-20.8,388,,,,,
82,860.23,0.01,1019,84082,-20.81,392,,,,,
83,860.36,0.01,1019,84914,-20.83,396,,,,,
84,862.57,0.01,1019,85764,-20.83,400,,,,,
85,865.41,0.01,1019,86665,-20.81,404,,,,,
85,871.55,0.01,1019,87591,-20.77,408,,,,,
86,871.71,0.01,1019,88389,-20.77,412,,,,,
87,873.47,0.01,1019,89249,-20.73,416,,,,,
88,872.17,0.01,1019,90108,-20.71,420,,,,,
89,877.19,0.01,1019,91042,-20.69,424,,,,,
90,874.18,0.01,1019,91872,-20.7,428,,,,,
90,872.89,0.01,1019,92743,-20.71,432,,,,,
91,870.75,0.01,1019,93527,-20.7,436,,,,,
92,871.52,0.01,1019,94374,-20.7,440,,,,,
93,875.66,0.01,1019,95232,-20.69,444,,,,,
94,876.19,0.01,1019,96105,-20.7,448,,,,,
95,875.46,0.01,1019,96932,-20.7,452,,,,,
95,874.57,0.01,1019,97765,-20.69,456,,,,,
