time/episodes,rollout/ep_rew_mean,time/total_timesteps,rollout/exploration_rate,time/fps,rollout/ep_len_mean,time/time_elapsed,eval/mean_ep_length,eval/mean_reward,train/learning_rate,train/loss,train/n_updates
4,-20.75,814,0.9798534999999977,931,837.0,0,,,,,
8,-20.875,1684,0.9583209999999995,962,867.375,1,,,,,
12,-20.666666666666668,2546,0.9369865000000015,980,875.0,2,,,,,
16,-20.6875,3423,0.9152807500000011,990,881.5625,3,,,,,
20,-20.7,4252,0.894763000000002,996,874.4,4,,,,,
24,-20.708333333333332,5062,0.8747155000000024,1000,867.4166666666666,5,,,,,
28,-20.75,5904,0.8538760000000023,1002,866.6785714285714,5,,,,,
32,-20.75,6793,0.8318732499999988,1005,871.625,6,,,,,
36,-20.72222222222222,7665,0.8102912499999992,1007,874.5,7,,,,,
40,-20.7,8490,0.7898724999999973,1008,871.575,8,,,,,
44,-20.704545454545453,9328,0.7691319999999999,1008,870.3409090909091,9,,,,,
48,-20.6875,10199,0.7475747499999983,1009,872.6666666666666,10,,,,,
52,-20.71153846153846,10987,0.728071749999998,1009,868.0576923076923,10,,,,,
56,-20.732142857142858,11863,0.7063907500000011,1010,870.0178571428571,11,,,,,
60,-20.716666666666665,12780,0.6836949999999997,1012,874.0833333333334,12,,,,,
64,-20.734375,13555,0.6645137500000005,1012,869.203125,13,,,,,
68,-20.720588235294116,14454,0.6422635000000008,1012,872.3088235294117,14,,,,,
72,-20.73611111111111,15234,0.6229585000000007,1013,868.25,15,,,,,
76,-20.75,16068,0.6023170000000007,1013,867.8157894736842,15,,,,,
80,-20.75,16922,0.5811804999999974,1014,867.625,16,,,,,
84,-20.761904761904763,17772,0.5601430000000025,1014,867.8928571428571,17,,,,,
88,-20.761363636363637,18639,0.5386847499999983,1014,868.8522727272727,18,,,,,
92,-20.77173913043478,19474,0.5180185000000002,1014,868.304347826087,19,,,,,
96,-20.760416666666668,20350,0.49633749999999777,1015,869.6458333333334,20,,,,,
100,-20.76,21180,0.47579500000000063,1014,868.9,20,,,,,
104,-20.76,22041,0.4544852500000006,1015,870.58,21,,,,,
108,-20.76,22831,0.43493274999999887,1015,867.04,22,,,,,
112,-20.79,23655,0.4145387500000004,1015,865.03,23,,,,,
116,-20.78,24515,0.3932537499999984,1015,864.14,24,,,,,
120,-20.75,25418,0.3709045000000015,1015,867.13,25,,,,,
124,-20.75,26182,0.3519955000000018,1015,865.35,25,,,,,
128,-20.75,26976,0.33234400000000286,1015,863.7,26,,,,,
132,-20.72,27831,0.3111827500000015,1015,862.6,27,,,,,
136,-20.73,28652,0.29086300000000254,1015,860.36,28,,,,,
140,-20.74,29547,0.26871175000000025,1016,863.41,29,,,,,
144,-20.74,30482,0.24557050000000258,1016,867.02,29,,,,,
148,-20.73,31372,0.22354300000000116,1016,867.74,30,,,,,
152,-20.69,32300,0.20057500000000006,1016,873.29,31,,,,,
156,-20.69,33148,0.17958700000000116,1016,872.37,32,,,,,
160,-20.69,34010,0.1582524999999977,1016,870.56,33,,,,,
164,-20.69,34906,0.13607649999999738,1016,875.34,34,,,,,
168,-20.7,35817,0.11352925000000025,1016,875.44,35,,,,,
172,-20.7,36630,0.09340750000000153,1017,876.9,36,,,,,
176,-20.7,37426,0.07370650000000112,1016,875.34,36,,,,,
180,-20.69,38358,0.05063949999999717,1016,879.04,37,,,,,
184,-20.68,39278,0.02786950000000199,1016,881.71,38,,,,,
188,-20.67,40174,0.01,1016,882.9,39,,,,,
192,-20.67,41010,0.01,1016,882.97,40,,,,,
196,-20.69,41841,0.01,1016,880.97,41,,,,,
200,-20.69,42671,0.01,1016,880.91,41,,,,,
204,-20.69,43513,0.01,1016,880.39,42,,,,,
208,-20.67,44357,0.01,1016,882.74,43,,,,,
212,-20.64,45273,0.01,1016,886.85,44,,,,,
216,-20.62,46174,0.01,1016,888.48,45,,,,,
220,-20.66,46986,0.01,1016,885.19,46,,,,,
224,-20.66,47830,0.01,1016,888.2,47,,,,,
228,-20.64,48676,0.01,1016,890.28,47,,,,,
232,-20.66,49518,0.01,1016,889.96,48,,,,,
236,-20.63,50459,0.01,1017,894.67,49,,,,,
240,-20.63,51349,0.01,1017,893.96,50,,,,,
244,-20.61,52233,0.01,1017,892.36,51,,,,,
248,-20.61,53104,0.01,1017,891.23,52,,,,,
252,-20.64,53941,0.01,1017,887.72,53,,,,,
256,-20.64,54766,0.01,1017,886.66,53,,,,,
260,-20.65,55614,0.01,1017,885.92,54,,,,,
264,-20.6,56546,0.01,1017,887.11,55,,,,,
268,-20.6,57415,0.01,1017,885.73,56,,,,,
272,-20.59,58268,0.01,1017,887.41,57,,,,,
276,-20.59,59090,0.01,1017,888.35,58,,,,,
280,-20.61,59943,0.01,1017,885.46,58,,,,,
284,-20.6,60828,0.01,1017,884.25,59,,,,,
288,-20.62,61664,0.01,1017,881.82,60,,,,,
292,-20.6,62529,0.01,1017,882.89,61,,,,,
296,-20.57,63367,0.01,1017,883.46,62,,,,,
300,-20.58,64210,0.01,1017,884.19,63,,,,,
304,-20.59,65153,0.01,1017,888.1,64,,,,,
308,-20.6,66002,0.01,1017,888.19,64,,,,,
312,-20.61,66905,0.01,1017,887.18,65,,,,,
316,-20.65,67703,0.01,1017,883.29,66,,,,,
320,-20.65,68527,0.01,1017,883.28,67,,,,,
324,-20.66,69346,0.01,1017,882.58,68,,,,,
328,-20.68,70112,0.01,1017,879.31,68,,,,,
332,-20.69,70931,0.01,1017,878.21,69,,,,,
336,-20.72,71835,0.01,1017,876.85,70,,,,,
340,-20.73,72682,0.01,1017,875.54,71,,,,,
344,-20.74,73571,0.01,1017,875.81,72,,,,,
348,-20.75,74424,0.01,1017,875.17,73,,,,,
352,-20.76,75304,0.01,1017,876.74,74,,,,,
356,-20.74,76235,0.01,1017,881.03,74,,,,,
360,-20.74,77073,0.01,1017,880.81,75,,,,,
364,-20.78,77982,0.01,1017,880.46,76,,,,,
368,-20.77,78859,0.01,1017,880.88,77,,,,,
372,-20.78,79687,0.01,1017,879.94,78,,,,,
376,-20.77,80531,0.01,1017,880.56,79,,,,,
380,-20.76,81347,0.01,1017,878.78,79,,,,,
384,-20.77,82226,0.01,1017,878.4,80,,,,,
388,-20.75,83058,0.01,1017,878.17,81,,,,,
392,-20.77,83907,0.01,1017,877.39,82,,,,,
396,-20.78,84736,0.01,1017,876.86,83,,,,,
400,-20.76,85551,0.01,1017,875.75,84,,,,,
404,-20.76,86327,0.01,1017,869.0,84,,,,,
408,-20.76,87205,0.01,1017,870.15,85,,,,,
412,-20.77,88112,0.01,1017,870.26,86,,,,,
416,-20.76,89034,0.01,1017,875.62,87,,,,,
420,-20.74,89929,0.01,1017,878.81,88,,,,,
424,-20.72,90761,0.01,1017,879.13,89,,,,,
428,-20.72,91603,0.01,1017,882.35,90,,,,,
432,-20.71,92460,0.01,1017,883.7,90,,,,,
436,-20.72,93253,0.01,1017,879.23,91,,,,,
440,-20.72,94102,0.01,1017,879.28,92,,,,,
444,-20.74,94977,0.01,1017,878.58,93,,,,,
448,-20.75,95803,0.01,1017,877.64,94,,,,,
452,-20.71,96739,0.01,1017,879.77,95,,,,,
456,-20.71,97652,0.01,1017,879.2,95,,,,,
460,-20.7,98479,0.01,1017,878.56,96,,,,,
464,-20.7,99304,0.01,1017,875.0,97,,,,,
,,100000,0.01,,,,764.0,-21.0,,,
468,-20.7,100165,0.01,965,874.44,103,,,0.0001,0.04353666305541992,41
472,-20.7,100901,0.01,960,870.83,105,,,0.0001,0.04405146837234497,225
476,-20.71,101648,0.01,955,866.99,106,,,0.0001,0.09158127009868622,411
480,-20.72,102389,0.01,950,863.96,107,,,0.0001,0.06655830144882202,597
484,-20.73,103126,0.01,946,858.51,109,,,0.0001,0.07024510949850082,781
488,-20.75,103876,0.01,941,854.98,110,,,0.0001,0.017724012956023216,968
492,-20.75,104633,0.01,936,851.53,111,,,0.0001,0.01705530658364296,1158
496,-20.77,105370,0.01,932,848.03,113,,,0.0001,0.041793882846832275,1342
500,-20.79,106131,0.01,927,845.61,114,,,0.0001,0.007933340966701508,1532
504,-20.78,106881,0.01,923,845.11,115,,,0.0001,0.08026982098817825,1720
508,-20.79,107615,0.01,919,839.71,117,,,0.0001,0.02731163613498211,1903
512,-20.8,108358,0.01,915,833.64,118,,,0.0001,0.01714158244431019,2089
516,-20.81,109115,0.01,910,826.56,119,,,0.0001,0.03168831020593643,2278
520,-20.82,109899,0.01,906,821.8,121,,,0.0001,0.013137958012521267,2474
524,-20.84,110644,0.01,903,818.21,122,,,0.0001,0.010654252022504807,2660
528,-20.83,111421,0.01,899,815.29,123,,,0.0001,0.02299238182604313,2855
532,-20.85,112206,0.01,895,812.57,125,,,0.0001,0.039919763803482056,3051
536,-20.85,112960,0.01,891,811.21,126,,,0.0001,0.009413648396730423,3239
540,-20.85,113752,0.01,888,808.96,128,,,0.0001,0.011305192485451698,3437
544,-20.85,114654,0.01,884,809.74,129,,,0.0001,0.009205462411046028,3663
548,-20.86,115429,0.01,880,807.59,131,,,0.0001,0.012186277657747269,3857
552,-20.9,116219,0.01,877,801.72,132,,,0.0001,0.004399776458740234,4054
556,-20.92,116971,0.01,874,795.28,133,,,0.0001,0.01146136224269867,4242
560,-20.93,117783,0.01,870,794.82,135,,,0.0001,0.00689241336658597,4445
564,-20.94,118534,0.01,867,791.76,136,,,0.0001,0.005200341809540987,4633
568,-20.96,119270,0.01,864,786.86,137,,,0.0001,0.024651940912008286,4817
572,-20.96,120033,0.01,861,787.46,139,,,0.0001,0.008026167750358582,5008
576,-20.96,120788,0.01,858,788.06,140,,,0.0001,0.005004058126360178,5196
580,-20.96,121583,0.01,855,790.5,142,,,0.0001,0.004665406420826912,5395
584,-20.94,122409,0.01,852,794.06,143,,,0.0001,0.03343328833580017,5602
588,-20.93,123265,0.01,849,798.65,145,,,0.0001,0.010754561051726341,5816
592,-20.92,124069,0.01,846,800.83,146,,,0.0001,0.004114200361073017,6017
596,-20.92,124868,0.01,843,802.91,147,,,0.0001,0.028405597433447838,6216
