time/fps,rollout/ep_len_mean,time/episodes,rollout/exploration_rate,time/time_elapsed,time/total_timesteps,rollout/ep_rew_mean,eval/mean_reward,eval/mean_ep_length,train/learning_rate,train/n_updates,train/loss
936,851.25,4,0.99917731,0,831,-20.75,,,,,
967,856.0,8,0.9983417499999999,1,1675,-20.875,,,,,
985,864.4166666666666,12,0.99749332,2,2532,-20.666666666666668,,,,,
994,880.9375,16,0.9965894500000001,3,3445,-20.5,,,,,
999,882.35,20,0.9957321100000001,4,4311,-20.6,,,,,
1004,901.0,24,0.9947698300000001,5,5283,-20.5,,,,,
1007,897.0357142857143,28,0.99391744,6,6144,-20.5,,,,,
1008,892.875,32,0.99308485,6,6985,-20.53125,,,,,
1010,889.5,36,0.99225127,7,7827,-20.583333333333332,,,,,
1010,890.6,40,0.991387,8,8700,-20.575,,,,,
1010,889.7954545454545,44,0.99053758,9,9558,-20.613636363636363,,,,,
1011,891.125,48,0.9896624199999999,10,10442,-20.583333333333332,,,,,
1012,885.7115384615385,52,0.9888724000000001,11,11240,-20.596153846153847,,,,,
1012,888.875,56,0.98797051,11,12151,-20.553571428571427,,,,,
1012,889.3333333333334,60,0.9871141600000001,12,13016,-20.55,,,,,
1012,886.921875,64,0.98629741,13,13841,-20.5625,,,,,
1011,882.6470588235294,68,0.9855192700000001,14,14627,-20.573529411764707,,,,,
1011,881.3472222222222,72,0.9846926199999999,15,15462,-20.59722222222222,,,,,
1012,879.9342105263158,76,0.98386894,16,16294,-20.605263157894736,,,,,
1012,880.325,80,0.9830116,16,17160,-20.6125,,,,,
1012,881.9047619047619,84,0.98213446,17,18046,-20.63095238095238,,,,,
1012,882.1931818181819,88,0.98127019,18,18919,-20.625,,,,,
1011,881.6086956521739,92,0.98043463,19,19763,-20.619565217391305,,,,,
1012,880.28125,96,0.97961194,20,20594,-20.625,,,,,
1012,879.42,100,0.97879222,21,21422,-20.63,,,,,
1012,879.51,104,0.9779675500000001,21,22255,-20.63,,,,,
1013,882.96,108,0.97704091,22,23191,-20.59,,,,,
1013,883.93,112,0.97616773,23,24073,-20.61,,,,,
1014,880.57,116,0.97534999,24,24899,-20.64,,,,,
1014,884.0,120,0.97440949,25,25849,-20.61,,,,,
1014,878.11,124,0.97359967,26,26667,-20.65,,,,,
1014,879.19,128,0.9727393599999999,27,27536,-20.65,,,,,
1014,879.25,132,0.9719097400000001,27,28374,-20.66,,,,,
1014,878.33,136,0.9710999199999999,28,29192,-20.65,,,,,
1014,876.05,140,0.97028614,29,30014,-20.67,,,,,
1013,877.54,144,0.9693931600000001,30,30916,-20.67,,,,,
1013,878.59,148,0.96849622,31,31822,-20.68,,,,,
1014,884.13,152,0.9675705700000001,32,32757,-20.66,,,,,
1014,882.11,156,0.96673303,33,33603,-20.67,,,,,
1014,879.26,160,0.9659410300000001,33,34403,-20.68,,,,,
1014,878.79,164,0.9651282400000001,34,35224,-20.68,,,,,
1014,882.22,168,0.96425506,35,36106,-20.68,,,,,
1014,882.79,172,0.9634095999999999,36,36960,-20.68,,,,,
1014,883.81,176,0.96256711,37,37811,-20.68,,,,,
1014,884.54,180,0.96170086,38,38686,-20.67,,,,,
1014,883.19,184,0.9608494599999999,38,39546,-20.66,,,,,
1014,885.23,188,0.9599446,39,40460,-20.66,,,,,
1015,883.16,192,0.9591535900000001,40,41259,-20.68,,,,,
1015,882.84,196,0.9583467400000001,41,42074,-20.69,,,,,
1015,884.91,200,0.9574686099999999,42,42961,-20.67,,,,,
1015,885.64,204,0.9566300799999999,43,43808,-20.65,,,,,
1015,880.78,208,0.95583115,43,44615,-20.68,,,,,
1015,877.08,212,0.95505004,44,45404,-20.69,,,,,
1015,880.91,216,0.95414221,45,46321,-20.68,,,,,
1015,877.23,220,0.95328586,46,47186,-20.71,,,,,
1015,876.64,224,0.9524899,47,47990,-20.71,,,,,
1015,875.2,228,0.9516602799999999,48,48828,-20.72,,,,,
1015,874.22,232,0.95085442,48,49642,-20.71,,,,,
1015,874.74,236,0.95003371,49,50471,-20.72,,,,,
1015,876.87,240,0.9491694399999999,50,51344,-20.72,,,,,
1015,874.75,244,0.9483338800000001,51,52188,-20.71,,,,,
1015,871.38,248,0.94750921,52,53021,-20.73,,,,,
1015,871.42,252,0.94658752,53,53952,-20.72,,,,,
1015,874.61,256,0.94565296,54,54896,-20.73,,,,,
1015,876.29,260,0.9448154200000001,54,55742,-20.73,,,,,
