time/episodes,time/total_timesteps,time/fps,rollout/exploration_rate,time/time_elapsed,rollout/ep_rew_mean,rollout/ep_len_mean,eval/mean_ep_length,eval/mean_reward,train/learning_rate,train/n_updates,train/loss
4,850,939,0.9991585,0,-20.5,873.25,,,,,
8,1718,972,0.9982991799999998,1,-20.5,878.5,,,,,
12,2558,985,0.9974675799999999,2,-20.583333333333332,873.5,,,,,
16,3423,991,0.9966112300000001,3,-20.625,877.0,,,,,
20,4232,997,0.99581032,4,-20.65,868.1,,,,,
24,5145,1001,0.99490645,5,-20.625,878.5,,,,,
28,5990,1004,0.9940699000000001,5,-20.642857142857142,876.3571428571429,,,,,
32,6821,1005,0.99324721,6,-20.6875,874.21875,,,,,
36,7726,1006,0.9923512600000001,7,-20.72222222222222,880.3055555555555,,,,,
40,8579,1007,0.9915067900000001,8,-20.7,879.55,,,,,
44,9466,1008,0.99062866,9,-20.681818181818183,882.7727272727273,,,,,
48,10262,1008,0.9898406200000001,10,-20.6875,877.3541666666666,,,,,
52,11154,1010,0.9889575399999999,11,-20.692307692307693,880.3076923076923,,,,,
56,12060,1011,0.9880606000000001,11,-20.696428571428573,883.25,,,,,
60,12951,1011,0.9871785100000001,12,-20.666666666666668,885.4166666666666,,,,,
64,13902,1012,0.9862370199999999,13,-20.5625,891.078125,,,,,
68,14819,1013,0.9853291900000001,14,-20.529411764705884,893.75,,,,,
72,15708,1013,0.98444908,15,-20.541666666666668,894.9861111111111,,,,,
76,16607,1013,0.98355907,16,-20.526315789473685,896.5657894736842,,,,,
80,17482,1013,0.98269282,17,-20.525,896.7625,,,,,
84,18335,1014,0.98184835,18,-20.511904761904763,895.75,,,,,
88,19188,1011,0.98100388,18,-20.53409090909091,894.9431818181819,,,,,
92,20041,1011,0.9801594100000001,19,-20.554347826086957,894.0108695652174,,,,,
96,20859,1012,0.97934959,20,-20.5625,891.7395833333334,,,,,
100,21785,1012,0.97843285,21,-20.57,893.81,,,,,
104,22601,1013,0.9776250099999999,22,-20.58,892.43,,,,,
108,23507,1013,0.9767280700000001,23,-20.55,894.41,,,,,
112,24406,1012,0.9758380600000001,24,-20.53,896.73,,,,,
116,25262,1012,0.9749906200000001,24,-20.52,896.47,,,,,
120,26101,1012,0.9741600100000001,25,-20.52,897.71,,,,,
124,26907,1012,0.97336207,26,-20.54,893.71,,,,,
128,27677,1012,0.9725997700000001,27,-20.55,890.73,,,,,
132,28584,1012,0.97170184,28,-20.53,893.65,,,,,
136,29534,1012,0.97076134,29,-20.51,895.13,,,,,
140,30300,1012,0.9700030000000001,29,-20.53,891.84,,,,,
144,31129,1012,0.96918229,30,-20.54,889.29,,,,,
148,31978,1012,0.9683417799999999,31,-20.54,891.32,,,,,
152,32967,1013,0.96736267,32,-20.51,894.96,,,,,
156,33922,1013,0.96641722,33,-20.48,897.12,,,,,
160,34869,1013,0.96547969,34,-20.49,899.33,,,,,
164,35734,1013,0.96462334,35,-20.55,895.65,,,,,
168,36612,1013,0.9637541199999999,36,-20.58,894.41,,,,,
172,37489,1013,0.9628858899999999,36,-20.56,893.71,,,,,
176,38354,1013,0.96202954,37,-20.58,892.5,,,,,
180,39220,1014,0.9611721999999999,38,-20.58,891.89,,,,,
184,40039,1014,0.9603613900000001,39,-20.59,890.41,,,,,
188,40943,1014,0.9594664300000001,40,-20.55,892.53,,,,,
192,41831,1014,0.9585873100000001,41,-20.54,893.86,,,,,
