time/episodes,time/fps,time/total_timesteps,time/time_elapsed,rollout/exploration_rate,rollout/ep_len_mean,rollout/ep_rew_mean,eval/mean_ep_length,eval/mean_reward,train/learning_rate,train/n_updates,train/loss
4,930,814,0,0.99919414,837.0,-20.75,,,,,
8,967,1684,1,0.99833284,867.375,-20.875,,,,,
12,982,2546,2,0.9974794600000001,875.0,-20.666666666666668,,,,,
16,990,3423,3,0.9966112300000001,881.5625,-20.6875,,,,,
20,995,4252,4,0.9957905200000001,874.4,-20.7,,,,,
24,1000,5062,5,0.9949886200000001,867.4166666666666,-20.708333333333332,,,,,
28,1003,5904,5,0.9941550400000001,866.6785714285714,-20.75,,,,,
32,1006,6793,6,0.99327493,871.625,-20.75,,,,,
36,1008,7665,7,0.99241165,874.5,-20.72222222222222,,,,,
40,1009,8490,8,0.9915949,871.575,-20.7,,,,,
44,1010,9328,9,0.99076528,870.3409090909091,-20.704545454545453,,,,,
48,1011,10199,10,0.9899029899999999,872.6666666666666,-20.6875,,,,,
52,1011,10987,10,0.9891228699999999,868.0576923076923,-20.71153846153846,,,,,
56,1013,11863,11,0.98825563,870.0178571428571,-20.732142857142858,,,,,
60,1014,12780,12,0.9873478,874.0833333333334,-20.716666666666665,,,,,
64,1014,13555,13,0.98658055,869.203125,-20.734375,,,,,
68,1015,14454,14,0.98569054,872.3088235294117,-20.720588235294116,,,,,
72,1015,15234,14,0.98491834,868.25,-20.73611111111111,,,,,
76,1016,16068,15,0.98409268,867.8157894736842,-20.75,,,,,
80,1016,16922,16,0.9832472199999999,867.625,-20.75,,,,,
84,1016,17772,17,0.9824057200000001,867.8928571428571,-20.761904761904763,,,,,
88,1016,18639,18,0.9815473899999999,868.8522727272727,-20.761363636363637,,,,,
92,1016,19474,19,0.98072074,868.304347826087,-20.77173913043478,,,,,
96,1017,20350,20,0.9798534999999999,869.6458333333334,-20.760416666666668,,,,,
100,1017,21180,20,0.9790318,868.9,-20.76,,,,,
104,1017,22041,21,0.97817941,870.58,-20.76,,,,,
108,1018,22831,22,0.97739731,867.04,-20.76,,,,,
112,1018,23655,23,0.97658155,865.03,-20.79,,,,,
116,1018,24515,24,0.97573015,864.14,-20.78,,,,,
120,1018,25418,24,0.97483618,867.13,-20.75,,,,,
124,1018,26182,25,0.97407982,865.35,-20.75,,,,,
128,1018,26976,26,0.9732937600000001,863.7,-20.75,,,,,
132,1018,27831,27,0.9724473100000001,862.6,-20.72,,,,,
136,1018,28652,28,0.9716345200000001,860.36,-20.73,,,,,
140,1018,29547,29,0.97074847,863.41,-20.74,,,,,
144,1019,30482,29,0.9698228200000001,867.02,-20.74,,,,,
148,1019,31372,30,0.96894172,867.74,-20.73,,,,,
152,1019,32300,31,0.968023,873.29,-20.69,,,,,
156,1019,33148,32,0.9671834800000001,872.37,-20.69,,,,,
160,1019,34010,33,0.9663300999999999,870.56,-20.69,,,,,
164,1019,34906,34,0.9654430599999999,875.34,-20.69,,,,,
168,1019,35817,35,0.9645411700000001,875.44,-20.7,,,,,
172,1019,36630,35,0.9637363000000001,876.9,-20.7,,,,,
