rollout/ep_rew_mean,time/total_timesteps,rollout/ep_len_mean,time/fps,time/episodes,time/time_elapsed,rollout/exploration_rate,train/learning_rate,train/loss,train/n_updates,eval/mean_ep_length,eval/mean_reward
-20.75,831,851.25,820,4,1,0.9958865499999999-20.666666666666668,2532,864.4166666666666,903,12,2,0.9874666000000001,,,,,
-20.5,3445,880.9375,924,16,3,0.9829472500000004,,,,,
-20.6,4311,882.35,931,20,4,0.9786605500000002,,,,,
-20.5,5283,901.0,944,24,5,0.9738491500000004,,,,,
-20.5,6144,897.0357142857143,948,28,6,0.9695872000000003,,,,,
-20.53125,6985,892.875,951,32,7,0.9654242499999999,,,,,
-20.583333333333332,7827,889.5,955,36,8,0.9612563499999999,,,,,
-20.575,8700,890.6,957,40,9,0.9569350000000003,,,,,
-20.613636363636363,9558,889.7954545454545,959,44,9,0.9526879000000003,,,,,
36363,9558,44,889.7954545454545,9,0.9526879000000003,,,,,,,,
890,-20.604166666666668,10398,48,887.4583333333334,11,0.9485299000000005,0.0001,0.05593276768922806,99,,,,,
813,-20.634615384615383,11191,52,881.9615384615385,13,0.9446045500000002,0.0001,0.05638078227639198,297,,,,,
754,-20.607142857142858,12154,56,889.1607142857143,16,0.9398377,0.0001,0.03055873140692711,538,,,,,
710,-20.633333333333333,12945,60,884.7666666666667,18,0.9359222500000001,0.0001,0.015913570299744606,736,,,,,
674,-20.609375,13811,64,885.15625,20,0644,-20.61764705882353,14619,68,882.2941176470588,22,0.9276359500000003,0.0001,0.028637507930397987,1154,,
618,-20.625,15500,72,883.6111111111111,25,0.9232749999999996,0.0001,0.042528096586465836,1374,,
593,-20.61842105263158,16414,76,886.3552631578947,27,0.9187507000000004,0.0001,0.04290105029940605,1603,,
575,-20.625,17289,80,886.8625,30,0.9144194500000006,0.0001,0.02507246844470501,1822,,
561,-20.63095238095238,18117,84,885.3452380952381,32,0.9103208500000003,0.0001,0.009750508703291416,2029,,
548,-20.636363636363637,18932,88,882.8295454545455,34,0.9062866000000003,0.0001,0.024580802768468857,2232,,
534,-20.641304347826086,19892,92,887.2065217391304,37,0.9015346,0.0001,0.07255914807319641,2472,,
523,-20.65625,20709,96,885.0625,39,0.8974904499999996,0.0001,0.03402550891041756,2677,,
513,-20.67,21549,100,884.52,41,0.8933324499999998,0.0001,0.03175656497478485,2887,,
505,-20.68,22364,104,883.87,44,0.8892981999999998,0.0001,0.017454540356993675,3090,,
496,-20.65,23280,108,886.49,46,0.8847640000000001,0.0001,0.019408220425248146,3319,,
488,-20.67,24205,112,889.2,49,0.8801852499999998,0.0001,0.031420886516571045,3551,,
482,-20.71,25033,116,885.98,51,0.8760866499999996,0.0001,0.015347475185990334,3758,,
476,-20.7,25826,120,883.18,54,0.8721613000000005,0.0001,0.003688367549329996,3956,,
470,-20.72,26664,124,878.13,56,0.8680131999999999,0.0001,0.021367080509662628,4165,,
464,-20.73,27520,128,878.7,59,0.8637760000000001,0.0001,0.02940978668630123,4379,,
460,-20.72,28465,132,883.0,61,0.8590982500000002,0.0001,0.00676333624869585,4616,,
457,-20.69,29335,136,884.14,64,0.8547917499999995,0.0001,0.0018770465394482017,4833,,
452,-20.71,30187,140,883.09,66,0.8505743500000001,0.0001,0.008090734481811523,5046,,
448,-20.69,31049,144,883.01,69,0.8463074499999995,0.0001,0.024036897346377373,5262,,
005,0.0001,0.003688367549329996,3956,,
-20.72,26664,878.13,467,124,57,0.8680131999999999,0.0001,0.021367080509662628,4165,,
-20.73,27520,878.7,462,128,59,0.8637760000000001,0.0001,0.02940978668630123,4379,,
-20.72,28465,883.0,457,132,62,0.8590982500000002,0.0001,0.00676333624869585,4616,,
-20.69,29335,884.14,454,136,64,0.8547917499999995,0.0001,0.0018770465394482017,4833,,
-20.71,30187,883.09,451,140,66,0.8505743500000001,0.0001,0.008090734481811523,5046,,
-20.69,31049,883.01,449,144,69,0.8463074499999995,0.0001,0.024036897346377373,5262,,
-20.71,31828,880.75,446,148,71,0.8424514000000002,0.0001,0.006958305835723877,5456,,
-20.7,32699,883.93,444,152,73,0.8381399499999999,0.0001,0.006958089768886566,5674,,
-20.73,33514,878.57,440,156,76,0.8341056999999998,0.0001,0.01781570166349411,5878,,
-20.71,34435,883.44,437,160,78,0.82954675,0.0001,0.007414491381496191,6108,,
-20.73,35332,884.38,434,164,81,0.8251066000000005,0.0001,0.0024549802765250206,6332,,
-20.74,36187,885.78,431,168,83,0.8208743500000002,0.0001,0.008444594219326973,6546,,
-20.73,37041,884.5,428,172,86,0.8166470499999995,0.0001,0.010412333533167839,6760,,
-20.74,37895,882.37,426,176,88,0.81241975,0.0001,0.020441459491848946,6973,,
-20.73,38719,880.68,423,180,91,0.8083409500000003,0.0001,0.0025148633867502213,7179,,
-20.71,39580,881.7,421,184,93,0.8040790000000002,0.0001,0.005684005096554756,7394,,
-20.71,40406,882.58,420,188,96,0.7999903000000003,0.0001,0.01049392856657505,7601,,
-20.72,41249,877.69,418,192,98,0.7958174499999996,0.0001,0.0063169123604893684,7812,,
-20.72,42093,879.09,417,196,100,0.7916396500000004,0.0001,0.01631951332092285,8023,,
-20.7,42902,877.61,415,200,103,0.7876351,0.0001,0.052117735147476196,8225,,
-20.7,43719,877.83,413,204,105,0.7835909499999997,0.0001,0.009063820354640484,8429,,
-20.71,44627,877.85,411,208,108,0.7790963500000001,0.0001,0.01270411815494299,8656,,
-20.7,45536,877.17,409,212,111,0.7745967999999999,0.0001,0.003163781948387623,8883,,
-20.68,46438,880.19,408,216,113,0.7701319000000001,0.0001,0.015144786797463894,9109,,
-20.68,47294,882.38,407,220,116,0.7658947000000003,0.0001,0.018150541931390762,9323,,
-20.67,48191,884.68,406,224,118,0.7614545499999995,0.0001,0.019247442483901978,9547,,
-20.65,49131,887.78,404,228,121,0.7568015499999998,0.0001,0.04654674977064133,9782,,
-20.65,50009,885.14,403,232,123,0.7524554500000001,0.0001,0.014636811800301075,10002,,
-20.68,50822,882.93,402,236,126,0.7484311000000003,0.0001,0.020053336396813393,10205,,
-20.68,51649,882.0,401,240,128,0.7443374499999997,0.0001,0.0028087885584682226,10412,,
-20.69,52550,883.77,400,244,131,0.7398774999999995,0.0001,0.008739277720451355,10637,,
-20.69,53319,882.91,398,248,133,0.7360709500000006,0.0001,0.007536388002336025,10829,,
-20.7,54092,879.19,398,252,135,0.7322445999999998,0.0001,0.006118902005255222,11022,,
-20.68,54979,881.32,397,256,138,0.7278539500000005,0.0001,0.03329575061798096,11244,,
-20.68,55849,879.14,396,260,140,0.7235474499999999,0.0001,0.017197715118527412,11462,,
-20.68,56700,877.3,395,264,143,0.7193350000000002,0.0001,0.003160751424729824,11674,,
-20.65,57568,877.78,395,268,145,0.7150383999999996,0.0001,0.026638858020305634,11891,,
-20.67,58349,875.22,394,272,147,0.7111724500000001,0.0001,0.04087493568658829,12087,,
-20.67,59214,875.34,393,276,150,0.7068906999999995,0.0001,0.03355766832828522,12303,,
-20.69,60003,873.65,392,280,152,0.70298515,0.0001,0.004504104144871235,12500,,
-20.71,60825,872.21,391,284,155,0.6989162500000005,0.0001,0.0033659853506833315,12706,,
-20.72,61630,871.37,390,288,157,0.6949314999999996,0.0001,0.011019161902368069,12907,,
-20.71,62438,870.43,390,292,160,0.6909319,0.0001,0.006796493660658598,13109,,
-20.7,63321,871.94,388,296,162,0.6865610500000001,0.0001,0.008795860223472118,13330,,
