time/fps,time/episodes,rollout/ep_rew_mean,time/total_timesteps,time/time_elapsed,rollout/ep_len_mean,rollout/exploration_rate,train/learning_rate,train/n_updates,train/loss,eval/mean_ep_length,eval/mean_reward
933,4,-20.5,850,0,873.25,0.9957924999999999,,,,,
957,8,-20.5,1718,1,878.5,0.9914958999999994,,,,,
970,12,-20.583333333333332,2558,2,873.5,0.9873378999999997,,,,,
973,16,-20.625,3423,3,877.0,0.9830561500000002,,,,,
978,20,-20.65,4232,4,868.1,0.9790515999999999,,,,,
981,24,-20.625,5145,5,878.5,0.9745322500000002,,,,,
984,28,-20.642857142857142,5990,6,876.3571428571429,0.9703495000000003,,,,,
981,32,-20.6875,6821,6,874.21875,0.9662360500000001,,,,,
977,36,-20.72222222222222,7726,7,880.3055555555555,0.9617563000000005,,,,,
980,40,-20.7,8579,8,879.55,0.9575339500000005,,,,,
980,44,-20.681818181818183,9466,9,882.7727272727273,0.9531433000000001,,,,,
908,48,-20.6875,10292,11,879.8541666666666,0.9490546000000002,0.0001,72,0.042960088700056076,,
824,52,-20.692307692307693,11105,13,876.5961538461538,0.9450302500000004,0.0001,276,0.04398556798696518,,
762,56,-20.696428571428573,11974,15,877.1428571428571,0.9407287000000003,0.0001,493,0.028684357181191444,,
719,60,-20.716666666666665,12775,17,873.6833333333333,0.9367637500000001,0.0001,693,0.06733763217926025,,
679,64,-20.71875,13595,20,871.890625,0.9327047499999999,0.0001,898,0.018177049234509468,,
647,68,-20.691176470588236,14472,22,873.3676470588235,0.9283635999999998,0.0001,1117,0.0557088740170002,,
626,72,-20.694444444444443,15274,24,870.9444444444445,0.9243937,0.0001,1318,0.052210673689842224,,
610,76,-20.67105263157895,16108,26,870.3684210526316,0.9202653999999999,0.0001,1526,0.020094985142350197,,
592,80,-20.675,16909,28,868.225,0.9163004499999997,0.0001,1727,0.03509889543056488,,
581,84,-20.69047619047619,17658,30,863.5952380952381,0.9125929000000003,0.0001,1914,0.03587332367897034,,
567,88,-20.681818181818183,18525,32,864.875,0.9083012500000005,0.0001,2131,0.029944896697998047,,
555,92,-20.695652173913043,19373,34,865.054347826087,0.9041036499999996,0.0001,2343,0.0077100275084376335,,
542,96,-20.6875,20290,37,868.15625,0.8995645000000004,0.0001,2572,0.0199752114713192,,
533,100,-20.69,21127,39,867.65,0.8954213500000006,0.0001,2781,0.014787012711167336,,
525,104,-20.7,21941,41,866.17,0.8913920500000001,0.0001,2985,0.0046988194808363914,,
515,108,-20.67,22827,44,867.41,0.8870063500000004,0.0001,3206,0.02081833966076374,,
509,112,-20.68,23675,46,867.72,0.8828087500000006,0.0001,3418,0.0061982921324670315,,
503,116,-20.69,24508,48,866.58,0.8786854000000002,0.0001,3626,0.014088885858654976,,
497,120,-20.68,25397,51,869.85,0.8742848500000006,0.0001,3849,0.015589870512485504,,
