rollout/ep_len_mean,time/total_timesteps,rollout/ep_rew_mean,time/episodes,time/fps,rollout/exploration_rate,time/time_elapsed,train/learning_rate,train/loss,train/n_updates,eval/mean_reward,eval/mean_ep_length
837.0,814,-20.75,4,881,0.9959706999999995,0,,,,,
867.375,1684,-20.875,8,903,0.9916641999999999,1,,,,,
875.0,2546,-20.666666666666668,12,908,0.9873973000000003,2,,,,,
881.5625,3423,-20.6875,16,883,0.9830561500000002,3,,,,,
874.4,4252,-20.7,20,877,0.9789526000000004,4,,,,,
867.4166666666666,5062,-20.708333333333332,24,877,0.9749431000000005,5,,,,,
866.6785714285714,5904,-20.75,28,875,0.9707752000000005,6,,,,,
871.625,6793,-20.75,32,872,0.9663746499999998,7,,,,,
874.5,7665,-20.72222222222222,36,878,0.9620582499999999,8,,,,,
871.575,8490,-20.7,40,880,0.9579744999999995,9,,,,,
870.3409090909091,9328,-20.704545454545453,44,885,0.9538264,10,,,,,
872.8958333333334,10201,-20.6875,48,831,0.9495050500000005,12,0.0001,0.03057386353611946,50,,
870.6153846153846,11021,-20.692307692307693,52,729,0.9454460500000003,15,0.0001,0.05921275541186333,255,,
872.25,11896,-20.696428571428573,56,647,0.9411148000000005,18,0.0001,0.017866913229227066,473,,
874.6833333333333,12791,-20.7,60,606,0.9366845500000001,21,0.0001,0.043415367603302,697,,
876.625,13675,-20.6875,64,576,0.9323087499999995,23,0.0001,0.008753765374422073,918,,
875.2205882352941,14504,-20.676470588235293,68,556,0.9282051999999996,26,0.0001,0.04267173260450363,1125,,
874.8333333333334,15352,-20.680555555555557,72,534,0.9240075999999998,28,0.0001,0.017730381339788437,1337,,
874.1052631578947,16187,-20.657894736842106,76,515,0.9198743500000003,31,0.0001,0.02268558368086815,1546,,
877.2,17113,-20.625,80,501,0.9152906500000003,34,0.0001,0.04698929190635681,1778,,
874.5,17910,-20.642857142857142,84,491,0.9113454999999996,36,0.0001,0.006304078735411167,1977,,
876.7272727272727,18811,-20.625,88,482,0.9068855500000005,39,0.0001,0.008648636750876904,2202,,
876.695652173913,19666,-20.597826086956523,92,473,0.9026533000000002,41,0.0001,0.020189305767416954,2416,,
875.3020833333334,20485,-20.59375,96,463,0.8985992499999995,44,0.0001,0.015796327963471413,2621,,
876.69,21374,-20.59,100,451,0.8941987,47,0.0001,0.011313093826174736,2843,,
877.05,22202,-20.59,104,444,0.8901000999999997,49,0.0001,0.011346198618412018,3050,,
875.19,23034,-20.59,108,437,0.8859817,52,0.0001,0.018985794857144356,3258,,
875.17,23908,-20.6,112,432,0.8816553999999998,55,0.0001,0.04679321125149727,3476,,
874.38,24770,-20.61,116,424,0.8773885000000002,58,0.0001,0.006560400128364563,3692,,
874.15,25593,-20.61,120,420,0.8733146500000002,60,0.0001,0.01259425189346075,3898,,
873.8,26393,-20.62,124,416,0.8693546499999995,63,0.0001,0.018322492018342018,4098,,
874.73,27252,-20.61,128,410,0.8651025999999997,66,0.0001,0.004592984914779663,4312,,
873.94,28115,-20.61,132,406,0.8608307499999994,69,0.0001,0.011280201375484467,4528,,
875.54,29033,-20.62,136,402,0.8562866499999996,72,0.0001,0.010025483556091785,4758,,
879.73,29957,-20.6,140,397,0.85171285,75,0.0001,0.0037989967968314886,4989,,
880.64,30824,-20.6,144,394,0.8474212000000002,78,0.0001,0.0044810050167143345,5205,,
882.98,31758,-20.6,148,390,0.8427979000000002,81,0.0001,0.004593259189277887,5439,,
888.2,32708,-20.57,152,387,0.8380954000000003,84,0.0001,0.02619416080415249,5676,,
887.12,33550,-20.57,156,385,0.8339275000000002,86,0.0001,0.021430227905511856,5887,,
888.15,34460,-20.54,160,384,0.8294230000000004,89,0.0001,0.022462895140051842,6114,,
