time/total_timesteps,time/fps,time/iterations,time/time_elapsed,rollout/ep_len_mean,train/approx_kl,train/n_updates,train/clip_fraction,train/entropy_loss,train/clip_range,train/learning_rate,train/policy_gradient_loss,train/explained_variance,train/loss,rollout/ep_rew_mean,train/value_loss,eval/mean_ep_length,eval/mean_reward
2048,621,1,3,,,,,,,,,,,,,,
4096,724,2,5,859.8666666666667,0.003980019,4,0.039794921875,-1.7894167676568031,0.1,0.00025,-0.0022820258454885334,-0.000370025634765625,0.19186881184577942,-20.866666666666667,0.9118861071765423,,
6144,794,3,7,882.6875,8.176695e-05,8,0.0,-1.787109225988388,0.1,0.00025,0.00030471826903522015,0.003504812717437744,0.1989302635192871,-20.6875,0.6536882221698761,,
8192,823,4,9,869.09375,0.00074466993,12,0.0382080078125,-1.783542662858963,0.1,0.00025,-0.00023755780421197414,0.0160028338432312,0.43551841378211975,-20.75,0.9407913628965616,,
10240,847,5,12,865.7560975609756,0.000936863,16,0.0089111328125,-1.7851263508200645,0.1,0.00025,0.0005526114255189896,0.005938470363616943,0.35568422079086304,-20.75609756097561,0.9111400693655014,,
12288,865,6,14,880.8958333333334,0.004474644,20,0.10400390625,-1.7867048233747482,0.1,0.00025,-0.0016041167255025357,0.012550950050354004,0.4063911736011505,-20.729166666666668,0.8012696094810963,,
14336,876,7,16,872.3220338983051,0.001013462,24,0.021728515625,-1.7837070524692535,0.1,0.00025,-4.2831728933379054e-05,0.029369711875915527,0.3779264986515045,-20.779661016949152,0.7944079004228115,,
16384,885,8,18,880.1884057971015,0.0036001017,28,0.1732177734375,-1.7809793651103973,0.1,0.00025,-0.003995571460109204,0.030840694904327393,0.3796791136264801,-20.73913043478261,1.0308650396764278,,
18432,893,9,20,882.5974025974026,0.0029094983,32,0.0709228515625,-1.7746272087097168,0.1,0.00025,-0.0008060012187343091,0.0520634651184082,0.38698095083236694,-20.727272727272727,1.0761251002550125,,
20480,899,10,22,879.9101123595506,0.0021924763,36,0.0189208984375,-1.7654028981924057,0.1,0.00025,-0.0006949668168090284,0.09580892324447632,0.48446786403656006,-20.707865168539325,1.0398786775767803,,
22528,904,11,24,881.659793814433,0.0033342268,40,0.08349609375,-1.7687524855136871,0.1,0.00025,-0.00027035479433834553,0.12707406282424927,0.67320317029953,-20.701030927835053,1.1934050247073174,,
24576,908,12,27,888.86,0.0017990704,44,0.030029296875,-1.7693767249584198,0.1,0.00025,-0.001421541819581762,0.17835372686386108,0.4901944100856781,-20.68,1.0332560576498508,,
26624,912,13,29,881.56,0.0005226301,48,0.0,-1.7691360116004944,0.1,0.00025,9.298435179516673e-05,0.20733952522277832,0.46156230568885803,-20.67,1.0631412975490093,,
28672,915,14,31,886.61,0.0006697908,52,0.0,-1.7681533470749855,0.1,0.00025,-0.00016234164650086313,0.25435495376586914,0.4327731132507324,-20.67,1.049430649727583,,
30720,919,15,33,887.63,0.0006655742,56,0.0,-1.7675449028611183,0.1,0.00025,-0.000809705990832299,0.32962310314178467,0.46664538979530334,-20.65,0.9943832047283649,,
32768,920,16,35,885.28,0.001288313,60,0.000244140625,-1.7696442008018494,0.1,0.00025,-0.00041456264443695545,0.3732893466949463,0.35379886627197266,-20.65,0.7832158394157887,,
34816,923,17,37,880.21,0.00175053,64,0.000732421875,-1.768012747168541,0.1,0.00025,-0.0013430793769657612,0.4802151322364807,0.30839571356773376,-20.64,0.8150782398879528,,
36864,924,18,39,872.18,0.0018502501,68,0.0555419921875,-1.7524065747857094,0.1,0.00025,-0.0009137247980106622,0.5511338114738464,0.3386809229850769,-20.67,0.6539426203817129,,
38912,925,19,42,871.5,0.0018195771,72,0.0753173828125,-1.7549739181995392,0.1,0.00025,-0.0010994636686518788,0.6427817940711975,0.2582828402519226,-20.67,0.6940372660756111,,
40960,927,20,44,879.74,0.0013908552,76,0.0450439453125,-1.749775618314743,0.1,0.00025,-0.0005970104248262942,0.6297109127044678,0.2852357029914856,-20.67,0.6620611473917961,,
43008,928,21,46,881.48,0.0046455744,80,0.15234375,-1.7498578876256943,0.1,0.00025,-0.002120135322911665,0.7180542945861816,0.2877899408340454,-20.68,0.610878013074398,,
45056,929,22,48,882.9,0.004816696,84,0.2042236328125,-1.746966302394867,0.1,0.00025,-0.0005426382122095674,0.7572079300880432,0.24622710049152374,-20.67,0.5985223688185215,,
47104,930,23,50,885.68,0.0017057823,88,0.0152587890625,-1.7550330981612206,0.1,0.00025,-0.00014233810361474752,0.79185950756073,0.27850544452667236,-20.68,0.6432638019323349,,
49152,931,24,52,878.02,0.0030210735,92,0.101318359375,-1.770688459277153,0.1,0.00025,-0.0024251749855466187,0.8081048130989075,0.2797202169895172,-20.74,0.5548313036561012,,
51200,932,25,54,879.35,0.0028209444,96,0.0589599609375,-1.756192609667778,0.1,0.00025,-0.0012952126562595367,0.8329293727874756,0.21082474291324615,-20.74,0.6112644821405411,,
53248,933,26,57,882.94,0.0015351181,100,0.0208740234375,-1.7543221861124039,0.1,0.00025,-0.0007603221165481955,0.8143131732940674,0.26735562086105347,-20.71,0.5851978845894337,,
55296,934,27,59,888.76,0.0010969692,104,0.008056640625,-1.7563101202249527,0.1,0.00025,-0.00011901077232323587,0.8389004468917847,0.21961958706378937,-20.72,0.49024215899407864,,
57344,935,28,61,888.52,0.0016044877,108,0.0633544921875,-1.7579863741993904,0.1,0.00025,-0.0015818752290215343,0.8532417416572571,0.28649166226387024,-20.72,0.5846710130572319,,
59392,935,29,63,894.3,0.0027282345,112,0.089111328125,-1.7616150304675102,0.1,0.00025,-0.0008423925610259175,0.8175017833709717,0.27308422327041626,-20.69,0.5419070310890675,,
61440,936,30,65,889.35,0.0031684474,116,0.0623779296875,-1.7541304305195808,0.1,0.00025,-0.0009278154175262898,0.8592656850814819,0.2931324243545532,-20.71,0.5228019636124372,,
63488,936,31,67,891.58,0.0021494601,120,0.044677734375,-1.7492457777261734,0.1,0.00025,-0.0012190460984129459,0.8796101808547974,0.18075977265834808,-20.67,0.46455430798232555,,
65536,937,32,69,886.78,0.00025724643,124,0.0,-1.7569372802972794,0.1,0.00025,-0.00013338850112631917,0.8662557601928711,0.24291375279426575,-20.68,0.5305790491402149,,
67584,938,33,72,883.76,0.0034570438,128,0.04736328125,-1.743269830942154,0.1,0.00025,-0.0022004864586051553,0.8801013827323914,0.15163719654083252,-20.69,0.4030612576752901,,
69632,939,34,74,885.49,0.00061440933,132,0.0,-1.7365483045578003,0.1,0.00025,-0.00015256155165843666,0.8933916091918945,0.2884426414966583,-20.69,0.6067240349948406,,
71680,939,35,76,892.73,0.0046589957,136,0.0977783203125,-1.727463960647583,0.1,0.00025,-0.0003784687432926148,0.8378488421440125,0.17435619235038757,-20.66,0.39605448208749294,,
73728,940,36,78,894.06,0.0043401634,140,0.0982666015625,-1.7268305718898773,0.1,0.00025,-0.0014655806007795036,0.9074264764785767,0.15971773862838745,-20.69,0.3851704467087984,,
75776,940,37,80,895.64,0.0021320132,144,0.08447265625,-1.7291776165366173,0.1,0.00025,-0.0009963539778254926,0.8659073710441589,0.14799045026302338,-20.69,0.37639008462429047,,
77824,941,38,82,897.44,0.001774604,148,0.053955078125,-1.7033266574144363,0.1,0.00025,-0.0006967957597225904,0.9054681658744812,0.16429877281188965,-20.69,0.36708227545022964,,
79872,941,39,84,902.74,0.004662357,152,0.110595703125,-1.730015516281128,0.1,0.00025,-0.0017857758502941579,0.8908469080924988,0.12341060489416122,-20.67,0.33336021937429905,,
81920,941,40,86,902.19,0.00088298565,156,0.0155029296875,-1.743466094136238,0.1,0.00025,-0.0006688185094390064,0.9143369793891907,0.16425368189811707,-20.65,0.32981234043836594,,
83968,942,41,89,903.9,0.00037507204,160,0.0,-1.75063918530941,0.1,0.00025,-4.445933154784143e-05,0.9036441445350647,0.15179415047168732,-20.65,0.3814860451966524,,
86016,942,42,91,902.33,0.0014850707,164,0.0093994140625,-1.7416530326008797,0.1,0.00025,-0.0008392067393288016,0.8893481492996216,0.14987145364284515,-20.63,0.3702007792890072,,
