time/time_elapsed,time/fps,time/total_timesteps,time/iterations,train/approx_kl,train/explained_variance,rollout/ep_len_mean,train/clip_fraction,train/n_updates,train/entropy_loss,train/clip_range,rollout/ep_rew_mean,train/loss,train/policy_gradient_loss,train/learning_rate,train/value_loss,eval/mean_reward,eval/mean_ep_length
3,574,2048,1,,,,,,,,,,,,,,
6,664,4096,2,0.0027612448,-0.000370025634765625,847.7333333333333,0.0960693359375,4,-1.789580598473549,0.09997074285714286,-20.866666666666667,0.18601498007774353,-0.0023084132553776726,0.00024992685714285716,0.5102625424042344,,
8,728,6144,3,0.000781545,0.0033074617385864258,871.3125,0.0,8,-1.7884642370045185,0.09994148571428572,-20.6875,0.1811869740486145,-0.0003653089079307392,0.0002498537142857143,0.6293849190697074,,
10,758,8192,4,0.0026955425,0.03637540340423584,871.9375,0.1024169921875,12,-1.781646803021431,0.09991222857142858,-20.71875,0.09659996628761292,-0.00014252796972868964,0.00024978057142857146,0.66240648413077,,
13,782,10240,5,0.0022213697,0.01815009117126465,863.35,0.0557861328125,16,-1.7773933075368404,0.09988297142857144,-20.775,0.4218330979347229,0.0003704121190821752,0.00024970742857142856,1.0096774417907,,
15,796,12288,6,0.0020357473,0.03660130500793457,875.2127659574468,0.04833984375,20,-1.7803982235491276,0.0998537142857143,-20.72340425531915,0.34426236152648926,-0.0008221279858844355,0.0002496342857142857,0.7612261949107051,,
17,806,14336,7,0.0018884995,0.09492635726928711,874.1774193548387,0.0665283203125,24,-1.7846375368535519,0.09982445714285715,-20.693548387096776,0.3451927900314331,-0.0016895604640012607,0.00024956114285714287,0.7947639916092157,,
20,814,16384,8,0.0018242832,0.12763887643814087,870.9411764705883,0.1221923828125,28,-1.7869720496237278,0.0997952,-20.705882352941178,0.4869159758090973,-0.00044720922596752644,0.00024948799999999997,1.2977739851921797,,
22,821,18432,9,0.0020181136,0.2669113278388977,872.5384615384615,0.0340576171875,32,-1.7868191003799438,0.09976594285714285,-20.705128205128204,0.2662254571914673,-0.000156506517669186,0.0002494148571428571,0.7455038027837873,,
24,826,20480,10,0.0019647474,0.42886805534362793,871.3033707865169,0.081298828125,36,-1.7863543257117271,0.09973668571428572,-20.707865168539325,0.28099721670150757,-0.0008616669219918549,0.00024934171428571427,0.7616109382361174,,
27,831,22528,11,0.0016984383,0.5666031241416931,875.0736842105263,0.0732421875,40,-1.7862903028726578,0.09970742857142857,-20.68421052631579,0.3399057686328888,-0.0005728467513108626,0.0002492685714285714,0.7775062937289476,,
29,835,24576,12,0.0022870433,0.6663559675216675,884.74,0.049560546875,44,-1.7781386971473694,0.09967817142857144,-20.64,0.2737780511379242,-0.0013826563954353333,0.0002491954285714286,0.5945042921230197,,
31,837,26624,13,0.0035308641,0.7558637857437134,877.12,0.0731201171875,48,-1.783565629273653,0.09964891428571429,-20.67,0.27125415205955505,-0.002248986129416153,0.00024912228571428573,0.6893270593136549,,
34,842,28672,14,0.0024418994,0.7339469194412231,878.57,0.12353515625,52,-1.7825157977640629,0.09961965714285714,-20.66,0.2537659704685211,-0.001215279015013948,0.0002490491428571429,0.6688230466097593,,
36,843,30720,15,0.0023432549,0.8242490291595459,874.4,0.0833740234375,56,-1.7844871617853642,0.09959040000000001,-20.67,0.2774776816368103,-5.066227458883077e-05,0.000248976,0.587613807991147,,
38,845,32768,16,0.0028531556,0.823167085647583,870.79,0.123291015625,60,-1.7839934639632702,0.09956114285714286,-20.67,0.27201420068740845,-0.002754712200840004,0.00024890285714285714,0.6844698321074247,,
41,845,34816,17,0.0026430935,0.8444600105285645,870.72,0.105712890625,64,-1.7796598561108112,0.09953188571428573,-20.71,0.33042752742767334,-0.0010655448859324679,0.0002488297142857143,0.5909235682338476,,
43,845,36864,18,0.0032363883,0.8455579876899719,868.18,0.140380859375,68,-1.7713342644274235,0.09950262857142858,-20.71,0.27687007188796997,-0.0035540127428248525,0.00024875657142857144,0.5468687107786536,,
45,846,38912,19,0.0018939872,0.8487696647644043,870.51,0.12255859375,72,-1.77224151045084,0.09947337142857143,-20.68,0.2787814140319824,-0.0027911030338145792,0.0002486834285714286,0.5727558471262455,,
48,848,40960,20,0.0028601214,0.8963221311569214,868.64,0.1475830078125,76,-1.774537604302168,0.0994441142857143,-20.67,0.14268121123313904,-0.001066598590114154,0.00024861028571428575,0.4369152616709471,,
50,848,43008,21,0.002048301,0.915257453918457,864.17,0.0245361328125,80,-1.7759884893894196,0.09941485714285714,-20.7,0.1814991682767868,-0.0008090112096397206,0.00024853714285714285,0.42876938078552485,,
53,850,45056,22,0.0020323195,0.893231987953186,859.87,0.061279296875,84,-1.7752856761217117,0.0993856,-20.72,0.20846189558506012,-0.0013596219068858773,0.000248464,0.4003193834796548,,
55,851,47104,23,0.0024249437,0.9048535823822021,863.8,0.03662109375,88,-1.7762454599142075,0.09935634285714286,-20.68,0.16639655828475952,-0.0005559565615840256,0.00024839085714285715,0.392336699180305,,
57,852,49152,24,0.0014012856,0.9374192357063293,867.69,0.0733642578125,92,-1.7794706225395203,0.09932708571428572,-20.67,0.13742586970329285,-0.0004174045752733946,0.0002483177142857143,0.3348471038043499,,
59,853,51200,25,0.0020346106,0.946290910243988,866.49,0.0528564453125,96,-1.7729364447295666,0.09929782857142858,-20.67,0.07849229872226715,-0.0011722221970558167,0.00024824457142857146,0.2785936309956014,,
62,854,53248,26,0.0014929418,0.9472959637641907,867.11,0.056640625,100,-1.7697580344974995,0.09926857142857143,-20.68,0.10781550407409668,-0.0012805852747987956,0.00024817142857142856,0.2680326793342829,,
64,854,55296,27,0.0007134391,0.9422110915184021,876.73,0.0069580078125,104,-1.7697076760232449,0.0992393142857143,-20.65,0.1173117607831955,-0.0005755629608756863,0.0002480982857142857,0.29458881355822086,,
67,855,57344,28,0.0009993882,0.9676350355148315,878.77,0.028564453125,108,-1.7670205645263195,0.09921005714285715,-20.64,0.05538955330848694,-0.0013700249546673149,0.00024802514285714286,0.19897514884360135,,
69,854,59392,29,0.0009851326,0.9574701189994812,879.83,0.05810546875,112,-1.7584019899368286,0.09918080000000001,-20.62,0.08451016992330551,-0.001566032340633683,0.000247952,0.23397221136838198,,
