time/fps,time/total_timesteps,time/iterations,time/time_elapsed,train/n_updates,train/clip_fraction,train/entropy_loss,train/learning_rate,train/explained_variance,train/value_loss,train/policy_gradient_loss,rollout/ep_rew_mean,rollout/ep_len_mean,train/approx_kl,train/clip_range,train/loss,eval/mean_reward,eval/mean_ep_length
612,2048,1,3,,,,,,,,,,,,,,
710,4096,2,5,4,0.0888671875,-1.790065422654152,0.00024992685714285716,-0.0028486251831054688,0.5847685160115361,-0.002598887760541402,-20.8,854.9333333333333,0.0026848947,0.09997074285714286,0.12494371831417084,,
775,6144,3,7,8,0.0574951171875,-1.785846870392561,0.0002498537142857143,0.0005168914794921875,0.6752721685916185,-0.0020221702579874545,-20.75,867.75,0.0026238551,0.09994148571428572,0.25925689935684204,,
804,8192,4,10,12,0.060546875,-1.7820500582456589,0.00024978057142857146,0.006097614765167236,0.5212369654327631,0.0005750013879151084,-20.677419354838708,857.4516129032259,0.00049719925,0.09991222857142858,0.14031094312667847,,
827,10240,5,12,16,0.0653076171875,-1.7770609520375729,0.00024970742857142856,-0.011314868927001953,0.7870074547827244,-0.0008550454513169825,-20.682926829268293,858.390243902439,0.0023125382,0.09988297142857144,0.3319058418273926,,
844,12288,6,14,20,0.1378173828125,-1.7688978537917137,0.0002496342857142857,-0.004120945930480957,0.8256484046578407,-0.0006609447736991569,-20.625,875.9583333333334,0.0033274526,0.0998537142857143,0.4151398539543152,,
854,14336,7,16,24,0.0906982421875,-1.7690897956490517,0.00024956114285714287,0.010954439640045166,0.6915692929178476,0.00026245510525768623,-20.627118644067796,876.2372881355932,0.002621643,0.09982445714285715,0.37322333455085754,,
863,16384,8,18,28,0.1171875,-1.7708836235105991,0.00024948799999999997,0.016970694065093994,1.1329698655754328,0.0003240173973608762,-20.606060606060606,884.0,0.0019876189,0.0997952,0.46263861656188965,,
868,18432,9,21,32,0.0992431640625,-1.7565469816327095,0.0002494148571428571,0.02391350269317627,0.9163019713014364,4.0013925172388554e-05,-20.628205128205128,886.8076923076923,0.0018760131,0.09976594285714285,0.40166404843330383,,
874,20480,10,23,36,0.0958251953125,-1.7509968765079975,0.00024934171428571427,0.033161699771881104,1.4072472229599953,-0.0007058815681375563,-20.651162790697676,885.2558139534884,0.0021358023,0.09973668571428572,0.8467612862586975,,
878,22528,11,25,40,0.1004638671875,-1.75610376521945,0.0002492685714285714,0.03821718692779541,1.1254079136997461,-0.00048636685824021697,-20.645833333333332,883.25,0.0019863336,0.09970742857142857,0.5149475932121277,,
881,24576,12,27,44,0.1253662109375,-1.7410166040062904,0.0002491954285714286,0.08475232124328613,1.2862715385854244,-0.0012710022856481373,-20.6,894.18,0.0029175808,0.09967817142857144,0.4218329191207886,,
