time/total_timesteps,rollout/ep_rew_mean,time/time_elapsed,rollout/ep_len_mean,time/fps,time/iterations,train/clip_fraction,train/learning_rate,train/clip_range,train/n_updates,train/value_loss,train/approx_kl,train/policy_gradient_loss,train/entropy_loss,train/loss,train/explained_variance,eval/mean_ep_length,eval/mean_reward
2048,-169.25,0,46.8125,2426,1,,,,,,,,,,,,
4096,-159.43037974683546,1,45.48101265822785,2664,2,0.0,0.0001,0.2,4,3406.7364654541016,0.0012528966,-0.0006158793985377997,-1.3859110549092293,1501.452880859375,-4.5299530029296875e-05,,
6144,-165.43,2,47.2,2989,3,0.025146484375,0.0001,0.2,8,2766.056427001953,0.004757419,0.0007760863081784919,-1.3757949993014336,1132.463134765625,0.0032776594161987305,,
8192,-166.69,2,47.73,3151,4,0.2171630859375,0.0001,0.2,12,3094.7249908447266,0.014584817,0.006784402532503009,-1.3746317401528358,1399.1181640625,-0.008299708366394043,,
10240,-182.2,3,49.8,3286,5,0.1053466796875,0.0001,0.2,16,4220.772369384766,0.016630966,0.002532893093302846,-1.37504293769598,2069.9306640625,-0.04177570343017578,,
12288,-160.52,3,46.38,3374,6,0.2730712890625,0.0001,0.2,20,3776.6556854248047,0.015786426,0.00584022281691432,-1.368892103433609,1924.2926025390625,-0.012753009796142578,,
14336,-154.06,4,45.41,3435,7,0.101806640625,0.0001,0.2,24,4582.510528564453,0.0015952829,0.002355760196223855,-1.3602337166666985,2403.39306640625,-0.03185713291168213,,
16384,-173.15,4,48.52,3481,8,0.09814453125,0.0001,0.2,28,4547.916656494141,0.009579839,-0.0003995753941126168,-1.371220663189888,2438.045654296875,-0.014401912689208984,,
18432,-178.38,5,50.69,3527,9,0.484375,0.0001,0.2,32,4006.875015258789,0.13247699,0.0360611752839759,-1.3048278912901878,2140.623291015625,-0.02149367332458496,,
20480,-194.43,5,53.74,3562,10,0.1146240234375,0.0001,0.2,36,3952.9288635253906,0.010531073,-8.432165486738086e-05,-1.2986299619078636,1987.2821044921875,-0.0006985664367675781,,
22528,-165.22,6,49.62,3582,11,0.0894775390625,0.0001,0.2,40,3345.5430755615234,0.0142510915,0.0005717924505006522,-1.3343436643481255,1498.5660400390625,0.00681692361831665,,
24576,-165.0,6,49.62,3607,12,0.0732421875,0.0001,0.2,44,4597.1766357421875,0.0037835422,-0.0016692401841282845,-1.3505700454115868,2016.0084228515625,0.00039827823638916016,,
24992,,,,,,0.0518798828125,0.0001,0.2,48,3927.4422912597656,0.0044007,-0.0013405256031546742,-1.3616317957639694,2015.88720703125,0.009539902210235596,75.0,-300.0
26624,-134.91,8,44.03,3053,13,,,,,,,,,,,,
28672,-146.04,9,45.11,3103,14,0.17724609375,0.0001,0.2,52,5287.960479736328,0.011815837,-0.0021509898360818624,-1.3733503222465515,2611.98193359375,-0.006480097770690918,,
30720,-163.26,9,47.88,3145,15,0.3382568359375,0.0001,0.2,56,3430.0689544677734,0.0315154,0.010862319817533717,-1.348500907421112,1901.6126708984375,0.010606646537780762,,
32768,-163.63,10,47.64,3188,16,0.091064453125,0.0001,0.2,60,4607.696640014648,0.0025281534,-0.001177344034658745,-1.3447314575314522,2469.85205078125,-0.0005037784576416016,,
34816,-177.89,10,49.35,3226,17,0.1815185546875,0.0001,0.2,64,3426.659393310547,0.021123335,0.006615479913307354,-1.2950898855924606,1781.7398681640625,0.003135085105895996,,
36864,-151.72,11,44.67,3258,18,0.2659912109375,0.0001,0.2,68,4069.0027465820312,0.046695773,0.00919132650597021,-1.2968671396374702,2000.0,0.008700311183929443,,
38912,-156.55,11,44.79,3285,19,0.041748046875,0.0001,0.2,72,4101.065322875977,0.0048642717,0.0019040322804357857,-1.2116757333278656,2130.669189453125,-0.0004839897155761719,,
40960,-172.94,12,46.91,3315,20,0.0291748046875,0.0001,0.2,76,3801.6386108398438,0.0076389527,-0.0006332596531137824,-1.247797966003418,1908.4176025390625,0.0067108869552612305,,
43008,-204.16,12,52.05,3343,21,0.1551513671875,0.0001,0.2,80,3972.0860748291016,0.002920466,0.00404095824342221,-1.1988817751407623,2006.571044921875,0.0008990764617919922,,
45056,-229.1,13,56.29,3362,22,0.0211181640625,0.0001,0.2,84,3659.8948669433594,0.005373194,0.00032578245736658573,-1.1737735271453857,1861.223876953125,0.0014754533767700195,,
47104,-238.85,13,58.62,3381,23,0.177490234375,0.0001,0.2,88,2704.819046020508,0.030725192,0.004803807067219168,-1.2056669890880585,1392.77978515625,-0.01574087142944336,,
49152,-252.65,14,61.16,3401,24,0.2742919921875,0.0001,0.2,92,3712.2765502929688,0.012804022,0.012203772668726742,-1.1117885410785675,1791.5765380859375,0.007209420204162598,,
49984,,,,,,0.4951171875,0.0001,0.2,96,2770.360794067383,0.13857314,0.043588603963144124,-1.0970353819429874,1548.2520751953125,0.013524115085601807,75.0,-300.0
51200,-240.6,16,59.13,3161,25,,,,,,,,,,,,
53248,-233.07,16,56.87,3187,26,0.4627685546875,0.0001,0.2,100,3960.568161010742,0.015772037,0.013327861786819994,-1.268728919327259,1964.7740478515625,0.00658029317855835,,
55296,-195.26,17,50.19,3211,27,0.14697265625,0.0001,0.2,104,4658.306793212891,0.014069151,0.001644178875721991,-1.3105570152401924,1960.9732666015625,-0.0028055906295776367,,
57344,-171.01,17,46.62,3230,28,0.106201171875,0.0001,0.2,108,4140.263946533203,0.0144577585,-0.0011424355616327375,-1.311430536210537,1910.952392578125,0.009368717670440674,,
59392,-177.88,18,48.06,3252,29,0.06005859375,0.0001,0.2,112,5430.038055419922,0.01320858,-0.00048275913286488503,-1.3154127225279808,2614.244873046875,0.017391979694366455,,
61440,-184.94,18,49.59,3270,30,0.054931640625,0.0001,0.2,116,3510.7821502685547,0.008844528,-0.002213132451288402,-1.3433284685015678,1692.8465576171875,0.006984531879425049,,
63488,-164.6,19,46.11,3286,31,0.1173095703125,0.0001,0.2,120,5822.823455810547,0.013857911,0.003358461777679622,-1.3574842438101768,2832.344970703125,0.006561279296875,,
65536,-171.07,19,46.95,3303,32,0.059326171875,0.0001,0.2,124,4692.819686889648,0.0058297315,0.0011203215399291366,-1.3200446143746376,2883.115966796875,-0.006994009017944336,,
67584,-155.65,20,44.34,3322,33,0.1046142578125,0.0001,0.2,128,4831.94612121582,0.016328026,0.0005587199120782316,-1.2831648215651512,2020.7965087890625,0.006848633289337158,,
69632,-179.89,20,48.62,3338,34,0.1951904296875,0.0001,0.2,132,5065.348052978516,0.007808382,-0.0008970503113232553,-1.2908419370651245,2700.8603515625,0.007147729396820068,,
71680,-207.25,21,54.1,3356,35,0.2589111328125,0.0001,0.2,136,3591.026824951172,0.06586406,0.030822560423985124,-1.0617413073778152,1898.0264892578125,0.01212221384048462,,
73728,-241.98,21,60.74,3372,36,0.156005859375,0.0001,0.2,140,2716.4971771240234,0.013230481,0.0027158149459864944,-1.1074093207716942,1346.794677734375,0.01993030309677124,,
74976,,,,,,0.0518798828125,0.0001,0.2,144,2353.4972915649414,0.005277027,-0.001584687881404534,-1.0406013056635857,1198.4765625,0.03489696979522705,75.0,-300.0
75776,-212.4,23,56.47,3214,37,,,,,,,,,,,,
77824,-191.69,24,52.17,3231,38,0.038818359375,0.0001,0.2,148,4706.001281738281,0.008169071,-0.0008808092388790101,-1.163909673690796,2522.331787109375,-0.0021142959594726562,,
79872,-201.73,24,53.53,3248,39,0.4156494140625,0.0001,0.2,152,3911.068634033203,0.03952439,0.011591419228352606,-1.1633480414748192,1773.9794921875,0.0055130720138549805,,
81920,-215.5,25,56.08,3266,40,0.1959228515625,0.0001,0.2,156,3823.390899658203,0.0040278826,0.005177502200240269,-1.188644491136074,1899.8895263671875,0.016899406909942627,,
83968,-195.52,25,52.97,3281,41,0.0316162109375,0.0001,0.2,160,3326.9095001220703,0.001972236,-0.0011851987801492214,-1.099615603685379,1994.982421875,0.0015576481819152832,,
86016,-197.52,26,53.09,3298,42,0.09912109375,0.0001,0.2,164,5048.998138427734,0.0024674176,0.002286136135808192,-1.1769274547696114,2406.312255859375,0.0006989240646362305,,
88064,-207.36,26,54.04,3312,43,0.0738525390625,0.0001,0.2,168,3260.828125,0.0169271,0.002531070582335815,-1.0884757786989212,1816.2154541015625,0.006309568881988525,,
90112,-246.81,27,60.09,3324,44,0.058349609375,0.0001,0.2,172,3287.770538330078,0.0031504151,0.0004611521144397557,-1.0764798000454903,1333.931396484375,0.0024003982543945312,,
92160,-249.85,27,60.55,3337,45,0.06103515625,0.0001,0.2,176,3040.0098419189453,0.004641874,0.0028788087074644864,-0.9855582900345325,1580.026611328125,0.01966029405593872,,
94208,-252.28,28,60.7,3351,46,0.0797119140625,0.0001,0.2,180,3809.6760864257812,0.0022602812,0.002517081651603803,-0.9894016534090042,1821.524658203125,0.0017298460006713867,,
96256,-238.77,28,58.49,3362,47,0.070068359375,0.0001,0.2,184,3258.098907470703,0.0021673795,0.0013179566885810345,-1.0486346706748009,1657.2689208984375,0.010351181030273438,,
98304,-229.42,29,56.74,3374,48,0.2030029296875,0.0001,0.2,188,4313.926162719727,0.03320947,0.00817780222860165,-1.0094287805259228,2279.4208984375,0.008260250091552734,,
99968,,,,,,0.137939453125,0.0001,0.2,192,4542.668273925781,0.0066173784,0.0009596672898624092,-0.9656742624938488,2286.93408203125,0.0007014870643615723,75.0,-300.0
100352,-224.14,30,56.17,3252,49,,,,,,,,,,,,
102400,-234.65,31,58.84,3263,50,0.1339111328125,0.0001,0.2,196,2957.5288848876953,0.0051893108,0.008530364721082151,-0.9832717999815941,1562.8492431640625,0.012318074703216553,,
104448,-247.51,31,61.1,3275,51,0.042724609375,0.0001,0.2,200,3544.0540161132812,0.0069020838,0.0014704673958476633,-0.7802865616977215,1776.7083740234375,0.028419137001037598,,
106496,-248.59,32,61.59,3288,52,0.0909423828125,0.0001,0.2,204,3419.374969482422,0.00084038114,0.008089898619800806,-0.9748222157359123,1777.96826171875,0.00227510929107666,,
108544,-265.54,32,64.18,3298,53,0.10107421875,0.0001,0.2,208,3173.6995697021484,0.0051895725,0.006026313960319385,-1.0101775079965591,1581.165283203125,0.017152786254882812,,
110592,-274.4,33,66.08,3309,54,0.0458984375,0.0001,0.2,212,2934.7381744384766,0.00394877,0.0008490754698868841,-0.8988983184099197,1722.8759765625,0.0416262149810791,,
112640,-267.43,33,65.24,3320,55,0.07666015625,0.0001,0.2,216,3084.7594451904297,0.0030003625,0.0013085000682622194,-0.9212468452751637,1367.4739990234375,0.03394037485122681,,
114688,-254.87,34,63.26,3329,56,0.0537109375,0.0001,0.2,220,3401.764892578125,0.0027134188,-0.0009825384622672573,-0.9971207939088345,1873.541259765625,0.006235599517822266,,
116736,-242.07,34,60.85,3338,57,0.0606689453125,0.0001,0.2,224,3069.907272338867,0.005590543,-0.0006306482537183911,-0.9663649462163448,1501.1370849609375,0.044028520584106445,,
118784,-263.33,35,64.05,3348,58,0.018798828125,0.0001,0.2,228,3358.373016357422,0.0026504342,0.002149262494640425,-1.0089573822915554,1586.983642578125,0.02230250835418701,,
120832,-269.47,35,64.71,3357,59,0.080078125,0.0001,0.2,232,2582.842086791992,0.0059296372,0.001014003180898726,-1.002924058586359,1137.8895263671875,0.027991890907287598,,
122880,-271.12,36,64.81,3367,60,0.103515625,0.0001,0.2,236,2871.2825317382812,0.0035474193,0.004713460017228499,-1.0268329679965973,1678.553466796875,0.05364507436752319,,
124928,-252.96,36,62.94,3377,61,0.1953125,0.0001,0.2,240,3638.757553100586,0.10844232,0.023100057675037533,-0.763407401740551,1766.877685546875,0.03176599740982056,,
124960,,,,,,0.6038818359375,0.0001,0.2,244,3638.272430419922,0.10665965,0.03057343198452145,-0.9437056630849838,1716.4918212890625,0.05882894992828369,75.0,-300.0
126976,-246.73,38,63.0,3278,62,,,,,,,,,,,,
129024,-257.26,39,65.4,3289,63,0.057373046875,0.0001,0.2,248,2488.5554809570312,0.004121866,0.002558268985012546,-0.7935960665345192,1239.519775390625,0.07657980918884277,,
131072,-270.02,39,67.52,3299,64,0.07080078125,0.0001,0.2,252,2474.3567504882812,0.009132983,0.007430081692291424,-0.7328890487551689,1293.055419921875,0.057903409004211426,,
