time/total_timesteps,rollout/ep_rew_mean,time/iterations,time/fps,rollout/ep_len_mean,time/time_elapsed,train/loss,train/entropy_loss,train/n_updates,train/clip_fraction,train/policy_gradient_loss,train/approx_kl,train/value_loss,train/explained_variance,train/clip_range,train/learning_rate,eval/mean_ep_length,eval/mean_reward
2048,-112.05555555555556,1,2368,37.77777777777778,0,,,,,,,,,,,,
4096,-135.679012345679,2,2641,42.641975308641975,1,1496.1348876953125,-1.3860467448830605,4,0.0,-0.0004217499226797372,0.000562795,3426.121810913086,-0.0002378225326538086,0.2,0.0001,,
6144,-183.97,3,2945,50.68,2,1063.6302490234375,-1.3748541921377182,8,0.118896484375,-0.0020010676817037165,0.014621028,2701.099868774414,-0.00031113624572753906,0.2,0.0001,,
8192,-171.82,4,3150,48.48,2,1055.7705078125,-1.3679632395505905,12,0.06689453125,-6.067042704671621e-05,0.005166277,2432.104232788086,-0.008386015892028809,0.2,0.0001,,
10240,-138.44,5,3272,42.16,3,1570.3145751953125,-1.338264748454094,16,0.077392578125,-0.0020773561554960907,0.013984456,3679.0355682373047,-0.0007032155990600586,0.2,0.0001,,
12288,-143.21,6,3358,42.35,3,2160.193115234375,-1.3237883150577545,20,0.20458984375,0.0044932347373105586,0.013951995,4411.691558837891,0.0010568499565124512,0.2,0.0001,,
14336,-162.33,7,3441,45.04,4,1883.7066650390625,-1.142978198826313,24,0.233154296875,0.018642761278897524,0.06880933,4068.878707885742,0.003656148910522461,0.2,0.0001,,
16384,-194.42,8,3499,49.66,4,1471.7412109375,-1.137573465704918,28,0.0311279296875,-0.0004346808127593249,0.001435038,3565.730453491211,0.0013002753257751465,0.2,0.0001,,
18432,-186.92,9,3539,48.09,5,2117.8828125,-1.1994849517941475,32,0.1300048828125,-0.0029230460058897734,0.011571776,4054.4220428466797,0.005155026912689209,0.2,0.0001,,
20480,-183.18,10,3572,47.29,5,2541.13671875,-1.2159435153007507,36,0.0958251953125,0.0037638128269463778,0.008951831,4627.413757324219,0.0045326948165893555,0.2,0.0001,,
22528,-185.12,11,3599,46.98,6,1980.1666259765625,-1.157406248152256,40,0.0592041015625,0.0011742652277462184,0.0053205,4571.895431518555,-0.0022459030151367188,0.2,0.0001,,
24576,-167.21,12,3627,44.43,6,2306.56298828125,-1.1762124374508858,44,0.1756591796875,0.0037218541838228703,0.011273142,4537.109527587891,0.00911790132522583,0.2,0.0001,,
24992,,,,,,2797.79345703125,-1.1514607593417168,48,0.09130859375,-0.000995908456388861,0.0034838007,5056.7222900390625,-0.0002422332763671875,0.2,0.0001,60.25,-302.75
26624,-181.48,13,3160,47.0,8,,,,,,,,,,,,
28672,-155.12,14,3196,42.45,8,2056.33154296875,-1.1777169108390808,52,0.1103515625,-0.001313994755037129,0.0064415955,4853.064056396484,0.0030216574668884277,0.2,0.0001,,
