rollout/ep_rew_mean,time/iterations,time/fps,time/time_elapsed,rollout/ep_len_mean,time/total_timesteps,train/n_updates,train/learning_rate,train/value_loss,train/clip_fraction,train/approx_kl,train/policy_gradient_loss,train/entropy_loss,train/loss,train/clip_range,train/explained_variance,eval/mean_ep_length,eval/mean_reward
-147.33333333333334,1,2402,0,45.09090909090909,2048,,,,,,,,,,,,
-162.19480519480518,2,2648,1,46.74025974025974,4096,4,0.0001,3344.4313201904297,0.0,5.5969664e-05,-4.466023528948426e-05,-1.386275552213192,1535.2496337890625,0.2,8.338689804077148e-05,,
-154.36,3,2976,2,45.51,6144,8,0.0001,2765.8855895996094,0.0,0.0013957699,0.00023001345107331872,-1.3852590695023537,1144.7733154296875,0.2,0.0018384456634521484,,
-176.0,4,3189,2,48.32,8192,12,0.0001,2809.3657836914062,0.0870361328125,0.011519058,0.0005134023376740515,-1.3817609027028084,1378.06103515625,0.2,0.00214308500289917,,
-193.85,5,3336,3,51.68,10240,16,0.0001,2667.3350524902344,0.0494384765625,0.007099891,-0.002199321083026007,-1.3782840445637703,1213.01513671875,0.2,0.001102149486541748,,
-194.97,6,3423,3,52.75,12288,20,0.0001,3796.291549682617,0.098388671875,0.009153198,0.0011689664970617741,-1.3721947744488716,1802.3214111328125,0.2,-0.022240400314331055,,
-191.9,7,3506,4,52.05,14336,24,0.0001,3821.519577026367,0.3990478515625,0.030387772,0.012032854108838364,-1.3556653410196304,1702.231201171875,0.2,-0.018256306648254395,,
-190.45,8,3568,4,51.85,16384,28,0.0001,3646.332290649414,0.315673828125,0.012322619,0.008700074133230373,-1.3253203704953194,2015.0711669921875,0.2,-0.004708051681518555,,
-181.96,9,3620,5,51.72,18432,32,0.0001,3706.6822662353516,0.1365966796875,0.008975422,-0.0022774632670916617,-1.3225840702652931,1743.9603271484375,0.2,0.003709256649017334,,
-187.41,10,3660,5,53.62,20480,36,0.0001,4070.7132263183594,0.106689453125,0.005221664,-0.0033900126873049885,-1.306772418320179,1893.8629150390625,0.2,0.0032556653022766113,,
-195.69,11,3699,6,55.12,22528,40,0.0001,4131.804122924805,0.02880859375,0.0012607775,8.112681098282337e-05,-1.2896369397640228,1975.0828857421875,0.2,0.00457608699798584,,
-207.63,12,3724,6,56.59,24576,44,0.0001,3107.749008178711,0.561279296875,0.02206229,0.048066774441394955,-1.3147358819842339,1360.540771484375,0.2,0.011579334735870361,,
,,,,,24992,48,0.0001,3162.4173889160156,0.2401123046875,0.03298631,0.008392849878873676,-1.2393002957105637,1548.6187744140625,0.2,0.02737337350845337,75.0,-300.0
-209.65,13,3149,8,56.42,26624,,,,,,,,,,,,
-208.35,14,3196,8,55.32,28672,52,0.0001,3667.6248626708984,0.2943115234375,0.01589017,0.011581360711716115,-1.2110798582434654,1932.322021484375,0.2,-0.005653977394104004,,
-220.92,15,3242,9,57.47,30720,56,0.0001,3226.6873779296875,0.201416015625,0.01410087,0.01591662084683776,-1.2207415625452995,1604.0394287109375,0.2,-0.0002574920654296875,,
-214.49,16,3279,9,57.11,32768,60,0.0001,2666.219551086426,0.1246337890625,0.007891048,0.004798937821760774,-1.253718763589859,1283.2930908203125,0.2,0.01894354820251465,,
-206.5,17,3314,10,56.08,34816,64,0.0001,3926.1857147216797,0.212646484375,0.02927258,0.00535715147270821,-1.314163587987423,1724.9617919921875,0.2,0.008296012878417969,,
-196.33,18,3346,11,54.14,36864,68,0.0001,4462.892822265625,0.0594482421875,0.007438772,0.0008066724985837936,-1.3283748403191566,2211.845947265625,0.2,0.012366652488708496,,
-198.8,19,3374,11,54.14,38912,72,0.0001,3709.5549926757812,0.2337646484375,0.015254333,0.006214235443621874,-1.314547322690487,1855.0955810546875,0.2,0.00711512565612793,,
-164.56,20,3400,12,48.68,40960,76,0.0001,4222.804168701172,0.18115234375,0.0074692573,3.986194496974349e-05,-1.2373807728290558,2197.10205078125,0.2,-0.0017837285995483398,,
-145.16,21,3420,12,45.19,43008,80,0.0001,4784.01123046875,0.152587890625,0.01069817,-0.00413975419360213,-1.343831829726696,2384.6953125,0.2,0.005190789699554443,,
-147.42,22,3441,13,45.49,45056,84,0.0001,4051.083938598633,0.102294921875,0.0128968,-0.003415476967347786,-1.3253314644098282,2174.51025390625,0.2,0.0093536376953125,,
-155.18,23,3463,13,46.13,47104,88,0.0001,4907.9300537109375,0.02685546875,0.005052999,-0.00011193493264727294,-1.3207283467054367,2104.144775390625,0.2,0.010319828987121582,,
-188.65,24,3479,14,51.24,49152,92,0.0001,4270.972839355469,0.0662841796875,0.0045788907,-0.0018364163697697222,-1.2975172102451324,2436.69921875,0.2,-0.010413765907287598,,
,,,,,49984,96,0.0001,3742.9107971191406,0.0887451171875,0.008993867,0.005211635259911418,-1.2799342274665833,1830.7125244140625,0.2,0.01390761137008667,75.0,-300.0
-183.9,25,3221,15,50.34,51200,,,,,,,,,,,,
-181.22,26,3244,16,49.2,53248,100,0.0001,4837.800811767578,0.1680908203125,0.010891937,0.00421166728483513,-1.2852112725377083,2193.2607421875,0.2,-0.0023306608200073242,,
-191.13,27,3269,16,50.31,55296,104,0.0001,3367.6797637939453,0.0887451171875,0.0054652146,0.001799262099666521,-1.2692690417170525,1476.7611083984375,0.2,-0.009261012077331543,,
-168.96,28,3290,17,47.25,57344,108,0.0001,4518.787689208984,0.1572265625,0.0063078403,-0.0006129197427071631,-1.3561425805091858,2302.173828125,0.2,0.009086668491363525,,
-180.48,29,3311,17,48.99,59392,112,0.0001,4450.911346435547,0.0955810546875,0.0063861185,-0.0029427059926092625,-1.293642520904541,2035.62646484375,0.2,0.01680612564086914,,
