time/fps,rollout/ep_rew_mean,time/total_timesteps,time/time_elapsed,rollout/ep_len_mean,time/iterations,train/policy_gradient_loss,train/n_updates,train/learning_rate,train/approx_kl,train/clip_range,train/explained_variance,train/value_loss,train/loss,train/clip_fraction,train/entropy_loss,eval/mean_ep_length,eval/mean_reward
2436,0.16666666666666666,2048,0,76.66666666666667,1,,,,,,,,,,,,
2667,0.18604651162790697,4096,1,82.79069767441861,2,-0.001709328789729625,4,0.00025,0.0019979728,0.2,-0.05011332035064697,0.26403879188001156,0.06057628244161606,0.0,-1.3852828443050385,,
3022,0.3384615384615385,6144,2,82.96923076923076,3,-0.007126235228497535,8,0.00025,0.026690897,0.2,0.09497487545013428,0.1963521158322692,0.07115088403224945,0.2156982421875,-1.368199497461319,,
3221,0.5581395348837209,8192,2,85.53488372093024,4,-0.0040075677243294194,12,0.00025,0.018920626,0.2,0.2881883382797241,0.1818007081747055,0.04945092648267746,0.180908203125,-1.3129841461777687,,
3377,1.01,10240,3,92.36,5,-0.003483320091618225,16,0.00025,0.013282228,0.2,0.2984062433242798,0.2697190288454294,0.10775722563266754,0.08349609375,-1.275990515947342,,
3476,1.42,12288,3,97.05,6,-0.0027749344590120018,20,0.00025,0.012780955,0.2,0.31242191791534424,0.2536579156294465,0.10970354080200195,0.067138671875,-1.2158167287707329,,
3553,1.69,14336,4,99.31,7,-0.00018212327267974615,24,0.00025,0.010292511,0.2,0.4351045489311218,0.29377131909132004,0.12317758798599243,0.0552978515625,-1.177606388926506,,
3618,1.91,16384,4,103.7,8,-0.00024827175366226584,28,0.00025,0.0022366834,0.2,0.5298749804496765,0.30462283082306385,0.14586001634597778,0.0057373046875,-1.167966902256012,,
3668,2.05,18432,5,104.33,9,-0.000751561252400279,32,0.00025,0.003098861,0.2,0.5581258535385132,0.2990343663841486,0.11489114910364151,0.013671875,-1.1562053486704826,,
3712,2.01,20480,5,103.57,10,-0.001891940803034231,36,0.00025,0.002940537,0.2,0.5485010147094727,0.2976830769330263,0.12915995717048645,0.087158203125,-1.1032714769244194,,
3752,2.09,22528,6,104.59,11,-0.0016668736934661865,40,0.00025,0.011402136,0.2,0.567426323890686,0.29216199927031994,0.10919521749019623,0.0426025390625,-1.1259677335619926,,
3791,2.16,24576,6,104.63,12,0.00045329288695938885,44,0.00025,0.008326773,0.2,0.5579947829246521,0.2780954195186496,0.1246757060289383,0.0394287109375,-1.115851417183876,,
3810,2.44,26624,6,107.33,13,-0.00813918124185875,48,0.00025,0.009431222,0.2,0.6176573038101196,0.2841078322380781,0.10701896995306015,0.13623046875,-1.0796655714511871,,
3828,2.62,28672,7,109.01,14,-0.0037513720453716815,52,0.00025,0.0100318985,0.2,0.6133745312690735,0.3012501001358032,0.10980506241321564,0.067138671875,-1.002369362860918,,
3847,2.81,30720,7,110.45,15,-0.002982537174830213,56,0.00025,0.008322105,0.2,0.601537823677063,0.3803930915892124,0.1896006315946579,0.04345703125,-0.9654671959578991,,
3860,3.04,32768,8,110.44,16,-0.0009071870590560138,60,0.00025,0.011565098,0.2,0.7074787616729736,0.24609860684722662,0.10947175323963165,0.043701171875,-0.966219749301672,,
3877,3.0,34816,8,109.54,17,0.0007385690987575799,64,0.00025,0.0046651526,0.2,0.7197738885879517,0.25557089410722256,0.11586381494998932,0.0335693359375,-0.9780627563595772,,
3896,3.02,36864,9,108.79,18,9.775342186912894e-05,68,0.00025,0.0035487136,0.2,0.7114157676696777,0.2332945503294468,0.12359439581632614,0.00830078125,-0.9429662711918354,,
3910,3.1,38912,9,108.64,19,-0.005293986381730065,72,0.00025,0.0130858505,0.2,0.7186696529388428,0.24144481401890516,0.09688320010900497,0.1279296875,-0.9153192862868309,,
3928,3.17,40960,10,109.51,20,-0.001222538179717958,76,0.00025,0.012950836,0.2,0.667917013168335,0.2454704949632287,0.09843906760215759,0.086181640625,-0.8947702758014202,,
3945,3.04,43008,10,109.21,21,0.0007436645100824535,80,0.00025,0.020002866,0.2,0.5764226913452148,0.3240214865654707,0.16241887211799622,0.114990234375,-0.921393234282732,,
