time/iterations,time/total_timesteps,rollout/ep_len_mean,rollout/ep_rew_mean,time/fps,time/time_elapsed,train/clip_fraction,train/entropy_loss,train/n_updates,train/clip_range,train/loss,train/value_loss,train/explained_variance,train/policy_gradient_loss,train/approx_kl,train/learning_rate,eval/mean_reward,eval/mean_ep_length
1,2048,85.82352941176471,0.7647058823529411,2673,0,,,,,,,,,,,,
2,4096,82.82051282051282,0.4358974358974359,2795,1,0.0,-2.079176500439644,4,0.2,0.061328671872615814,0.25596719328314066,-0.0005095005035400391,-0.0010434321884531528,0.0003904097,0.00025,,
3,6144,83.25757575757575,0.5303030303030303,3134,1,0.0,-2.077247306704521,8,0.2,0.06462135910987854,0.18814618326723576,0.1305546760559082,-0.001168545219115913,0.0016227956,0.00025,,
4,8192,87.29761904761905,0.8214285714285714,3358,2,0.0614013671875,-2.060301974415779,12,0.2,0.04785916209220886,0.1821177015081048,0.33088672161102295,-0.005901827709749341,0.007941155,0.00025,,
5,10240,92.48,1.22,3510,2,0.0792236328125,-2.02874718606472,16,0.2,0.12873095273971558,0.3457737024873495,0.28163284063339233,-0.009003660845337436,0.007888926,0.00025,,
6,12288,95.46,1.39,3617,3,0.1209716796875,-1.979946754872799,20,0.2,0.09272253513336182,0.2610379187390208,0.3746896982192993,-0.0034819412685465068,0.0057828524,0.00025,,
7,14336,100.95,1.87,3705,3,0.031494140625,-1.9765595942735672,24,0.2,0.18708842992782593,0.38411024026572704,0.39592641592025757,-0.0028249519818928093,0.008629751,0.00025,,
8,16384,104.93,2.24,3761,4,0.0029296875,-1.9429758489131927,28,0.2,0.0985911637544632,0.313509170897305,0.49708372354507446,-0.0024683935625944287,0.0061986074,0.00025,,
9,18432,109.48,2.5,3813,4,0.12939453125,-1.850684069097042,32,0.2,0.14514592289924622,0.35890392027795315,0.5188320875167847,-0.0037400129076559097,0.0057704654,0.00025,,
10,20480,108.45,2.4,3866,5,0.12158203125,-1.785079039633274,36,0.2,0.09326791018247604,0.29852481838315725,0.5795192122459412,-0.0033838206727523357,0.0078041763,0.00025,,
11,22528,111.15,2.59,3908,5,0.0316162109375,-1.7219529449939728,40,0.2,0.13135039806365967,0.3021008875221014,0.5301700830459595,-0.0017967725289054215,0.0028171325,0.00025,,
12,24576,109.08,2.5,3949,6,0.044677734375,-1.6296350061893463,44,0.2,0.12289204448461533,0.32970187813043594,0.6379170417785645,-0.0027161055186297745,0.0036309294,0.00025,,
13,26624,110.0,2.6,3969,6,0.020751953125,-1.7123636454343796,48,0.2,0.13213765621185303,0.31746312975883484,0.4892338514328003,-0.0002990077482536435,0.0046326895,0.00025,,
14,28672,109.37,2.64,3998,7,0.0465087890625,-1.7002081647515297,52,0.2,0.15002703666687012,0.3426878210157156,0.5262017846107483,-0.0023678590659983456,0.0051200707,0.00025,,
15,30720,109.66,2.71,4023,7,0.027099609375,-1.6108290031552315,56,0.2,0.1414574682712555,0.3442767783999443,0.5045086145401001,-0.001978314423467964,0.00462249,0.00025,,
16,32768,109.79,2.81,4047,8,0.0087890625,-1.6739446818828583,60,0.2,0.12869776785373688,0.3138090129941702,0.6098849773406982,-0.00017797280452214181,0.002785846,0.00025,,
17,34816,109.1,2.75,4069,8,0.000244140625,-1.6747107207775116,64,0.2,0.13879504799842834,0.3544625695794821,0.5862464904785156,-0.0010953107557725161,0.0013243272,0.00025,,
18,36864,109.19,2.75,4085,9,0.0133056640625,-1.657740369439125,68,0.2,0.18365660309791565,0.4117903411388397,0.5470672845840454,-0.0007183220295701176,0.002442025,0.00025,,
19,38912,110.54,2.85,4097,9,0.0880126953125,-1.6175811886787415,72,0.2,0.18307723104953766,0.40393622033298016,0.5314375162124634,-0.0045315424795262516,0.019183869,0.00025,,
20,40960,113.54,3.06,4111,9,0.0423583984375,-1.5436541959643364,76,0.2,0.1447046399116516,0.3671916779130697,0.6077003479003906,-0.0036424427817109972,0.0050120223,0.00025,,
21,43008,114.05,3.03,4123,10,0.0216064453125,-1.513625480234623,80,0.2,0.14710412919521332,0.35664359107613564,0.6392579078674316,0.00014488850138150156,0.0023890692,0.00025,,
22,45056,114.25,3.02,4136,10,0.0107421875,-1.4628847688436508,84,0.2,0.16483592987060547,0.33439105190336704,0.6814227104187012,0.00026237257407046854,0.0036084899,0.00025,,
