time/time_elapsed,rollout/ep_len_mean,time/total_timesteps,rollout/ep_rew_mean,time/fps,time/iterations,train/clip_fraction,train/explained_variance,train/loss,train/n_updates,train/entropy_loss,train/policy_gradient_loss,train/value_loss,train/clip_range,train/learning_rate,train/approx_kl,eval/mean_reward,eval/mean_ep_length
404,105.6,2048,322.4,5,1,,,,,,,,,,,,
1522,116.85714285714286,4096,367.42857142857144,2,2,0.08642578125,0.0019707083702087402,891.2683715820312,4,-1.3800903335213661,-0.0006248574354685843,2420.565460205078,0.2,0.00025,0.013274743,,
1641,118.13953488372093,6144,372.5581395348837,3,3,0.2515869140625,-0.3351856470108032,1417.031982421875,8,-1.3558154851198196,0.0109058674715925,3257.1895751953125,0.2,0.00025,0.015058009,,
1710,123.14285714285714,8192,392.57142857142856,4,4,0.111328125,-0.18056249618530273,1209.1163330078125,12,-1.3457682579755783,0.0018872420769184828,2630.108596801758,0.2,0.00025,0.007896595,,
1832,124.71232876712328,10240,398.8493150684931,5,5,0.319091796875,-0.028871774673461914,960.0611572265625,16,-1.2673194035887718,0.00973722111666575,2282.840621948242,0.2,0.00025,0.02294624,,
1832,124.55913978494624,12288,398.23655913978496,6,6,0.6895751953125,0.23970001935958862,1155.368896484375,20,-1.2063671797513962,0.07484123215544969,2625.6444244384766,0.2,0.00025,0.1521109,,
1833,123.52,14336,394.08,7,7,0.20556640625,0.17784053087234497,1772.8623046875,24,-1.1288620978593826,0.008818965463433415,3928.950668334961,0.2,0.00025,0.005624721,,
1834,123.04,16384,392.16,8,8,0.1279296875,0.04182887077331543,1934.646484375,28,-1.2240619733929634,0.003648300131317228,4192.6602783203125,0.2,0.00025,0.005327947,,
1834,120.32,18432,381.28,10,9,0.201171875,0.12913954257965088,1562.6614990234375,32,-1.2376495450735092,0.015272774850018322,3684.3784942626953,0.2,0.00025,0.10784871,,
1835,112.48,20480,349.92,11,10,0.47021484375,0.09831875562667847,1871.8907470703125,36,-0.576925877481699,0.03857894579414278,3995.6065063476562,0.2,0.00025,0.21684024,,
1835,108.48,22528,333.92,12,11,0.02392578125,-0.022870182991027832,2967.618896484375,40,-0.3261685911566019,-0.0003096344298683107,5022.845489501953,0.2,0.00025,0.0011186183,,
1836,104.16,24576,316.64,13,12,0.0611572265625,-0.04134798049926758,2318.17333984375,44,-0.44614947959780693,0.003830356552498415,5015.425354003906,0.2,0.00025,0.0018455294,,
1837,100.72,26624,302.88,14,13,0.1468505859375,-0.011873245239257812,1711.5401611328125,48,-0.41815663408488035,0.013827503804350272,3898.4940185546875,0.2,0.00025,0.012476739,,
1837,99.36,28672,297.44,15,14,0.033447265625,-0.0050286054611206055,2276.966796875,52,-0.6702686548233032,0.002031991141848266,4084.670700073242,0.2,0.00025,0.0063508595,,
1838,99.04,30720,296.16,16,15,0.0242919921875,0.0037598609924316406,2285.38330078125,56,-0.73915746062994,-0.00013663011486642063,4115.495697021484,0.2,0.00025,0.002684192,,
1838,99.44,32768,297.76,17,16,0.153076171875,-0.0052634477615356445,1855.854736328125,60,-0.7404625862836838,0.0007907093677204102,3444.1192626953125,0.2,0.00025,0.006367424,,
1839,99.92,34816,299.68,18,17,0.1640625,0.05054831504821777,1677.79248046875,64,-0.8203106597065926,0.0032686988270143047,3505.7691192626953,0.2,0.00025,0.012230043,,
1840,101.2,36864,304.8,20,18,0.4544677734375,0.11285209655761719,1782.368896484375,68,-0.7954805493354797,0.006795176304876804,3760.0259552001953,0.2,0.00025,0.04251264,,
1840,103.2,38912,312.8,21,19,0.1533203125,0.11320126056671143,1277.403076171875,72,-0.8641454987227917,0.001653461018577218,3187.809616088867,0.2,0.00025,0.018355226,,
1841,104.56,40960,318.24,22,20,0.2198486328125,0.1767786741256714,1604.048095703125,76,-0.8351875431835651,0.008131787064485252,2987.9360961914062,0.2,0.00025,0.027105665,,
1841,105.92,43008,323.68,23,21,0.1875,0.11451929807662964,1676.133544921875,80,-0.9318417422473431,0.004046852031024173,3679.1649322509766,0.2,0.00025,0.018379422,,
1842,107.6,45056,330.4,24,22,0.2078857421875,0.2645694613456726,1589.1605224609375,84,-0.9932838045060635,0.0020865337864961475,3006.668258666992,0.2,0.00025,0.035757266,,
1842,110.88,47104,343.52,25,23,0.366943359375,0.4347502589225769,1136.3800048828125,88,-0.9939834773540497,0.010488189291208982,2592.1554107666016,0.2,0.00025,0.013538541,,
1843,110.4,49152,341.6,26,24,0.1861572265625,0.4577219486236572,1215.38818359375,92,-1.0255120918154716,0.002233063365565613,2693.2728729248047,0.2,0.00025,0.030338556,,
1844,112.8,51200,351.2,27,25,0.100830078125,0.30704712867736816,1600.87158203125,96,-0.980928111821413,-0.0016576698690187186,3139.0520782470703,0.2,0.00025,0.0035288383,,
