time/total_timesteps,rollout/ep_rew_mean,time/fps,time/time_elapsed,time/iterations,rollout/ep_len_mean,train/loss,train/learning_rate,train/explained_variance,train/clip_fraction,train/clip_range,train/entropy_loss,train/n_updates,train/approx_kl,train/policy_gradient_loss,train/value_loss,eval/mean_reward,eval/mean_ep_length
2048,338.85714285714283,1945,1,1,109.71428571428571,,,,,,,,,,,,
4096,358.6666666666667,2075,1,2,114.66666666666667,958.239013671875,0.00025,-0.0026897192001342773,0.0731201171875,0.2,-1.3807515054941177,4,0.006940047,0.0007433866267092526,2334.272979736328,,
6144,377.09090909090907,2351,2,3,119.27272727272727,1193.267333984375,0.00025,-0.1610112190246582,0.306884765625,0.2,-1.3540472388267517,8,0.011546392,0.012832757958676666,2503.1317291259766,,
8192,387.8688524590164,2533,3,4,121.9672131147541,1184.5703125,0.00025,-0.23452270030975342,0.3101806640625,0.2,-1.3432177901268005,12,0.060233504,0.01453777778078802,3073.918411254883,,
10240,380.8205128205128,2641,3,5,120.2051282051282,1351.9677734375,0.00025,-0.028922080993652344,0.423828125,0.2,-1.3406802043318748,16,0.049923055,0.02201089693699032,2935.3831481933594,,
12288,387.6521739130435,2737,4,6,121.91304347826087,1389.1041259765625,0.00025,0.0834093689918518,0.3255615234375,0.2,-1.2889051884412766,20,0.16664559,0.02990726611460559,2671.0276794433594,,
14336,415.2,2811,5,7,128.8,1030.966064453125,0.00025,0.3880231976509094,0.4930419921875,0.2,-1.0862032398581505,24,0.05784233,0.02328856143867597,2274.8511505126953,,
16384,413.6,2927,5,8,128.4,1148.495849609375,0.00025,0.14746558666229248,0.5440673828125,0.2,-0.9686163030564785,28,0.03955974,0.032796333194710314,2264.1062393188477,,
18432,397.92,2986,6,9,124.48,1511.3865966796875,0.00025,0.08265388011932373,0.32177734375,0.2,-0.9762422442436218,32,0.006115875,0.01435870211571455,2973.6068725585938,,
20480,389.92,3032,6,10,122.48,1544.6685791015625,0.00025,0.1560339331626892,0.408203125,0.2,-1.1636066064238548,36,0.032559942,0.019329307426232845,3136.819869995117,,
22528,388.64,3077,7,11,122.16,1350.1082763671875,0.00025,0.16111540794372559,0.311767578125,0.2,-1.1289313919842243,40,0.020466534,0.013881649763789028,3075.478759765625,,
24576,385.12,3092,7,12,121.28,1240.9794921875,0.00025,0.2728500962257385,0.2457275390625,0.2,-1.1903141140937805,44,0.026948776,0.0001293593377340585,2767.065444946289,,
26624,363.04,3138,8,13,115.76,1350.896484375,0.00025,0.32687294483184814,0.072265625,0.2,-1.2011573389172554,48,0.0076814047,-0.001850891043432057,3325.2274475097656,,
28672,376.48,3184,9,14,119.12,1389.1494140625,0.00025,0.30058348178863525,0.1224365234375,0.2,-1.165909357368946,52,0.009865373,-0.0026285477506462485,3512.142623901367,,
30720,395.68,3200,9,15,123.92,1685.498046875,0.00025,0.22573763132095337,0.556884765625,0.2,-1.0653535537421703,56,0.121664025,0.03806426748633385,3594.174285888672,,
32768,403.68,3228,10,16,125.92,2061.658203125,0.00025,0.06555533409118652,0.39501953125,0.2,-1.164034515619278,60,0.02325799,0.012042971706250682,4610.540237426758,,
34816,393.76,22,1579,17,123.44,2474.270751953125,0.00025,0.13017243146896362,0.1441650390625,0.2,-1.0514542385935783,64,0.01727542,0.0004674163938034326,5112.330139160156,,
36864,383.84,23,1580,18,120.96,2930.75341796875,0.00025,-0.00945746898651123,0.2919921875,0.2,-0.6587345991283655,68,0.0539531,0.03224360314197838,5274.076965332031,,
38912,358.56,24,1581,19,114.64,2665.482666015625,0.00025,-0.020018696784973145,0.115478515625,0.2,-0.6450900379568338,72,0.013373521,0.008638042316306382,4569.915588378906,,
40960,335.2,25,1582,20,108.8,2285.498779296875,0.00025,-0.006158709526062012,0.15478515625,0.2,-0.796514917165041,76,0.012894448,0.010386776586528867,5089.454742431641,,
43008,313.44,27,1583,21,103.36,1817.21533203125,0.00025,0.06713658571243286,0.063720703125,0.2,-0.6348121240735054,80,0.0043723793,0.0018747163412626833,3878.136444091797,,
45056,316.32,28,1584,22,104.08,2301.766845703125,0.00025,-0.0029217004776000977,0.1136474609375,0.2,-0.9008623622357845,84,0.00782395,0.004716234267107211,4264.25309753418,,
47104,325.6,29,1584,23,106.4,2348.54248046875,0.00025,0.052550554275512695,0.072265625,0.2,-0.9768995195627213,88,0.003947094,0.0002946708700619638,4414.843673706055,,
49152,320.48,31,1585,24,105.12,1734.1531982421875,0.00025,0.02514326572418213,0.154296875,0.2,-0.9441917426884174,92,0.028173935,0.01087482672301121,4160.914108276367,,
51200,319.52,32,1586,25,104.88,2345.428466796875,0.00025,0.057828545570373535,0.0618896484375,0.2,-0.9989204406738281,96,0.009526793,0.002458715462125838,4566.9000244140625,,
53248,322.4,33,1586,26,105.6,2074.853759765625,0.00025,0.06027168035507202,0.3619384765625,0.2,-0.8989989869296551,100,0.033530798,0.017814126622397453,3717.62548828125,,
55296,317.6,34,1587,27,104.4,2060.98095703125,0.00025,0.041857004165649414,0.2918701171875,0.2,-1.0917345583438873,104,0.023426324,0.005956885026535019,4192.868591308594,,
57344,310.88,36,1588,28,102.72,1854.42724609375,0.00025,0.10185754299163818,0.69384765625,0.2,-1.0810219645500183,108,0.11090924,0.037730107171228155,3380.786911010742,,
