time/total_timesteps,rollout/ep_len_mean,time/iterations,time/fps,rollout/ep_rew_mean,time/time_elapsed,train/explained_variance,train/loss,train/policy_gradient_loss,train/entropy_loss,train/clip_range,train/approx_kl,train/clip_fraction,train/learning_rate,train/n_updates,train/value_loss,eval/mean_reward,eval/mean_ep_length
2048,76.66666666666667,1,2271,0.16666666666666666,0,,,,,,,,,,,,
4096,83.44186046511628,2,2595,0.2558139534883721,1,0.004136919975280762,0.03936241567134857,-0.0023274323320947587,-1.3843294903635979,0.2,0.00407876,0.0,0.00025,4,0.3224075878970325,,
6144,82.984375,3,3000,0.3125,2,0.12297457456588745,0.048638299107551575,-0.011586595850531012,-1.351857028901577,0.2,0.021398118,0.2733154296875,0.00025,8,0.17502531502395868,,
8192,85.22619047619048,4,3339,0.5476190476190477,2,0.24774384498596191,0.06694304943084717,-0.0023555397638119757,-1.3371663391590118,0.2,0.012997599,0.0750732421875,0.00025,12,0.17699997127056122,,
10240,92.27,5,3576,1.02,2,0.27688074111938477,0.1318812221288681,-0.004948395420797169,-1.2631153091788292,0.2,0.012818873,0.0528564453125,0.00025,16,0.30420841835439205,,
12288,96.45,6,3679,1.36,3,0.2866039276123047,0.12249017506837845,-0.0017063607228919864,-1.193380244076252,0.2,0.0062735025,0.0211181640625,0.00025,20,0.3147283848375082,,
14336,99.61,7,3793,1.69,3,0.44671767950057983,0.09259112179279327,-0.0029499663651222363,-1.1866851970553398,0.2,0.011249274,0.0250244140625,0.00025,24,0.24514533951878548,,
16384,105.13,8,3849,2.13,4,0.3676683306694031,0.12830612063407898,-0.0016168323927558959,-1.140837401151657,0.2,0.0061874716,0.0228271484375,0.00025,28,0.31812814995646477,,
18432,109.23,9,3898,2.36,4,0.48854804039001465,0.1248822882771492,-0.0003255103947594762,-1.110858790576458,0.2,0.006987965,0.0426025390625,0.00025,32,0.31320011615753174,,
20480,108.07,10,3913,2.4,5,0.5170043706893921,0.15078626573085785,-0.0011887318105436862,-1.1261644661426544,0.2,0.008250143,0.0274658203125,0.00025,36,0.34160999581217766,,
22528,108.21,11,3958,2.46,5,0.5601129531860352,0.14022280275821686,-0.0014732698327861726,-1.1045914441347122,0.2,0.0048911665,0.0128173828125,0.00025,40,0.3059157095849514,,
24576,107.14,12,4019,2.48,6,0.6340824961662292,0.12014709413051605,-0.002926943125203252,-1.0567756816744804,0.2,0.0121425325,0.071533203125,0.00025,44,0.2745042983442545,,
26624,106.26,13,4024,2.41,6,0.5170846581459045,0.1486046314239502,-0.001571789849549532,-1.0865470916032791,0.2,0.006542122,0.0054931640625,0.00025,48,0.30655127856880426,,
28672,105.21,14,4085,2.35,7,0.5796272158622742,0.120691679418087,-0.00416570738889277,-1.0122216865420341,0.2,0.014620682,0.0853271484375,0.00025,52,0.3023409377783537,,
30720,103.89,15,4128,2.25,7,0.34301161766052246,0.1750076562166214,-0.0021566250070463866,-0.9871477596461773,0.2,0.0028247277,0.0323486328125,0.00025,56,0.35860402695834637,,
32768,103.91,16,4146,2.24,7,0.3709145188331604,0.15573543310165405,-0.0016300977440550923,-1.0124304257333279,0.2,0.008151374,0.0208740234375,0.00025,60,0.3376265838742256,,
34816,104.73,17,4189,2.18,8,0.37615591287612915,0.14350900053977966,-0.0014285280485637486,-0.9998001232743263,0.2,0.0027630832,0.019775390625,0.00025,64,0.3381039295345545,,
36864,106.9,18,4208,2.34,8,0.4936637282371521,0.11944684386253357,-0.0018294406472705305,-1.031930923461914,0.2,0.01781308,0.099853515625,0.00025,68,0.2870140876621008,,
38912,107.47,19,4193,2.44,9,0.631350040435791,0.12220197170972824,-0.0017921040998771787,-1.0293245762586594,0.2,0.008343507,0.0106201171875,0.00025,72,0.24138829577714205,,
40960,109.42,20,4200,2.55,9,0.5615679025650024,0.13008375465869904,-0.0017059232341125607,-0.9925468042492867,0.2,0.002626895,0.052734375,0.00025,76,0.3099023438990116,,
43008,110.38,21,4209,2.65,10,0.5478963851928711,0.13846652209758759,0.0005358780326787382,-0.9942620508372784,0.2,0.0042993575,0.0,0.00025,80,0.3034556023776531,,
45056,110.97,22,4236,2.7,10,0.5530704259872437,0.14713333547115326,-0.001903801370644942,-0.962569385766983,0.2,0.015275547,0.1158447265625,0.00025,84,0.30967322178184986,,
47104,110.41,23,4249,2.63,11,0.5008620619773865,0.09954653680324554,-0.0022911619453225285,-1.0231074951589108,0.2,0.010702199,0.0322265625,0.00025,88,0.27803059108555317,,
49152,107.9,24,4276,2.46,11,0.567162036895752,0.14095261693000793,-0.0006760185351595283,-0.9644450917840004,0.2,0.017717842,0.1304931640625,0.00025,92,0.3184604365378618,,
51200,107.52,25,4266,2.43,12,0.6294105052947998,0.1349315047264099,-0.000980605953373015,-0.986940011382103,0.2,0.01266014,0.0230712890625,0.00025,96,0.29840509220957756,,
53248,108.34,26,4276,2.4,12,0.5520932674407959,0.1709081083536148,-0.000524767383467406,-0.9444797672331333,0.2,0.0031716102,0.0057373046875,0.00025,100,0.34286728873848915,,
55296,108.2,27,4298,2.47,12,0.6155139207839966,0.14564067125320435,-0.003690807003295049,-0.9005469456315041,0.2,0.0070633977,0.046875,0.00025,104,0.3709513656795025,,
57344,107.56,28,4309,2.45,13,0.630077600479126,0.1265946626663208,0.00040043110493570566,-0.8927883021533489,0.2,0.002739357,0.0174560546875,0.00025,108,0.29192204773426056,,
59392,108.85,29,4317,2.64,13,0.49703705310821533,0.14467060565948486,-0.0012794151552952826,-0.9439201503992081,0.2,0.009713902,0.0574951171875,0.00025,112,0.3700306583195925,,
61440,111.48,30,4313,2.88,14,0.5739190578460693,0.13668414950370789,-0.0012228124542161822,-0.8992702215909958,0.2,0.0013573112,0.0587158203125,0.00025,116,0.3040582612156868,,
63488,111.03,31,4330,2.91,14,0.6061793565750122,0.13388758897781372,-0.0009959871822502464,-0.9051853679120541,0.2,0.0021678605,0.0079345703125,0.00025,120,0.30811578780412674,,
65536,111.5,32,4317,2.89,15,0.48304682970046997,0.14826108515262604,-0.0014971515629440546,-0.8236384429037571,0.2,0.005197703,0.0308837890625,0.00025,124,0.33088967576622963,,
67584,114.32,33,4329,3.08,15,0.4253051280975342,0.1857696771621704,-0.0051278709433972836,-0.8591531552374363,0.2,0.005361612,0.0921630859375,0.00025,128,0.37225938960909843,,
69632,114.23,34,4323,3.16,16,0.5759010314941406,0.1547236293554306,-0.0032125983852893114,-0.8530831709504128,0.2,0.009634025,0.042236328125,0.00025,132,0.33786213025450706,,
71680,116.35,35,4320,3.26,16,0.5206690430641174,0.16078214347362518,-0.0038628625334240496,-0.8195954002439976,0.2,0.0021167076,0.0283203125,0.00025,136,0.3665786851197481,,
73728,115.8,36,4332,3.21,17,0.5569170713424683,0.154219850897789,-0.004653598502045497,-0.7776350490748882,0.2,0.007204757,0.0751953125,0.00025,140,0.3303204122930765,,
