time/total_timesteps,time/time_elapsed,time/episodes,rollout/ep_rew_mean,time/fps,rollout/exploration_rate,rollout/ep_len_mean,train/loss,train/learning_rate,train/n_updates,eval/mean_ep_length,eval/mean_reward
339,0,4,0.25,1030,0.9991948749999998,84.75,,,,,
650,0,8,0.0,1433,0.9984562499999999,81.25,,,,,
973,0,12,0.08333333333333333,1670,0.9976891250000003,81.08333333333333,,,,,
1274,0,16,0.125,1754,0.9969742500000001,79.625,,,,,
1605,0,20,0.2,1861,0.9961881249999998,80.25,,,,,
1971,1,24,0.2916666666666667,1905,0.9953188750000002,82.125,,,,,
2340,1,28,0.35714285714285715,1969,0.9944425,83.57142857142857,,,,,
2692,1,32,0.375,2013,0.9936065000000002,84.125,,,,,
3056,1,36,0.3611111111111111,2050,0.9927420000000001,84.88888888888889,,,,,
3387,1,40,0.325,2049,0.9919558749999999,84.675,,,,,
3687,1,44,0.3181818181818182,2062,0.991243375,83.79545454545455,,,,,
3968,1,48,0.2708333333333333,2089,0.9905760000000001,82.66666666666667,,,,,
4259,2,52,0.25,2109,0.989884875,81.90384615384616,,,,,
4606,2,56,0.26785714285714285,2125,0.9890607499999997,82.25,,,,,
4981,2,60,0.3,2145,0.9881701250000002,83.01666666666667,,,,,
5283,2,64,0.265625,2158,0.9874528750000002,82.546875,,,,,
5580,2,68,0.23529411764705882,2162,0.9867475000000002,82.05882352941177,,,,,
5881,2,72,0.19444444444444445,2163,0.986032625,81.68055555555556,,,,,
6223,2,76,0.19736842105263158,2170,0.9852203749999998,81.88157894736842,,,,,
6555,3,80,0.1875,2183,0.9844318749999998,81.9375,,,,,
6875,3,84,0.19047619047619047,2195,0.9836718750000001,81.8452380952381,,,,,
7231,3,88,0.18181818181818182,2208,0.982826375,82.17045454545455,,,,,
7558,3,92,0.1956521739130435,2221,0.98204975,82.15217391304348,,,,,
7927,3,96,0.19791666666666666,2224,0.981173375,82.57291666666667,,,,,
8272,3,100,0.19,2210,0.9803539999999998,82.72,,,,,
8604,3,104,0.16,2220,0.9795654999999999,82.65,,,,,
8980,4,108,0.19,2231,0.9786725000000001,83.3,,,,,
9348,4,112,0.2,2241,0.9777985000000002,83.75,,,,,
9709,4,116,0.2,2251,0.9769411250000001,84.35,,,,,
10025,4,120,0.18,2240,0.9761906250000001,84.2,,,,,
10351,4,124,0.13,2243,0.975416375,83.8,,,,,
10700,4,128,0.11,2249,0.9745875000000002,83.6,,,,,
11013,4,132,0.1,2257,0.9738441250000002,83.21,,,,,
11313,4,136,0.09,2263,0.9731316250000003,82.57,,,,,
11688,5,140,0.12,2264,0.9722410000000002,83.01,,,,,
11996,5,144,0.12,2269,0.9715095000000002,83.09,,,,,
12362,5,148,0.16,2269,0.9706402500000001,83.94,,,,,
12695,5,152,0.14,2270,0.9698493750000002,84.36,,,,,
13014,5,156,0.14,2263,0.9690917499999998,84.08,,,,,
13331,5,160,0.11,2268,0.968338875,83.5,,,,,
13594,5,164,0.09,2271,0.9677142499999998,83.11,,,,,
13991,6,168,0.15,2274,0.9667713749999998,84.11,,,,,
14353,6,172,0.18,2279,0.9659116249999998,84.72,,,,,
14647,6,176,0.15,2284,0.9652133749999998,84.24,,,,,
14905,6,180,0.13,2287,0.9646006250000001,83.5,,,,,
15219,6,184,0.15,2290,0.9638548749999998,83.44,,,,,
15554,6,188,0.17,2288,0.9630592499999998,83.23,,,,,
15878,6,192,0.16,2289,0.9622897499999998,83.2,,,,,
16199,7,196,0.15,2294,0.9615273749999999,82.72,,,,,
16492,7,200,0.14,2295,0.9608315000000002,82.2,,,,,
16802,7,204,0.15,2299,0.9600952500000001,81.98,,,,,
17178,7,208,0.17,2304,0.9592022500000001,81.98,,,,,
17495,7,212,0.15,2307,0.9584493749999999,81.47,,,,,
17802,7,216,0.14,2308,0.9577202499999997,80.93,,,,,
18125,7,220,0.12,2302,0.9569531250000001,81.0,,,,,
18468,8,224,0.16,2305,0.9561385000000002,81.17,,,,,
18765,8,228,0.13,2306,0.9554331250000002,80.65,,,,,
19160,8,232,0.14,2308,0.9544949999999999,81.47,,,,,
19489,8,236,0.13,2303,0.9537136249999998,81.76,,,,,
19781,8,240,0.08,2297,0.9530201249999999,80.93,,,,,
20096,8,244,0.08,2300,0.9522720000000002,81.0,,,,,
20432,8,248,0.06,2298,0.951474,80.7,,,,,
20747,9,252,0.09,2301,0.9507258749999998,80.52,,,,,
21039,9,256,0.06,2304,0.9500323749999999,80.25,,,,,
21400,9,260,0.07,2306,0.9491749999999998,80.69,,,,,
21684,9,264,0.09,2301,0.9485005,80.9,,,,,
21949,9,268,0.02,2303,0.947871125,79.58,,,,,
22275,9,272,0.0,2305,0.947096875,79.22,,,,,
22619,9,276,0.02,2308,0.9462798750000001,79.72,,,,,
22929,9,280,0.04,2309,0.9455436250000001,80.24,,,,,
23287,10,284,0.02,2312,0.9446933749999998,80.68,,,,,
23637,10,288,0.02,2316,0.9438621250000002,80.83,,,,,
23991,10,292,0.04,2307,0.9430213749999998,81.13,,,,,
24307,10,296,0.06,2309,0.9422708749999998,81.08,,,,,
24657,10,300,0.1,2311,0.9414396250000002,81.65,,,,,
24995,10,304,0.13,2314,0.9406368749999998,81.93,,,,,
25348,10,308,0.11,2316,0.9397985000000002,81.7,,,,,
25709,11,312,0.12,2312,0.938941125,82.14,,,,,
26046,11,316,0.12,2313,0.93814075,82.44,,,,,
26373,11,320,0.12,2313,0.9373641250000001,82.48,,,,,
26624,11,324,0.08,2310,0.936768,81.56,,,,,
26964,11,328,0.12,2311,0.9359605000000001,81.99,,,,,
27289,11,332,0.11,2311,0.9351886250000002,81.29,,,,,
27599,11,336,0.11,2313,0.9344523750000002,81.1,,,,,
27965,12,340,0.15,2316,0.933583125,81.84,,,,,
28271,12,344,0.15,2317,0.9328563750000002,81.75,,,,,
28564,12,348,0.14,2318,0.9321605,81.32,,,,,
28894,12,352,0.13,2315,0.9313767500000001,81.47,,,,,
29201,12,356,0.14,2315,0.930647625,81.62,,,,,
29539,12,360,0.14,2316,0.929844875,81.39,,,,,
29838,12,364,0.15,2317,0.9291347499999999,81.54,,,,,
30172,13,368,0.19,2319,0.9283414999999998,82.23,,,,,
30539,13,372,0.19,2315,0.9274698749999998,82.64,,,,,
30849,13,376,0.2,2316,0.9267336250000002,82.3,,,,,
31146,13,380,0.21,2317,0.9260282500000002,82.17,,,,,
31439,13,384,0.19,2318,0.925332375,81.52,,,,,
31755,13,388,0.19,2318,0.9245818750000001,81.18,,,,,
32126,13,392,0.17,2320,0.9237007499999997,81.35,,,,,
32434,13,396,0.15,2320,0.9229692499999999,81.27,,,,,
32742,14,400,0.12,2320,0.9222377499999999,80.85,,,,,
33113,14,404,0.13,2317,0.9213566250000002,81.18,,,,,
33429,14,408,0.11,2316,0.9206061250000002,80.81,,,,,
33719,14,412,0.08,2318,0.9199173749999999,80.1,,,,,
34011,14,416,0.09,2319,0.919223875,79.65,,,,,
34318,14,420,0.1,2319,0.9184947499999998,79.45,,,,,
34664,14,424,0.14,2315,0.917673,80.4,,,,,
34951,15,428,0.11,2312,0.9169913750000002,79.87,,,,,
35312,15,432,0.12,2313,0.916134,80.23,,,,,
35683,15,436,0.16,2315,0.9152528750000002,80.84,,,,,
36072,15,440,0.18,2315,0.9143289999999997,81.07,,,,,
36378,15,444,0.15,2313,0.91360225,81.07,,,,,
36697,15,448,0.14,2312,0.9128446250000001,81.33,,,,,
37024,16,452,0.15,2312,0.9120680000000001,81.3,,,,,
37332,16,456,0.14,2313,0.9113365000000002,81.31,,,,,
37625,16,460,0.12,2313,0.910640625,80.86,,,,,
37977,16,464,0.14,2314,0.9098046250000001,81.39,,,,,
38305,16,468,0.13,2315,0.909025625,81.33,,,,,
38602,16,472,0.11,2314,0.9083202499999999,80.63,,,,,
38938,16,476,0.11,2313,0.9075222500000002,80.89,,,,,
39242,16,480,0.11,2313,0.90680025,80.96,,,,,
39538,17,484,0.09,2314,0.9060972499999999,80.99,,,,,
39896,17,488,0.1,2314,0.9052470000000001,81.41,,,,,
40205,17,492,0.09,2309,0.9045131249999999,80.79,,,,,
40509,17,496,0.11,2309,0.9037911250000003,80.75,,,,,
40809,17,500,0.13,2309,0.9030786249999998,80.67,,,,,
41116,17,504,0.12,2310,0.9023495000000001,80.03,,,,,
41457,17,508,0.16,2311,0.9015396249999998,80.28,,,,,
41824,18,512,0.2,2305,0.9006679999999998,81.05,,,,,
42184,18,516,0.19,2307,0.899813,81.73,,,,,
42551,18,520,0.21,2308,0.8989413749999999,82.33,,,,,
42850,18,524,0.18,2309,0.8982312499999999,81.86,,,,,
43133,18,528,0.19,2309,0.8975591249999998,81.82,,,,,
43439,18,532,0.14,2308,0.896832375,81.27,,,,,
43718,18,536,0.13,2309,0.8961697500000002,80.35,,,,,
44035,19,540,0.12,2310,0.8954168749999999,79.63,,,,,
44331,19,544,0.13,2312,0.8947138750000002,79.53,,,,,
44618,19,548,0.12,2311,0.8940322499999999,79.21,,,,,
44932,19,552,0.11,2311,0.8932865000000001,79.08,,,,,
45287,19,556,0.13,2310,0.8924433749999998,79.55,,,,,
45648,19,560,0.15,2312,0.8915860000000002,80.23,,,,,
46013,19,564,0.15,2313,0.8907191249999998,80.36,,,,,
46320,20,568,0.14,2314,0.8899900000000002,80.15,,,,,
46654,20,572,0.19,2312,0.8891967500000001,80.52,,,,,
46981,20,576,0.18,2312,0.8884201250000001,80.43,,,,,
47293,20,580,0.17,2309,0.8876791249999999,80.51,,,,,
47600,20,584,0.17,2308,0.8869499999999998,80.62,,,,,
47945,20,588,0.15,2309,0.8861306250000003,80.49,,,,,
48321,20,592,0.17,2310,0.8852376249999998,81.16,,,,,
48616,21,596,0.16,2311,0.884537,81.07,,,,,
48928,21,600,0.13,2313,0.8837959999999998,81.19,,,,,
49233,21,604,0.13,2311,0.8830716249999998,81.17,,,,,
49532,21,608,0.08,2312,0.8823615000000002,80.75,,,,,
49838,21,612,0.04,2308,0.8816347499999999,80.14,,,,,
50202,22,616,0.07,2245,0.8807702499999999,80.18,0.03272628039121628,0.0001,50,,
50514,22,620,0.06,2201,0.8800292500000001,79.63,0.015488406643271446,0.0001,128,,
50832,23,624,0.08,2157,0.879274,79.82,2.014293204410933e-05,0.0001,207,,
