time/time_elapsed,time/total_timesteps,time/episodes,rollout/ep_len_mean,time/fps,rollout/exploration_rate,rollout/ep_rew_mean,train/loss,train/n_updates,train/learning_rate,eval/mean_reward,eval/mean_ep_length
0,394,4,98.5,1400,0.99906425,1.25,,,,,
0,752,8,94.0,1717,0.9982139999999998,0.625,,,,,
0,1109,12,92.41666666666667,1809,0.997366125,0.3333333333333333,,,,,
0,1423,16,88.9375,1921,0.9966203750000001,0.1875,,,,,
0,1739,20,86.95,1995,0.9958698750000001,0.15,,,,,
1,2067,24,86.125,2042,0.9950908749999999,0.125,,,,,
1,2404,28,85.85714285714286,2087,0.9942904999999999,0.10714285714285714,,,,,
1,2733,32,85.40625,2115,0.9935091249999998,0.125,,,,,
1,3078,36,85.5,2143,0.9926897500000003,0.1388888888888889,,,,,
1,3373,40,84.325,2161,0.9919891249999998,0.15,,,,,
1,3755,44,85.3409090909091,2183,0.9910818750000001,0.18181818181818182,,,,,
1,4033,48,84.02083333333333,2199,0.9904216250000001,0.125,,,,,
1,4331,52,83.28846153846153,2201,0.9897138749999999,0.1346153846153846,,,,,
2,4651,56,83.05357142857143,2209,0.9889538750000001,0.125,,,,,
2,5023,60,83.71666666666667,2219,0.9880703750000001,0.18333333333333332,,,,,
2,5381,64,84.078125,2229,0.9872201249999998,0.234375,,,,,
2,5704,68,83.88235294117646,2242,0.9864530000000001,0.19117647058823528,,,,,
2,6033,72,83.79166666666667,2256,0.9856716250000002,0.18055555555555555,,,,,
2,6398,76,84.1842105263158,2256,0.9848047500000002,0.2236842105263158,,,,,
2,6689,80,83.6125,2265,0.9841136250000001,0.1875,,,,,
3,7025,84,83.63095238095238,2275,0.9833156249999999,0.17857142857142858,,,,,
3,7366,88,83.70454545454545,2286,0.9825057500000001,0.19318181818181818,,,,,
3,7647,92,83.1195652173913,2294,0.9818383750000002,0.16304347826086957,,,,,
3,7995,96,83.28125,2302,0.9810118750000001,0.16666666666666666,,,,,
3,8280,100,82.8,2297,0.9803349999999998,0.16,,,,,
3,8593,104,81.99,2298,0.9795916249999999,0.12,,,,,
3,8910,108,81.58,2303,0.9788387500000001,0.12,,,,,
3,9181,112,80.72,2308,0.9781951249999997,0.14,,,,,
4,9529,116,81.06,2308,0.9773686250000002,0.17,,,,,
4,9877,120,81.38,2313,0.9765421250000001,0.22,,,,,
4,10137,124,80.7,2315,0.9759246249999999,0.2,,,,,
4,10477,128,80.73,2321,0.9751171249999998,0.21,,,,,
4,10798,132,80.65,2324,0.9743547499999998,0.2,,,,,
4,11101,136,80.23,2329,0.9736351249999999,0.21,,,,,
4,11418,140,80.45,2332,0.9728822500000002,0.19,,,,,
5,11725,144,79.7,2334,0.9721531250000001,0.17,,,,,
5,12032,148,79.99,2338,0.971424,0.18,,,,,
5,12340,152,80.09,2342,0.9706925,0.15,,,,,
5,12629,156,79.78,2346,0.970006125,0.15,,,,,
5,12999,160,79.76,2350,0.969127375,0.12,,,,,
5,13364,164,79.83,2353,0.9682605000000002,0.11,,,,,
5,13685,168,79.81,2351,0.9674981250000001,0.12,,,,,
5,13965,172,79.32,2353,0.966833125,0.11,,,,,
6,14254,176,78.56,2356,0.96614675,0.05,,,,,
6,14588,180,78.99,2359,0.9653534999999999,0.08,,,,,
6,14921,184,78.96,2362,0.9645626250000001,0.12,,,,,
6,15289,188,79.23,2365,0.9636886249999997,0.13,,,,,
6,15634,192,79.87,2367,0.9628692500000002,0.19,,,,,
6,15929,196,79.34,2368,0.9621686249999998,0.2,,,,,
6,16260,200,79.8,2369,0.9613825000000001,0.22,,,,,
7,16620,204,80.27,2372,0.9605274999999999,0.23,,,,,
7,16966,208,80.56,2375,0.9597057499999999,0.23,,,,,
7,17268,212,80.87,2377,0.9589884999999999,0.23,,,,,
7,17608,216,80.79,2378,0.9581809999999998,0.23,,,,,
7,17908,220,80.31,2380,0.9574685,0.17,,,,,
7,18250,224,81.13,2381,0.9566562499999998,0.2,,,,,
7,18564,228,80.87,2383,0.9559104999999999,0.22,,,,,
7,18902,232,81.04,2385,0.95510775,0.25,,,,,
8,19186,236,80.85,2386,0.9544332500000001,0.24,,,,,
8,19501,240,80.83,2383,0.953685125,0.22,,,,,
8,19824,244,80.99,2385,0.9529179999999998,0.23,,,,,
8,20109,248,80.77,2386,0.9522411250000001,0.21,,,,,
8,20381,252,80.41,2388,0.9515951250000001,0.21,,,,,
8,20714,256,80.85,2389,0.9508042500000002,0.22,,,,,
8,21011,260,80.12,2391,0.9500988750000002,0.22,,,,,
8,21389,264,80.25,2392,0.9492011249999998,0.21,,,,,
9,21670,268,79.85,2394,0.9485337499999998,0.21,,,,,
9,21990,272,80.25,2395,0.9477737500000001,0.21,,,,,
9,22315,276,80.61,2396,0.9470018749999998,0.24,,,,,
9,22601,280,80.13,2397,0.9463226249999998,0.21,,,,,
9,22926,284,80.05,2397,0.94555075,0.18,,,,,
9,23264,288,79.75,2393,0.9447480000000001,0.13,,,,,
9,23566,292,79.32,2392,0.94403075,0.07,,,,,
9,23866,296,79.37,2393,0.9433182500000001,0.04,,,,,
10,24207,300,79.47,2394,0.9425083749999998,0.03,,,,,
10,24549,304,79.29,2392,0.9416961250000002,0.02,,,,,
10,24943,308,79.77,2389,0.9407603750000002,0.07,,,,,
10,25220,312,79.52,2390,0.9401025,0.02,,,,,
10,25534,316,79.26,2389,0.9393567500000002,0.0,,,,,
10,25856,320,79.48,2388,0.9385919999999998,0.02,,,,,
10,26185,324,79.35,2390,0.9378106250000002,0.04,,,,,
11,26457,328,78.93,2384,0.9371646250000001,-0.01,,,,,
11,26815,332,79.13,2381,0.9363143749999999,-0.03,,,,,
11,27147,336,79.61,2382,0.935525875,-0.04,,,,,
11,27423,340,79.22,2383,0.934870375,-0.03,,,,,
11,27773,344,79.49,2385,0.9340391249999999,0.0,,,,,
11,28126,348,80.17,2386,0.9332007499999998,0.04,,,,,
11,28449,352,80.68,2387,0.9324336250000002,0.06,,,,,
12,28772,356,80.58,2388,0.9316665,0.03,,,,,
12,29121,360,81.1,2388,0.9308376250000001,0.01,,,,,
12,29417,364,80.28,2384,0.930134625,-0.02,,,,,
12,29716,368,80.46,2382,0.9294244999999999,-0.03,,,,,
12,30047,372,80.57,2379,0.9286383750000001,-0.03,,,,,
12,30351,376,80.36,2375,0.927916375,-0.02,,,,,
12,30654,380,80.53,2372,0.9271967500000001,0.01,,,,,
13,30969,384,80.43,2364,0.9264486249999999,0.01,,,,,
13,31237,388,79.73,2364,0.9258121250000001,0.0,,,,,
13,31565,392,79.99,2364,0.9250331249999999,0.02,,,,,
13,31894,396,80.28,2363,0.9242517499999998,0.02,,,,,
13,32248,400,80.41,2363,0.9234109999999999,0.03,,,,,
13,32511,404,79.62,2363,0.9227863750000002,0.01,,,,,
13,32831,408,78.88,2363,0.9220263749999998,-0.03,,,,,
14,33118,412,78.98,2362,0.92134475,-0.02,,,,,
14,33383,416,78.49,2359,0.9207153750000001,-0.04,,,,,
14,33769,420,79.13,2356,0.9197986250000002,-0.02,,,,,
14,34119,424,79.34,2356,0.918967375,-0.03,,,,,
14,34470,428,80.13,2353,0.91813375,-0.01,,,,,
14,34784,432,79.69,2350,0.9173880000000002,-0.03,,,,,
14,35114,436,79.67,2349,0.9166042499999998,-0.03,,,,,
15,35474,440,80.51,2348,0.91574925,0.01,,,,,
15,35821,444,80.48,2349,0.9149251249999998,-0.03,,,,,
15,36191,448,80.65,2350,0.9140463749999999,-0.01,,,,,
15,36487,452,80.38,2350,0.9133433750000002,-0.02,,,,,
15,36843,456,80.71,2340,0.9124978750000001,0.02,,,,,
15,37156,460,80.35,2339,0.9117545000000001,0.05,,,,,
16,37502,464,80.85,2338,0.9109327500000002,0.07,,,,,
16,37838,468,81.22,2338,0.9101347499999999,0.09,,,,,
16,38162,472,81.15,2338,0.9093652499999999,0.12,,,,,
16,38551,476,82.0,2324,0.908441375,0.13,,,,,
16,38881,480,82.27,2325,0.9076576250000001,0.12,,,,,
16,39264,484,82.95,2327,0.9067480000000001,0.13,,,,,
16,39583,488,83.46,2328,0.9059903750000002,0.16,,,,,
17,39865,492,83.0,2329,0.9053206249999999,0.15,,,,,
17,40236,496,83.42,2327,0.9044395000000002,0.2,,,,,
17,40570,500,83.22,2325,0.90364625,0.19,,,,,
17,40830,504,83.19,2323,0.9030287500000002,0.18,,,,,
17,41124,508,82.93,2324,0.9023305000000001,0.17,,,,,
17,41422,512,83.04,2323,0.9016227499999998,0.21,,,,,
17,41793,516,84.1,2322,0.9007416250000001,0.24,,,,,
18,42143,520,83.74,2322,0.8999103749999999,0.21,,,,,
18,42517,524,83.98,2320,0.8990221250000002,0.2,,,,,
18,42882,528,84.12,2319,0.8981552499999998,0.22,,,,,
18,43167,532,83.83,2319,0.8974783750000002,0.21,,,,,
18,43471,536,83.57,2320,0.8967563749999999,0.21,,,,,
18,43785,540,83.11,2321,0.8960106250000001,0.21,,,,,
19,44139,544,83.18,2321,0.8951698750000002,0.25,,,,,
19,44418,548,82.27,2320,0.8945072499999999,0.22,,,,,
19,44741,552,82.54,2320,0.8937401250000002,0.24,,,,,
19,45089,556,82.46,2321,0.8929136250000002,0.23,,,,,
19,45408,560,82.52,2320,0.8921560000000003,0.22,,,,,
19,45709,564,82.07,2320,0.8914411250000001,0.2,,,,,
19,46072,568,82.34,2321,0.8905789999999998,0.23,,,,,
19,46369,572,82.07,2320,0.8898736249999998,0.21,,,,,
20,46716,576,81.65,2319,0.8890495,0.21,,,,,
20,47012,580,81.31,2319,0.8883464999999999,0.2,,,,,
20,47299,584,80.35,2317,0.887664875,0.17,,,,,
20,47586,588,80.03,2318,0.8869832500000002,0.19,,,,,
20,47895,592,80.3,2319,0.886249375,0.2,,,,,
20,48214,596,79.78,2320,0.88549175,0.16,,,,,
20,48496,600,79.26,2319,0.8848219999999998,0.12,,,,,
21,48831,604,80.01,2319,0.8840263749999998,0.15,,,,,
21,49132,608,80.08,2320,0.8833115000000001,0.15,,,,,
21,49448,612,80.26,2321,0.8825610000000002,0.14,,,,,
21,49770,616,79.77,2322,0.8817962499999998,0.15,,,,,
22,50095,620,79.52,2269,0.881024375,0.13,0.06646811962127686,23,0.0001,,
22,50450,624,79.33,2233,0.8801812499999998,0.12,0.01648506335914135,112,0.0001,,
23,50720,628,78.38,2191,0.8795399999999998,0.09,8.472400077152997e-05,179,0.0001,,
23,51135,632,79.68,2132,0.8785543750000002,0.16,0.031779270619153976,283,0.0001,,
24,51496,636,80.25,2087,0.8776970000000001,0.2,0.00012994202552363276,373,0.0001,,
25,51872,640,80.87,2042,0.8768040000000002,0.19,0.00011500716209411621,467,0.0001,,
26,52161,644,80.22,2002,0.8761176250000002,0.14,0.015130847692489624,540,0.0001,,
26,52484,648,80.66,1970,0.8753505,0.13,0.016156882047653198,620,0.0001,,
27,52791,652,80.5,1942,0.8746213749999999,0.14,0.015424942597746849,697,0.0001,,
27,53113,656,80.24,1905,0.8738566250000002,0.13,0.014369559474289417,778,0.0001,,
28,53466,660,80.58,1871,0.87301825,0.15,0.00016293248336296529,866,0.0001,,
29,53819,664,81.1,1843,0.8721798749999998,0.18,0.00021912407828494906,954,0.0001,,
29,54133,668,80.61,1813,0.8714341250000001,0.17,0.03246739134192467,1033,0.0001,,
30,54444,672,80.75,1788,0.8706955000000002,0.15,0.0002250781690236181,1110,0.0001,,
31,54800,676,80.84,1756,0.8698500000000001,0.15,0.00014249263040255755,1199,0.0001,,
31,55150,680,81.38,1725,0.86901875,0.18,0.0001923450909089297,1287,0.0001,,
32,55466,684,81.67,1705,0.86826825,0.19,0.011256466619670391,1366,0.0001,,
33,55787,688,82.01,1685,0.867505875,0.19,8.054847421590239e-05,1446,0.0001,,
33,56157,692,82.62,1657,0.8666271249999999,0.24,0.018258698284626007,1539,0.0001,,
34,56518,696,83.04,1632,0.8657697499999999,0.27,0.026937874034047127,1629,0.0001,,
35,56857,700,83.61,1612,0.8649646250000002,0.32,0.01483231596648693,1714,0.0001,,
35,57200,704,83.69,1592,0.8641500000000002,0.37,0.028012506663799286,1799,0.0001,,
36,57491,708,83.59,1576,0.8634588750000001,0.35,0.0005031846230849624,1872,0.0001,,
37,57846,712,83.98,1556,0.8626157499999999,0.38,0.015298577025532722,1961,0.0001,,
37,58180,716,84.1,1539,0.8618225000000003,0.38,0.000755441898945719,2044,0.0001,,
38,58518,720,84.23,1520,0.8610197499999999,0.41,0.04684888571500778,2129,0.0001,,
39,58825,724,83.75,1505,0.8602906250000002,0.4,0.01097184605896473,2206,0.0001,,
39,59215,728,84.95,1487,0.859364375,0.44,0.02866087481379509,2303,0.0001,,
40,59608,732,84.73,1468,0.8584309999999997,0.44,0.03583789989352226,2401,0.0001,,
41,59887,736,83.91,1452,0.857768375,0.41,0.009740124456584454,2471,0.0001,,
41,60222,740,83.5,1435,0.8569727500000001,0.43,0.0016415328718721867,2555,0.0001,,
42,60566,744,84.05,1423,0.8561557500000003,0.45,0.00044796071597374976,2641,0.0001,,
43,60853,748,83.69,1408,0.855474125,0.44,0.029711419716477394,2713,0.0001,,
43,61207,752,84.16,1393,0.854633375,0.42,0.0008477384690195322,2801,0.0001,,
44,61530,756,84.17,1383,0.8538662499999998,0.43,0.0008725132211111486,2882,0.0001,,
45,61934,760,84.68,1367,0.8529067500000002,0.45,0.0003533634007908404,2983,0.0001,,
45,62286,764,84.67,1354,0.8520707499999999,0.45,0.0007871350389905274,3071,0.0001,,
46,62666,768,85.33,1339,0.8511682499999997,0.45,0.054568804800510406,3166,0.0001,,
47,62981,772,85.37,1326,0.8504201250000001,0.47,0.028919728472828865,3245,0.0001,,
48,63309,776,85.09,1313,0.8496411249999999,0.47,0.0037389262579381466,3327,0.0001,,
48,63599,780,84.49,1303,0.8489523750000001,0.45,0.009886638261377811,3399,0.0001,,
49,64013,784,85.47,1288,0.8479691249999998,0.52,0.0018480800790712237,3503,0.0001,,
50,64355,788,85.68,1279,0.8471568750000001,0.51,0.004271713085472584,3588,0.0001,,
51,64716,792,85.59,1267,0.8462995,0.49,0.012528792023658752,3678,0.0001,,
51,65140,796,86.22,1256,0.8452925000000001,0.53,0.006231658160686493,3784,0.0001,,
52,65445,800,85.88,1247,0.8445681250000001,0.51,0.028999460861086845,3861,0.0001,,
53,65831,804,86.31,1235,0.8436513750000001,0.48,0.0008273404091596603,3957,0.0001,,
53,66143,808,86.52,1226,0.8429103749999999,0.51,0.022800995036959648,4035,0.0001,,
54,66406,812,85.6,1218,0.84228575,0.45,0.0012000539572909474,4101,0.0001,,
55,66739,816,85.59,1209,0.8414948749999998,0.47,0.02972801774740219,4184,0.0001,,
55,67104,820,85.86,1199,0.8406279999999999,0.48,0.0009686959674581885,4275,0.0001,,
56,67445,824,86.2,1191,0.8398181250000001,0.5,0.004935042001307011,4361,0.0001,,
57,67779,828,85.64,1184,0.8390248749999999,0.5,0.018971676006913185,4444,0.0001,,
57,68108,832,85.0,1175,0.8382434999999999,0.48,0.04399912804365158,4526,0.0001,,
58,68410,836,85.23,1169,0.8375262499999998,0.48,0.004176942631602287,4602,0.0001,,
59,68753,840,85.31,1161,0.8367116249999998,0.47,0.015218359418213367,4688,0.0001,,
59,69134,844,85.68,1152,0.8358067499999999,0.49,0.02500208653509617,4783,0.0001,,
60,69593,848,87.4,1141,0.834716625,0.57,0.029545240104198456,4898,0.0001,,
61,69972,852,87.65,1136,0.8338165000000002,0.6,0.023444155231118202,4992,0.0001,,
62,70246,856,87.16,1131,0.8331657499999999,0.6,0.02120293118059635,5061,0.0001,,
62,70572,860,86.38,1124,0.8323914999999998,0.56,0.004411415196955204,5142,0.0001,,
63,70918,864,86.32,1117,0.8315697499999999,0.56,0.05144016817212105,5229,0.0001,,
64,71247,868,85.81,1110,0.8307883749999999,0.56,0.0012477796990424395,5311,0.0001,,
64,71566,872,85.85,1104,0.8300307499999999,0.57,0.025855664163827896,5391,0.0001,,
65,71909,876,86.0,1098,0.829216125,0.57,0.013937749899923801,5477,0.0001,,
66,72271,880,86.72,1092,0.828356375,0.6,0.0027543283067643642,5567,0.0001,,
66,72632,884,86.19,1085,0.827499,0.56,0.0015367288142442703,5657,0.0001,,
67,72966,888,86.11,1079,0.8267057499999998,0.57,0.01420687511563301,5741,0.0001,,
68,73309,892,85.93,1072,0.8258911249999998,0.59,0.010438960045576096,5827,0.0001,,
69,73683,896,85.43,1065,0.8250028750000001,0.57,0.004886616487056017,5920,0.0001,,
69,73984,900,85.39,1060,0.8242879999999999,0.59,0.027315570041537285,5995,0.0001,,
70,74340,904,85.09,1053,0.8234424999999999,0.57,0.0011056483490392566,6084,0.0001,,
71,74741,908,85.98,1047,0.8224901250000002,0.61,0.053933367133140564,6185,0.0001,,
72,75131,912,87.25,1040,0.8215638749999998,0.68,0.020709646865725517,6282,0.0001,,
72,75469,916,87.3,1034,0.820761125,0.63,0.04913878068327904,6367,0.0001,,
73,75891,920,87.87,1028,0.8197588750000002,0.67,0.0028278001118451357,6472,0.0001,,
74,76155,924,87.1,1023,0.8191318750000001,0.65,0.01104030106216669,6538,0.0001,,
75,76602,928,88.23,1017,0.8180702499999999,0.68,0.020992979407310486,6650,0.0001,,
75,76929,932,88.21,1012,0.8172936249999999,0.68,0.037116639316082,6732,0.0001,,
76,77194,936,87.84,1008,0.8166642500000001,0.66,0.006637620739638805,6798,0.0001,,
77,77556,940,88.03,1002,0.8158045000000002,0.69,0.010171540081501007,6888,0.0001,,
78,77953,944,88.19,996,0.8148616250000001,0.69,0.0321984738111496,6988,0.0001,,
78,78270,948,86.77,992,0.8141087499999998,0.62,0.002288924064487219,7067,0.0001,,
79,78567,952,85.95,988,0.8134033749999999,0.6,0.0056808218359947205,7141,0.0001,,
80,78880,956,86.34,983,0.8126599999999998,0.63,0.01667650043964386,7219,0.0001,,
80,79274,960,87.02,979,0.8117242499999998,0.67,0.01413973979651928,7318,0.0001,,
81,79610,964,86.92,975,0.8109262500000001,0.64,0.0024885558523237705,7402,0.0001,,
82,79996,968,87.49,970,0.8100095,0.7,0.006244047079235315,7498,0.0001,,
83,80333,972,87.67,967,0.809209125,0.7,0.03667474165558815,7583,0.0001,,
83,80742,976,88.33,962,0.8082377499999998,0.7,0.008919822983443737,7685,0.0001,,
84,81098,980,88.27,957,0.8073922500000003,0.7,0.044635120779275894,7774,0.0001,,
85,81425,984,87.93,953,0.8066156249999998,0.68,0.006596803665161133,7856,0.0001,,
86,81829,988,88.63,948,0.8056561250000002,0.69,0.05722712352871895,7957,0.0001,,
86,82141,992,88.32,945,0.804915125,0.65,0.00871900375932455,8035,0.0001,,
87,82526,996,88.43,941,0.8040007499999998,0.65,0.004466186743229628,8131,0.0001,,
88,82782,1000,87.98,938,0.8033927500000002,0.64,0.02020113728940487,8195,0.0001,,
88,83129,1004,87.89,934,0.802568625,0.63,0.01897960901260376,8282,0.0001,,
89,83513,1008,87.72,930,0.8016566250000001,0.62,0.008834310807287693,8378,0.0001,,
90,83870,1012,87.39,925,0.8008087499999997,0.62,0.0645817369222641,8467,0.0001,,
91,84209,1016,87.4,922,0.8000036250000001,0.65,0.0024185909423977137,8552,0.0001,,
91,84546,1020,86.55,919,0.79920325,0.6,0.001734484569169581,8636,0.0001,,
92,84917,1024,87.62,916,0.7983221250000002,0.66,0.08948148787021637,8729,0.0001,,
93,85238,1028,86.36,913,0.7975597500000002,0.61,0.001956688240170479,8809,0.0001,,
93,85556,1032,86.27,910,0.7968045000000001,0.58,0.0027236868627369404,8888,0.0001,,
94,85941,1036,87.47,906,0.7958901249999999,0.64,0.06971510499715805,8985,0.0001,,
95,86263,1040,87.07,903,0.795125375,0.59,0.009211119264364243,9065,0.0001,,
96,86655,1044,87.02,899,0.7941943750000002,0.58,0.014452971518039703,9163,0.0001,,
96,86962,1048,86.92,896,0.7934652500000001,0.59,0.009069230407476425,9240,0.0001,,
97,87335,1052,87.68,893,0.7925793750000002,0.62,0.10750671476125717,9333,0.0001,,
98,87706,1056,88.26,888,0.7916982499999998,0.6,0.012406464666128159,9426,0.0001,,
99,88062,1060,87.88,884,0.7908527499999998,0.57,0.06961695849895477,9515,0.0001,,
100,88394,1064,87.84,881,0.7900642499999998,0.6,0.004250096622854471,9598,0.0001,,
100,88715,1068,87.19,878,0.7893018749999998,0.53,0.003403014037758112,9678,0.0001,,
101,89050,1072,87.17,877,0.7885062499999999,0.53,0.0014142856234684587,9762,0.0001,,
102,89415,1076,86.73,874,0.7876393749999999,0.52,0.0050194887444376945,9853,0.0001,,
103,89781,1080,86.83,870,0.7867701250000003,0.53,0.005735100246965885,9945,0.0001,,
103,90130,1084,87.05,867,0.7859412499999999,0.55,0.009816281497478485,10032,0.0001,,
104,90493,1088,86.64,864,0.7850791250000002,0.55,0.01724836602807045,10123,0.0001,,
105,90812,1092,86.71,862,0.7843214999999997,0.52,0.0026355478912591934,10202,0.0001,,
106,91177,1096,86.51,859,0.7834546249999998,0.51,0.06303032487630844,10294,0.0001,,
106,91508,1100,87.26,856,0.7826685000000002,0.52,0.005160685628652573,10376,0.0001,,
107,91851,1104,87.22,854,0.7818538750000003,0.51,0.0075172241777181625,10462,0.0001,,
108,92128,1108,86.15,852,0.781196,0.45,0.005912126507610083,10531,0.0001,,
108,92464,1112,85.94,849,0.7803979999999998,0.4,0.046913374215364456,10615,0.0001,,
109,92788,1116,85.79,847,0.7796284999999998,0.38,0.005790387745946646,10696,0.0001,,
110,93222,1120,86.76,844,0.7785977500000002,0.44,0.18376678228378296,10805,0.0001,,
111,93605,1124,86.88,841,0.7776881250000002,0.44,0.009914251044392586,10901,0.0001,,
111,93908,1128,86.7,840,0.7769684999999997,0.42,0.001801884500309825,10976,0.0001,,
112,94266,1132,87.1,837,0.7761182500000001,0.42,0.07661023736000061,11066,0.0001,,
113,94588,1136,86.47,835,0.7753535000000003,0.39,0.023639781400561333,11146,0.0001,,
113,94906,1140,86.43,833,0.7745982500000002,0.39,0.07654186338186264,11226,0.0001,,
114,95272,1144,86.17,830,0.773729,0.41,0.08611995726823807,11317,0.0001,,
115,95536,1148,85.74,829,0.7731019999999998,0.39,0.002272544428706169,11383,0.0001,,
116,95901,1152,85.66,826,0.772235125,0.4,0.006776925176382065,11475,0.0001,,
116,96277,1156,85.71,823,0.7713421250000001,0.42,0.014370093122124672,11569,0.0001,,
117,96693,1160,86.31,821,0.7703541250000002,0.44,0.002320194151252508,11673,0.0001,,
118,97047,1164,86.53,819,0.7695133750000003,0.43,0.012538138777017593,11761,0.0001,,
119,97410,1168,86.95,817,0.76865125,0.44,0.032594501972198486,11852,0.0001,,
119,97755,1172,87.05,815,0.7678318749999999,0.45,0.002508916426450014,11938,0.0001,,
120,98230,1176,88.15,812,0.7667037499999999,0.51,0.004509495571255684,12057,0.0001,,
121,98551,1180,87.7,811,0.7659413749999999,0.46,0.006459036376327276,12137,0.0001,,
122,98861,1184,87.31,809,0.7652051249999998,0.42,0.013060270808637142,12215,0.0001,,
122,99147,1188,86.54,808,0.7645258749999998,0.37,0.0022613455075770617,12286,0.0001,,
123,99543,1192,87.31,806,0.7635853750000001,0.42,0.0018534297123551369,12385,0.0001,,
124,99937,1196,87.6,804,0.7626496250000001,0.4,0.0037979460321366787,12484,0.0001,,
,100000,,,,0.7625023750000002,,0.017769312486052513,12499,0.0001,1.8,101.25
128,100327,1200,88.19,780,0.7617233749999999,0.45,0.011464657261967659,12581,0.0001,,
129,100677,1204,88.26,778,0.7608921250000003,0.48,0.14693784713745117,12669,0.0001,,
129,101016,1208,88.88,777,0.7600870000000001,0.51,0.14561618864536285,12753,0.0001,,
130,101373,1212,89.09,776,0.7592391250000001,0.56,0.061327721923589706,12843,0.0001,,
131,101658,1216,88.7,774,0.75856225,0.56,0.08032982051372528,12914,0.0001,,
131,101990,1220,87.68,773,0.7577737499999999,0.48,0.06740225851535797,12997,0.0001,,
132,102308,1224,87.03,772,0.7570184999999998,0.42,0.004416848532855511,13076,0.0001,,
133,102723,1228,88.15,770,0.7560328750000003,0.49,0.01159996259957552,13180,0.0001,,
133,103071,1232,88.05,769,0.7552063750000002,0.5,0.050373196601867676,13267,0.0001,,
134,103478,1236,88.9,767,0.7542397500000001,0.51,0.0029925438575446606,13369,0.0001,,
135,103867,1240,89.61,766,0.7533158750000002,0.59,0.08458292484283447,13466,0.0001,,
136,104218,1244,89.46,764,0.7524822500000002,0.58,0.07191885262727737,13554,0.0001,,
136,104502,1248,89.66,763,0.7518077499999998,0.59,0.07495080679655075,13625,0.0001,,
137,104859,1252,89.58,762,0.7509598749999999,0.58,0.005914955399930477,13714,0.0001,,
138,105165,1256,88.88,760,0.7502331250000002,0.54,0.07801879197359085,13791,0.0001,,
138,105553,1260,88.6,759,0.749311625,0.56,0.014978292398154736,13888,0.0001,,
139,105877,1264,88.3,758,0.748542125,0.58,0.0056799110025167465,13969,0.0001,,
140,106211,1268,88.01,758,0.7477488749999999,0.58,0.016302229836583138,14052,0.0001,,
140,106589,1272,88.34,757,0.746851125,0.58,0.0122243482619524,14147,0.0001,,
141,106921,1276,86.91,756,0.746062625,0.51,0.07204178720712662,14230,0.0001,,
141,107189,1280,86.38,755,0.745426125,0.51,0.018544793128967285,14297,0.0001,,
142,107525,1284,86.64,754,0.7446281249999998,0.55,0.0924750417470932,14381,0.0001,,
143,107907,1288,87.6,752,0.7437208750000002,0.63,0.021466566249728203,14476,0.0001,,
144,108258,1292,87.15,751,0.7428872500000001,0.59,0.0037046161014586687,14564,0.0001,,
144,108594,1296,86.57,750,0.7420892499999998,0.58,0.004132689442485571,14648,0.0001,,
145,108982,1300,86.55,748,0.7411677500000002,0.54,0.001905127428472042,14745,0.0001,,
146,109337,1304,86.6,747,0.740324625,0.55,0.014937314204871655,14834,0.0001,,
146,109651,1308,86.35,746,0.7395788750000002,0.57,0.021915696561336517,14912,0.0001,,
147,110027,1312,86.54,744,0.7386858749999998,0.6,0.005745928734540939,15006,0.0001,,
148,110378,1316,87.2,743,0.7378522499999998,0.64,0.0026417311746627092,15094,0.0001,,
149,110733,1320,87.43,741,0.7370091250000002,0.68,0.01133052073419094,15183,0.0001,,
150,111076,1324,87.68,740,0.7361945000000001,0.72,0.004740770440548658,15268,0.0001,,
